index	colours	verdict	solve_s	steps	adds	check	check_s
3	1,1,1,1,4	unsat	0.010	1	1	passed	0.008
2	1,1,1,1,3	unsat	0.011	1	1	passed	0.011
0	1,1,1,1,1	unsat	0.013	1	1	passed	0.012
4	1,1,1,2,1	unsat	0.014	1	1	passed	0.011
1	1,1,1,1,2	unsat	0.014	1	1	passed	0.012
5	1,1,1,2,2	unsat	0.007	1	1	passed	0.009
6	1,1,1,2,3	unsat	0.011	1	1	passed	0.011
7	1,1,1,2,4	unsat	0.011	1	1	passed	0.011
8	1,1,1,3,1	unsat	0.011	1	1	passed	0.012
10	1,1,1,3,3	unsat	0.006	1	1	passed	0.007
9	1,1,1,3,2	unsat	0.011	1	1	passed	0.011
14	1,1,1,4,3	unsat	0.006	1	1	passed	0.008
11	1,1,1,3,4	unsat	0.011	1	1	passed	0.011
12	1,1,1,4,1	unsat	0.010	1	1	passed	0.011
13	1,1,1,4,2	unsat	0.010	1	1	passed	0.012
15	1,1,1,4,4	unsat	0.010	1	1	passed	0.012
16	1,1,2,1,1	unsat	0.006	1	1	passed	0.008
17	1,1,2,1,2	unsat	0.010	1	1	passed	0.012
18	1,1,2,1,3	unsat	0.010	1	1	passed	0.011
19	1,1,2,1,4	unsat	0.009	1	1	passed	0.012
21	1,1,2,2,2	unsat	0.006	1	1	passed	0.008
20	1,1,2,2,1	unsat	0.009	1	1	passed	0.011
25	1,1,2,3,2	unsat	0.006	1	1	passed	0.008
22	1,1,2,2,3	unsat	0.010	1	1	passed	0.011
23	1,1,2,2,4	unsat	0.010	1	1	passed	0.011
24	1,1,2,3,1	unsat	0.010	1	1	passed	0.012
26	1,1,2,3,3	unsat	0.009	1	1	passed	0.011
27	1,1,2,3,4	unsat	0.006	1	1	passed	0.009
28	1,1,2,4,1	unsat	0.010	1	1	passed	0.012
29	1,1,2,4,2	unsat	0.010	1	1	passed	0.012
30	1,1,2,4,3	unsat	0.010	1	1	passed	0.012
32	1,1,3,1,1	unsat	0.006	1	1	passed	0.008
31	1,1,2,4,4	unsat	0.010	1	1	passed	0.011
36	1,1,3,2,1	unsat	0.006	1	1	passed	0.008
33	1,1,3,1,2	unsat	0.010	1	1	passed	0.011
34	1,1,3,1,3	unsat	0.010	1	1	passed	0.011
35	1,1,3,1,4	unsat	0.009	1	1	passed	0.012
37	1,1,3,2,2	unsat	0.009	1	1	passed	0.011
38	1,1,3,2,3	unsat	0.006	1	1	passed	0.008
39	1,1,3,2,4	unsat	0.009	1	1	passed	0.012
40	1,1,3,3,1	unsat	0.009	1	1	passed	0.012
41	1,1,3,3,2	unsat	0.009	1	1	passed	0.012
43	1,1,3,3,4	unsat	0.006	1	1	passed	0.008
42	1,1,3,3,3	unsat	0.009	1	1	passed	0.012
44	1,1,3,4,1	unsat	0.009	1	1	passed	0.011
47	1,1,3,4,4	unsat	0.006	1	1	passed	0.008
45	1,1,3,4,2	unsat	0.010	1	1	passed	0.011
46	1,1,3,4,3	unsat	0.009	1	1	passed	0.012
48	1,1,4,1,1	unsat	0.009	1	1	passed	0.012
49	1,1,4,1,2	unsat	0.006	1	1	passed	0.008
50	1,1,4,1,3	unsat	0.010	1	1	passed	0.011
52	1,1,4,2,1	unsat	0.008	1	1	passed	0.012
51	1,1,4,1,4	unsat	0.009	1	1	passed	0.011
54	1,1,4,2,3	unsat	0.005	1	1	passed	0.008
53	1,1,4,2,2	unsat	0.009	1	1	passed	0.012
55	1,1,4,2,4	unsat	0.009	1	1	passed	0.012
57	1,1,4,3,2	unsat	0.009	1	1	passed	0.012
58	1,1,4,3,3	unsat	0.006	1	1	passed	0.008
56	1,1,4,3,1	unsat	0.009	1	1	passed	0.011
59	1,1,4,3,4	unsat	0.009	1	1	passed	0.012
61	1,1,4,4,2	unsat	0.006	1	1	passed	0.008
60	1,1,4,4,1	unsat	0.009	1	1	passed	0.011
63	1,1,4,4,4	unsat	0.009	1	1	passed	0.012
62	1,1,4,4,3	unsat	0.010	1	1	passed	0.011
