index	colours	verdict	solve_s	steps	adds	check	check_s
0	1,1,1,1,1	unsat	0.005	1	1	passed	0.006
1	1,1,1,1,2	unsat	0.005	1	1	passed	0.006
2	1,1,1,1,3	unsat	0.004	1	1	passed	0.006
3	1,1,1,1,4	unsat	0.004	1	1	passed	0.006
4	1,1,1,2,1	unsat	0.002	1	1	passed	0.005
5	1,1,1,2,2	unsat	0.003	1	1	passed	0.006
6	1,1,1,2,3	unsat	0.002	1	1	passed	0.005
7	1,1,1,2,4	unsat	0.003	1	1	passed	0.005
8	1,1,1,3,1	unsat	0.002	1	1	passed	0.005
9	1,1,1,3,2	unsat	0.003	1	1	passed	0.006
10	1,1,1,3,3	unsat	0.002	1	1	passed	0.006
11	1,1,1,3,4	unsat	0.002	1	1	passed	0.006
12	1,1,1,4,1	unsat	0.002	1	1	passed	0.005
13	1,1,1,4,2	unsat	0.003	1	1	passed	0.006
14	1,1,1,4,3	unsat	0.002	1	1	passed	0.005
15	1,1,1,4,4	unsat	0.003	1	1	passed	0.006
16	1,1,2,1,1	unsat	0.002	1	1	passed	0.005
17	1,1,2,1,2	unsat	0.003	1	1	passed	0.005
18	1,1,2,1,3	unsat	0.002	1	1	passed	0.005
20	1,1,2,2,1	unsat	0.002	1	1	passed	0.006
19	1,1,2,1,4	unsat	0.003	1	1	passed	0.006
21	1,1,2,2,2	unsat	0.002	1	1	passed	0.005
22	1,1,2,2,3	unsat	0.003	1	1	passed	0.006
23	1,1,2,2,4	unsat	0.002	1	1	passed	0.005
24	1,1,2,3,1	unsat	0.003	1	1	passed	0.006
25	1,1,2,3,2	unsat	0.002	1	1	passed	0.006
26	1,1,2,3,3	unsat	0.003	1	1	passed	0.005
27	1,1,2,3,4	unsat	0.002	1	1	passed	0.006
28	1,1,2,4,1	unsat	0.003	1	1	passed	0.006
29	1,1,2,4,2	unsat	0.002	1	1	passed	0.006
30	1,1,2,4,3	unsat	0.003	1	1	passed	0.006
31	1,1,2,4,4	unsat	0.002	1	1	passed	0.006
32	1,1,3,1,1	unsat	0.002	1	1	passed	0.006
33	1,1,3,1,2	unsat	0.002	1	1	passed	0.006
34	1,1,3,1,3	unsat	0.003	1	1	passed	0.005
35	1,1,3,1,4	unsat	0.002	1	1	passed	0.006
36	1,1,3,2,1	unsat	0.003	1	1	passed	0.005
37	1,1,3,2,2	unsat	0.002	1	1	passed	0.005
38	1,1,3,2,3	unsat	0.003	1	1	passed	0.006
39	1,1,3,2,4	unsat	0.002	1	1	passed	0.005
40	1,1,3,3,1	unsat	0.003	1	1	passed	0.006
41	1,1,3,3,2	unsat	0.002	1	1	passed	0.005
42	1,1,3,3,3	unsat	0.003	1	1	passed	0.005
43	1,1,3,3,4	unsat	0.002	1	1	passed	0.005
44	1,1,3,4,1	unsat	0.003	1	1	passed	0.006
45	1,1,3,4,2	unsat	0.002	1	1	passed	0.005
47	1,1,3,4,4	unsat	0.003	1	1	passed	0.007
46	1,1,3,4,3	unsat	0.006	1	1	passed	0.006
48	1,1,4,1,1	unsat	0.002	1	1	passed	0.006
49	1,1,4,1,2	unsat	0.003	1	1	passed	0.006
50	1,1,4,1,3	unsat	0.003	1	1	passed	0.006
51	1,1,4,1,4	unsat	0.003	1	1	passed	0.009
52	1,1,4,2,1	unsat	0.003	1	1	passed	0.005
54	1,1,4,2,3	unsat	0.002	1	1	passed	0.005
53	1,1,4,2,2	unsat	0.007	1	1	passed	0.009
55	1,1,4,2,4	unsat	0.002	1	1	passed	0.006
56	1,1,4,3,1	unsat	0.003	1	1	passed	0.006
57	1,1,4,3,2	unsat	0.002	1	1	passed	0.005
58	1,1,4,3,3	unsat	0.002	1	1	passed	0.006
59	1,1,4,3,4	unsat	0.002	1	1	passed	0.008
60	1,1,4,4,1	unsat	0.004	1	1	passed	0.007
61	1,1,4,4,2	unsat	0.002	1	1	passed	0.006
62	1,1,4,4,3	unsat	0.002	1	1	passed	0.006
63	1,1,4,4,4	unsat	0.002	1	1	passed	0.005
64	1,2,1,1,1	unsat	0.003	1	1	passed	0.006
65	1,2,1,1,2	unsat	0.002	1	1	passed	0.006
66	1,2,1,1,3	unsat	0.003	1	1	passed	0.006
67	1,2,1,1,4	unsat	0.002	1	1	passed	0.005
69	1,2,1,2,2	unsat	0.002	1	1	passed	0.010
70	1,2,1,2,3	unsat	57.636	2141677	1084836	deferred	0.000
68	1,2,1,2,1	unsat	58.351	2110626	1072608	deferred	0.000
72	1,2,1,3,1	unsat	21.614	1016391	515557	deferred	0.000
73	1,2,1,3,2	unsat	16.415	805616	408797	deferred	0.000
74	1,2,1,3,3	unsat	8.927	474320	241665	deferred	0.000
71	1,2,1,2,4	unsat	51.470	1938646	985584	deferred	0.000
75	1,2,1,3,4	unsat	17.761	850770	431703	deferred	0.000
76	1,2,1,4,1	unsat	17.491	809077	412294	deferred	0.000
77	1,2,1,4,2	unsat	11.035	566000	289690	deferred	0.000
79	1,2,1,4,4	unsat	5.783	320976	164876	deferred	0.000
80	1,2,2,1,1	unsat	0.003	1	1	passed	0.006
81	1,2,2,1,2	unsat	0.003	1	1	passed	0.006
82	1,2,2,1,3	unsat	0.003	1	1	passed	0.008
83	1,2,2,1,4	unsat	0.003	1	1	passed	0.006
84	1,2,2,2,1	unsat	5.868	322473	166310	deferred	0.000
85	1,2,2,2,2	unsat	0.003	1	1	passed	0.006
78	1,2,1,4,3	unsat	21.244	996115	506723	deferred	0.000
86	1,2,2,2,3	unsat	3.090	199668	104916	deferred	0.000
87	1,2,2,2,4	unsat	2.744	174217	90079	deferred	0.000
89	1,2,2,3,2	unsat	15.366	763894	388710	deferred	0.000
88	1,2,2,3,1	unsat	17.642	832046	424603	deferred	0.000
90	1,2,2,3,3	unsat	4.437	280421	144259	deferred	0.000
91	1,2,2,3,4	unsat	9.100	526188	267798	deferred	0.000
92	1,2,2,4,1	unsat	13.187	667526	343451	deferred	0.000
93	1,2,2,4,2	unsat	9.524	515304	265649	deferred	0.000
95	1,2,2,4,4	unsat	2.012	136900	72007	deferred	0.000
96	1,2,3,1,1	unsat	0.003	1	1	passed	0.006
97	1,2,3,1,2	unsat	0.003	1	1	passed	0.005
98	1,2,3,1,3	unsat	0.003	1	1	passed	0.006
99	1,2,3,1,4	unsat	0.003	1	1	passed	0.006
94	1,2,2,4,3	unsat	9.827	531394	273027	deferred	0.000
101	1,2,3,2,2	unsat	0.007	1	1	passed	0.006
102	1,2,3,2,3	unsat	50.865	1897867	961871	deferred	0.000
100	1,2,3,2,1	unsat	62.427	2314494	1166637	deferred	0.000
104	1,2,3,3,1	unsat	8.481	447628	231526	deferred	0.000
105	1,2,3,3,2	unsat	3.828	241905	124442	deferred	0.000
106	1,2,3,3,3	unsat	4.581	269027	139296	deferred	0.000
107	1,2,3,3,4	unsat	7.865	429786	222017	deferred	0.000
103	1,2,3,2,4	unsat	52.342	1930065	977256	deferred	0.000
108	1,2,3,4,1	unsat	27.439	1171177	594396	deferred	0.000
109	1,2,3,4,2	unsat	15.410	729711	375303	deferred	0.000
111	1,2,3,4,4	unsat	7.064	383849	198861	deferred	0.000
112	1,2,4,1,1	unsat	0.003	1	1	passed	0.006
113	1,2,4,1,2	unsat	0.003	1	1	passed	0.006
114	1,2,4,1,3	unsat	0.003	1	1	passed	0.006
115	1,2,4,1,4	unsat	0.003	1	1	passed	0.006
110	1,2,3,4,3	unsat	26.585	1171654	594569	deferred	0.000
117	1,2,4,2,2	unsat	0.003	1	1	passed	0.006
118	1,2,4,2,3	unsat	33.926	1369968	697086	deferred	0.000
116	1,2,4,2,1	unsat	48.089	1795411	909828	deferred	0.000
120	1,2,4,3,1	unsat	13.006	645182	331410	deferred	0.000
121	1,2,4,3,2	unsat	9.602	515818	266503	deferred	0.000
122	1,2,4,3,3	unsat	4.165	232427	120847	deferred	0.000
119	1,2,4,2,4	unsat	33.902	1419781	718143	deferred	0.000
124	1,2,4,4,1	unsat	5.693	325434	169297	deferred	0.000
125	1,2,4,4,2	unsat	2.463	156269	82014	deferred	0.000
123	1,2,4,3,4	unsat	11.661	619322	315084	deferred	0.000
127	1,2,4,4,4	unsat	2.337	147362	77729	deferred	0.000
128	1,3,1,1,1	unsat	0.003	1	1	passed	0.006
129	1,3,1,1,2	unsat	0.003	1	1	passed	0.006
130	1,3,1,1,3	unsat	0.003	1	1	passed	0.006
131	1,3,1,1,4	unsat	0.003	1	1	passed	0.006
126	1,2,4,4,3	unsat	4.894	281038	144825	deferred	0.000
133	1,3,1,2,2	unsat	5.188	295379	152644	deferred	0.000
132	1,3,1,2,1	unsat	11.650	622943	318808	deferred	0.000
134	1,3,1,2,3	unsat	7.334	423573	215884	deferred	0.000
135	1,3,1,2,4	unsat	10.778	565810	289405	deferred	0.000
136	1,3,1,3,1	unsat	35.980	1454165	737925	deferred	0.000
138	1,3,1,3,3	unsat	0.003	1	1	passed	0.006
137	1,3,1,3,2	unsat	34.203	1375352	701440	deferred	0.000
140	1,3,1,4,1	unsat	17.390	851301	432658	deferred	0.000
141	1,3,1,4,2	unsat	15.445	762390	387608	deferred	0.000
142	1,3,1,4,3	unsat	8.657	462016	237611	deferred	0.000
139	1,3,1,3,4	unsat	50.040	1901548	965599	deferred	0.000
144	1,3,2,1,1	unsat	0.003	1	1	passed	0.006
145	1,3,2,1,2	unsat	0.003	1	1	passed	0.006
146	1,3,2,1,3	unsat	0.003	1	1	passed	0.005
147	1,3,2,1,4	unsat	0.003	1	1	passed	0.006
143	1,3,1,4,4	unsat	5.986	338352	175443	deferred	0.000
148	1,3,2,2,1	unsat	7.784	430332	222284	deferred	0.000
149	1,3,2,2,2	unsat	6.247	349466	179275	deferred	0.000
150	1,3,2,2,3	unsat	4.776	296473	153967	deferred	0.000
151	1,3,2,2,4	unsat	10.745	567855	291658	deferred	0.000
152	1,3,2,3,1	unsat	52.937	2073290	1052357	deferred	0.000
154	1,3,2,3,3	unsat	0.003	1	1	passed	0.005
153	1,3,2,3,2	unsat	59.819	2278828	1150143	deferred	0.000
156	1,3,2,4,1	unsat	14.491	706930	363124	deferred	0.000
155	1,3,2,3,4	unsat	41.299	1664566	842306	deferred	0.000
157	1,3,2,4,2	unsat	18.339	920515	467658	deferred	0.000
158	1,3,2,4,3	unsat	12.111	626764	322097	deferred	0.000
160	1,3,3,1,1	unsat	0.074	1	1	passed	0.013
161	1,3,3,1,2	unsat	0.003	1	1	passed	0.006
162	1,3,3,1,3	unsat	0.003	1	1	passed	0.006
163	1,3,3,1,4	unsat	0.003	1	1	passed	0.006
159	1,3,2,4,4	unsat	8.911	479985	247118	deferred	0.000
164	1,3,3,2,1	unsat	5.826	354716	184640	deferred	0.000
165	1,3,3,2,2	unsat	2.805	185944	96636	deferred	0.000
166	1,3,3,2,3	unsat	7.936	445912	229853	deferred	0.000
167	1,3,3,2,4	unsat	8.005	480084	247549	deferred	0.000
168	1,3,3,3,1	unsat	2.437	157296	83074	deferred	0.000
170	1,3,3,3,3	unsat	0.003	1	1	passed	0.006
171	1,3,3,3,4	unsat	3.096	218021	112245	deferred	0.000
169	1,3,3,3,2	unsat	5.433	321915	165636	deferred	0.000
172	1,3,3,4,1	unsat	10.405	563084	286549	deferred	0.000
173	1,3,3,4,2	unsat	12.950	645448	331422	deferred	0.000
175	1,3,3,4,4	unsat	2.519	167983	88868	deferred	0.000
176	1,3,4,1,1	unsat	0.003	1	1	passed	0.006
177	1,3,4,1,2	unsat	0.003	1	1	passed	0.006
178	1,3,4,1,3	unsat	0.003	1	1	passed	0.006
179	1,3,4,1,4	unsat	0.003	1	1	passed	0.006
174	1,3,3,4,3	unsat	13.088	668117	344040	deferred	0.000
181	1,3,4,2,2	unsat	4.972	272343	142420	deferred	0.000
180	1,3,4,2,1	unsat	15.214	749726	385178	deferred	0.000
182	1,3,4,2,3	unsat	6.739	384504	199610	deferred	0.000
183	1,3,4,2,4	unsat	11.768	624072	319780	deferred	0.000
184	1,3,4,3,1	unsat	26.788	1119381	568097	deferred	0.000
186	1,3,4,3,3	unsat	0.003	1	1	passed	0.005
185	1,3,4,3,2	unsat	35.493	1423406	722209	deferred	0.000
188	1,3,4,4,1	unsat	3.304	197954	103443	deferred	0.000
189	1,3,4,4,2	unsat	7.689	369061	191513	deferred	0.000
190	1,3,4,4,3	unsat	3.159	167507	88448	deferred	0.000
191	1,3,4,4,4	unsat	3.668	209873	109704	deferred	0.000
192	1,4,1,1,1	unsat	0.003	1	1	passed	0.006
193	1,4,1,1,2	unsat	0.003	1	1	passed	0.005
194	1,4,1,1,3	unsat	0.003	1	1	passed	0.006
195	1,4,1,1,4	unsat	0.003	1	1	passed	0.006
196	1,4,1,2,1	unsat	0.003	1	1	passed	0.008
197	1,4,1,2,2	unsat	0.003	1	1	passed	0.008
198	1,4,1,2,3	unsat	0.003	1	1	passed	0.008
199	1,4,1,2,4	unsat	0.003	1	1	passed	0.008
200	1,4,1,3,1	unsat	0.003	1	1	passed	0.008
201	1,4,1,3,2	unsat	0.003	1	1	passed	0.008
202	1,4,1,3,3	unsat	0.003	1	1	passed	0.008
203	1,4,1,3,4	unsat	0.003	1	1	passed	0.008
204	1,4,1,4,1	unsat	0.003	1	1	passed	0.008
205	1,4,1,4,2	unsat	0.003	1	1	passed	0.008
206	1,4,1,4,3	unsat	0.003	1	1	passed	0.008
207	1,4,1,4,4	unsat	0.003	1	1	passed	0.006
208	1,4,2,1,1	unsat	0.003	1	1	passed	0.006
209	1,4,2,1,2	unsat	0.003	1	1	passed	0.006
210	1,4,2,1,3	unsat	0.003	1	1	passed	0.006
211	1,4,2,1,4	unsat	0.003	1	1	passed	0.006
212	1,4,2,2,1	unsat	0.003	1	1	passed	0.008
213	1,4,2,2,2	unsat	0.003	1	1	passed	0.008
214	1,4,2,2,3	unsat	0.003	1	1	passed	0.008
215	1,4,2,2,4	unsat	0.005	1	1	passed	0.009
216	1,4,2,3,1	unsat	0.003	1	1	passed	0.009
217	1,4,2,3,2	unsat	0.009	1	1	passed	0.008
218	1,4,2,3,3	unsat	0.003	1	1	passed	0.015
219	1,4,2,3,4	unsat	0.003	1	1	passed	0.008
220	1,4,2,4,1	unsat	0.003	1	1	passed	0.008
221	1,4,2,4,2	unsat	0.003	1	1	passed	0.008
222	1,4,2,4,3	unsat	0.003	1	1	passed	0.008
223	1,4,2,4,4	unsat	0.003	1	1	passed	0.006
224	1,4,3,1,1	unsat	0.003	1	1	passed	0.006
225	1,4,3,1,2	unsat	0.003	1	1	passed	0.006
226	1,4,3,1,3	unsat	0.003	1	1	passed	0.005
227	1,4,3,1,4	unsat	0.003	1	1	passed	0.005
228	1,4,3,2,1	unsat	0.006	1	1	passed	0.042
229	1,4,3,2,2	unsat	0.006	1	1	passed	0.026
230	1,4,3,2,3	unsat	0.003	1	1	passed	0.038
231	1,4,3,2,4	unsat	0.006	1	1	passed	0.010
232	1,4,3,3,1	unsat	0.003	1	1	passed	0.013
233	1,4,3,3,2	unsat	0.003	1	1	passed	0.008
234	1,4,3,3,3	unsat	0.003	1	1	passed	0.017
235	1,4,3,3,4	unsat	0.028	1	1	passed	0.017
236	1,4,3,4,1	unsat	0.003	1	1	passed	0.008
237	1,4,3,4,2	unsat	0.003	1	1	passed	0.008
238	1,4,3,4,3	unsat	0.005	1	1	passed	0.009
239	1,4,3,4,4	unsat	0.003	1	1	passed	0.008
240	1,4,4,1,1	unsat	0.005	1	1	passed	0.006
241	1,4,4,1,2	unsat	0.003	1	1	passed	0.008
242	1,4,4,1,3	unsat	0.003	1	1	passed	0.006
243	1,4,4,1,4	unsat	0.003	1	1	passed	0.010
244	1,4,4,2,1	unsat	0.003	1	1	passed	0.008
245	1,4,4,2,2	unsat	0.003	1	1	passed	0.008
246	1,4,4,2,3	unsat	0.006	1	1	passed	0.008
247	1,4,4,2,4	unsat	0.003	1	1	passed	0.008
248	1,4,4,3,1	unsat	0.003	1	1	passed	0.008
249	1,4,4,3,2	unsat	0.003	1	1	passed	0.008
250	1,4,4,3,3	unsat	0.003	1	1	passed	0.008
251	1,4,4,3,4	unsat	0.003	1	1	passed	0.008
252	1,4,4,4,1	unsat	0.003	1	1	passed	0.008
253	1,4,4,4,2	unsat	0.003	1	1	passed	0.008
254	1,4,4,4,3	unsat	0.003	1	1	passed	0.008
255	1,4,4,4,4	unsat	0.003	1	1	passed	0.006
256	2,1,1,1,1	unsat	0.003	1	1	passed	0.006
257	2,1,1,1,2	unsat	0.003	1	1	passed	0.005
258	2,1,1,1,3	unsat	0.003	1	1	passed	0.006
259	2,1,1,1,4	unsat	0.003	1	1	passed	0.006
260	2,1,1,2,1	unsat	0.003	1	1	passed	0.005
261	2,1,1,2,2	unsat	0.003	1	1	passed	0.005
262	2,1,1,2,3	unsat	0.003	1	1	passed	0.006
263	2,1,1,2,4	unsat	0.003	1	1	passed	0.006
264	2,1,1,3,1	unsat	0.003	1	1	passed	0.006
265	2,1,1,3,2	unsat	0.003	1	1	passed	0.006
266	2,1,1,3,3	unsat	0.003	1	1	passed	0.006
267	2,1,1,3,4	unsat	0.003	1	1	passed	0.006
268	2,1,1,4,1	unsat	0.003	1	1	passed	0.006
269	2,1,1,4,2	unsat	0.003	1	1	passed	0.005
270	2,1,1,4,3	unsat	0.003	1	1	passed	0.005
271	2,1,1,4,4	unsat	0.003	1	1	passed	0.012
272	2,1,2,1,1	unsat	0.003	1	1	passed	0.006
273	2,1,2,1,2	unsat	0.003	1	1	passed	0.005
274	2,1,2,1,3	unsat	0.003	1	1	passed	0.006
275	2,1,2,1,4	unsat	0.003	1	1	passed	0.005
276	2,1,2,2,1	unsat	0.003	1	1	passed	0.005
277	2,1,2,2,2	unsat	0.003	1	1	passed	0.005
278	2,1,2,2,3	unsat	0.003	1	1	passed	0.006
279	2,1,2,2,4	unsat	0.003	1	1	passed	0.006
280	2,1,2,3,1	unsat	0.003	1	1	passed	0.006
281	2,1,2,3,2	unsat	0.003	1	1	passed	0.006
282	2,1,2,3,3	unsat	0.003	1	1	passed	0.006
283	2,1,2,3,4	unsat	0.003	1	1	passed	0.006
284	2,1,2,4,1	unsat	0.003	1	1	passed	0.006
285	2,1,2,4,2	unsat	0.003	1	1	passed	0.006
286	2,1,2,4,3	unsat	0.003	1	1	passed	0.006
287	2,1,2,4,4	unsat	0.003	1	1	passed	0.006
