file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__031.smt2.slack.smt2	unsat	107	unsat	108	A	unsat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__015.smt2.slack.smt2	sat	7113	sat	7212	B	sat
QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage5.smt2	sat	108	sat	107	A	sat
QF_LIA/2019-ezsmt/incrementalScheduling/182-incremental_scheduling-17280-0.smt2	unknown	24122	unknown	24122	B	unknown
QF_LIA/20220307-SMPT/2PhLockVParam/RF-07.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-01.smt2	sat	108	sat	108	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-00.smt2	unsat	108	unsat	108	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-04.smt2	sat	109	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-12.smt2	sat	108	sat	108	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-04.smt2	sat	107	sat	108	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-08.smt2	unsat	108	unsat	108	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-03.smt2	sat	108	sat	108	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-03.smt2	sat	108	sat	108	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-08.smt2	sat	107	sat	108	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-06.smt2	sat	107	sat	108	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-14.smt2	sat	108	sat	108	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-14.smt2	unsat	108	unsat	108	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-10.smt2	sat	107	sat	108	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-08.smt2	sat	108	sat	108	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-00.smt2	sat	107	sat	108	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-03.smt2	sat	108	sat	108	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-09.smt2	sat	107	sat	108	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-01.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/BART-PT-002/RF-13.smt2	sat	108	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-02.smt2	unsat	108	unsat	108	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-04.smt2	sat	108	sat	108	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-11.smt2	sat	107	sat	107	A	sat
QF_LIA/CAV_2009_benchmarks/smt/10-vars/problem_2__022.smt2	sat	108	sat	108	B	sat
QF_LIA/CAV_2009_benchmarks/smt/10-vars/problem_2__026.smt2	unsat	107	unsat	108	A	unsat
QF_LIA/arctic-matrix/constraint-1107622.smt2	unknown	508	unknown	608	B	sat
QF_LIA/bofill-scheduling/SMT_random_LIA/ex27000_2600_100.smt2	unknown	24129	unknown	24228	A	sat
QF_LIA/bofill-scheduling/SMT_real_LIA/ex5640_2400_100.smt2	unknown	24129	unknown	24125	B	sat
QF_LIA/convert/convert-jpg2gif-query-1143.smt2	sat	8815	sat	8815	A	sat
QF_LIA/convert/convert-jpg2gif-query-1586.smt2	unknown	8715	unknown	8814	B	sat
QF_LIA/dillig/30-34.smt2	sat	808	sat	807	A	sat
QF_LIA/nec-smt/large/bftpd_login/prp-10-47.smt2	unknown	25025	unknown	25125	B	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-60-49.smt2	unknown	25026	unknown	24829	A	unsat
QF_LIA/nec-smt/large/checkpass/prp-40-50.smt2	unknown	25025	unknown	25129	B	unsat
QF_LIA/nec-smt/large/checkpass_pwd/prp-26-37.smt2	unknown	25025	unknown	21322	A	sat
QF_LIA/nec-smt/large/checkpass_pwd/prp-44-39.smt2	unknown	16723	unknown	16619	B	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-9-46.smt2	unknown	25031	unknown	24631	A	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-56-47.smt2	unknown	25027	unknown	22826	B	unsat
QF_LIA/nec-smt/large/checkpass/prp-39-48.smt2	unknown	25024	unknown	23325	A	unsat
QF_LIA/nec-smt/large/checkpass_pwd/prp-35-43.smt2	unknown	25022	unknown	22331	B	sat
QF_LIA/nec-smt/med/checkpass_pwd/prp-0-19.smt2	unknown	24131	unknown	24129	A	sat
