file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_S/2019-Jiang/slog/slog_stranger_1566_sink.smt2	unsat	208	unsat	107	A	unknown
QF_S/2019-Jiang/slog/slog_stranger_2251_sink.smt2	unsat	108	unsat	108	B	unknown
QF_S/2019-Jiang/slog/slog_stranger_286_sink.smt2	unknown	408	unknown	407	A	unknown
QF_S/2019-Jiang/slog/slog_stranger_4267_sink.smt2	sat	1810	sat	1809	B	unknown
QF_S/2019-Jiang/slog/slog_stranger_630_sink.smt2	unknown	808	unknown	808	A	unknown
QF_S/2020-sygus-qgen/queries/query3474.smt2	unknown	107	unknown	108	B	unknown
QF_S/20230329-automatark-lu/instance00219.smt2	sat	107	sat	107	A	sat
QF_S/20230329-automatark-lu/instance00595.smt2	sat	108	sat	107	B	sat
QF_S/20230329-automatark-lu/instance00971.smt2	sat	108	sat	107	A	sat
QF_S/20230329-automatark-lu/instance01347.smt2	sat	108	sat	107	B	sat
QF_S/20230329-automatark-lu/instance01723.smt2	sat	108	sat	107	A	sat
QF_S/20230329-automatark-lu/instance02099.smt2	sat	107	sat	108	B	sat
QF_S/20230329-automatark-lu/instance02475.smt2	sat	108	sat	108	A	sat
QF_S/20230329-automatark-lu/instance02851.smt2	sat	107	sat	107	B	sat
QF_S/20230329-automatark-lu/instance03227.smt2	sat	108	sat	108	A	sat
QF_S/20230329-automatark-lu/instance03603.smt2	sat	108	sat	108	B	sat
QF_S/20230329-automatark-lu/instance03979.smt2	sat	109	sat	108	A	sat
QF_S/20230329-automatark-lu/instance04355.smt2	sat	108	sat	108	B	sat
QF_S/20230329-automatark-lu/instance04731.smt2	sat	107	sat	108	A	sat
QF_S/20230329-automatark-lu/instance05107.smt2	sat	107	sat	108	B	sat
QF_S/20230329-automatark-lu/instance05483.smt2	sat	107	sat	108	A	sat
QF_S/20230329-automatark-lu/instance05859.smt2	sat	107	sat	109	B	sat
QF_S/20230329-automatark-lu/instance06235.smt2	unsat	108	unsat	107	A	unsat
QF_S/20230329-automatark-lu/instance06611.smt2	unsat	108	unsat	107	B	unsat
QF_S/20230329-automatark-lu/instance06987.smt2	sat	107	sat	108	A	sat
QF_S/20230329-automatark-lu/instance07363.smt2	sat	108	sat	108	B	sat
QF_S/20230329-automatark-lu/instance07739.smt2	sat	108	sat	108	A	sat
QF_S/20230329-automatark-lu/instance08115.smt2	sat	108	sat	107	B	sat
QF_S/20230329-automatark-lu/instance08491.smt2	unsat	108	unsat	108	A	unsat
QF_S/20230329-automatark-lu/instance08867.smt2	sat	107	sat	107	B	sat
QF_S/20230329-automatark-lu/instance09243.smt2	sat	107	sat	107	A	sat
QF_S/20230329-automatark-lu/instance09619.smt2	unsat	107	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance09995.smt2	sat	108	sat	107	A	sat
QF_S/20230329-automatark-lu/instance10371.smt2	sat	107	sat	108	B	sat
QF_S/20230329-automatark-lu/instance10747.smt2	sat	108	sat	107	A	sat
QF_S/20230329-automatark-lu/instance11123.smt2	unsat	107	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance11499.smt2	unsat	108	unsat	107	A	unsat
QF_S/20230329-automatark-lu/instance11875.smt2	unsat	108	unsat	107	B	unsat
QF_S/20230329-automatark-lu/instance12251.smt2	unsat	108	unsat	108	A	unsat
QF_S/20230329-automatark-lu/instance12627.smt2	unsat	108	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance13003.smt2	sat	107	sat	107	A	sat
QF_S/20230329-automatark-lu/instance13379.smt2	unsat	108	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance13755.smt2	unsat	107	unsat	108	A	unsat
QF_S/20230329-automatark-lu/instance14131.smt2	sat	108	sat	109	B	sat
QF_S/20230329-automatark-lu/instance14507.smt2	unsat	107	unsat	108	A	unknown
QF_S/20230329-automatark-lu/instance14883.smt2	sat	109	sat	107	B	sat
QF_S/20230329-automatark-lu/instance15259.smt2	sat	107	sat	108	A	sat
QF_S/20230329-automatark-lu/instance15635.smt2	unsat	107	unsat	108	B	unsat
QF_S/20230329-woorpje-lu/track01/01_track_113.smt2	sat	2309	sat	2310	A	sat
QF_S/20230329-woorpje-lu/track03/03_track_84.smt2	sat	6110	sat	6313	B	unknown
QF_S/2019-Jiang/slog/slog_stranger_1001_sink.smt2	unsat	107	unsat	108	A	unknown
QF_S/2019-Jiang/slog/slog_stranger_1727_sink.smt2	unsat	108	unsat	108	B	unknown
QF_S/2019-Jiang/slog/slog_stranger_2409_sink.smt2	unsat	108	unsat	108	A	unknown
QF_S/2019-Jiang/slog/slog_stranger_318_sink.smt2	unknown	508	unknown	508	B	unknown
QF_S/2019-Jiang/slog/slog_stranger_4645_sink.smt2	unknown	308	unknown	308	A	unknown
QF_S/2019-Jiang/slog/slog_stranger_829_sink.smt2	unsat	107	unsat	106	B	unknown
QF_S/2020-sygus-qgen/queries/query6620.smt2	unknown	107	unknown	108	A	unknown
QF_S/20230329-automatark-lu/instance00313.smt2	sat	106	sat	106	B	sat
QF_S/20230329-automatark-lu/instance00689.smt2	sat	107	sat	106	A	sat
QF_S/20230329-automatark-lu/instance01065.smt2	sat	107	sat	107	B	sat
