file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_69_QF_UFLIA.smt2	unknown	309	unknown	308	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/38347_525a1ca0331f2bcbf520_54_QF_UFLIA.smt2	unknown	1408	unknown	1410	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/44289_4066055e0f64d96da11a_15_QF_UFLIA.smt2	unknown	1408	unknown	1409	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_22_QF_UFLIA.smt2	unknown	2809	unknown	2911	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_76_QF_UFLIA.smt2	unknown	25127	unknown	25123	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/93493_5990a6bf5f2740164f77_50_QF_UFLIA.smt2	unknown	25027	unknown	25027	B	unknown
QF_UFLIA/TwoSquares/smtlib.606691.smt2	unsat	108	unsat	107	A	unsat
QF_UFLIA/TwoSquares/smtlib.686091.smt2	unsat	107	unsat	108	B	unsat
QF_UFLIA/mathsat/EufLaArithmetic/hard/hard18.smt2	unknown	25025	unknown	24327	A	unsat
QF_UFLIA/mathsat/EufLaArithmetic/medium/medium13.smt2	unsat	18320	unsat	18324	B	unsat
QF_UFLIA/mathsat/EufLaArithmetic/medium/medium9.smt2	unsat	18323	unsat	18321	A	unsat
QF_UFLIA/mathsat/Hash/hash_sat_03_14.smt2	sat	708	sat	707	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_04_08.smt2	sat	8013	sat	8013	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_04_20.smt2	sat	6412	sat	6414	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_05_14.smt2	sat	13117	sat	13921	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_06_08.smt2	sat	18321	sat	18323	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_06_20.smt2	sat	18422	sat	18519	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_07_14.smt2	sat	18418	sat	18424	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_08_08.smt2	sat	18419	sat	18423	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_08_20.smt2	sat	18519	sat	18521	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_09_14.smt2	sat	18522	sat	18523	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_10_08.smt2	sat	18418	sat	18423	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_10_20.smt2	sat	19024	sat	19126	A	sat
QF_UFLIA/mathsat/Hash/hash_uns_03_14.smt2	unsat	3110	unsat	2308	B	unsat
QF_UFLIA/mathsat/Hash/hash_uns_04_08.smt2	unsat	3911	unsat	3911	A	unsat
QF_UFLIA/mathsat/Hash/hash_uns_04_20.smt2	unsat	9614	unsat	9616	B	unsat
QF_UFLIA/mathsat/Hash/hash_uns_05_14.smt2	unsat	8513	unsat	8515	A	unsat
QF_UFLIA/mathsat/Wisa/xs-05-12-1-4-2-1.smt2	unsat	108	unsat	108	B	unsat
QF_UFLIA/mathsat/Wisa/xs-06-10-1-4-2-5.smt2	unsat	109	unsat	109	A	unsat
QF_UFLIA/mathsat/Wisa/xs-07-09-3-4-4-3.smt2	unsat	108	unsat	107	B	unsat
QF_UFLIA/mathsat/Wisa/xs-08-07-3-2-3-1.smt2	sat	208	sat	208	A	sat
QF_UFLIA/mathsat/Wisa/xs-09-06-1-5-3-2.smt2	sat	209	sat	207	B	sat
QF_UFLIA/mathsat/Wisa/xs-10-05-5-2-1-5.smt2	sat	208	sat	206	A	sat
QF_UFLIA/mathsat/Wisa/xs-10-19-3-4-2-4.smt2	unsat	2108	unsat	2109	B	unsat
