file	base_2611e14b0	ms	main_054104068	ms	first	status
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking04.smt2	sat	107	sat	107	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking08.smt2	sat	307	sat	306	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking12.smt2	sat	607	sat	607	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking16.smt2	sat	1008	sat	1107	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking20.smt2	sat	1608	sat	1608	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-3.smt2	sat	707	sat	707	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-7.smt2	unknown	25126	unknown	25129	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-2.smt2	sat	107	sat	106	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-6.smt2	unknown	25128	unknown	25029	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-06.smt2	sat	206	sat	207	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-10.smt2	sat	407	sat	407	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-60.smt2	sat	1308	sat	1308	B	sat
QF_RDL/check/bignum_rdl1.smt2	unknown	108	unknown	107	A	sat
QF_RDL/sal/fischer3-mutex-11.smt2	unsat	408	unsat	407	B	unsat
QF_RDL/sal/fischer3-mutex-15.smt2	unsat	1108	unsat	1208	A	unsat
QF_RDL/sal/fischer3-mutex-19.smt2	unsat	2409	unsat	2409	B	unsat
QF_RDL/sal/fischer3-mutex-4.smt2	unsat	107	unsat	107	A	unsat
QF_RDL/sal/fischer3-mutex-8.smt2	unsat	107	unsat	107	B	unsat
QF_RDL/sal/fischer6-mutex-11.smt2	unsat	4511	unsat	4711	A	unsat
QF_RDL/sal/fischer6-mutex-15.smt2	unsat	8414	unsat	8414	B	unsat
QF_RDL/sal/fischer6-mutex-19.smt2	unknown	24129	unknown	24127	A	unsat
QF_RDL/sal/fischer6-mutex-4.smt2	unsat	107	unsat	107	B	unsat
QF_RDL/sal/fischer6-mutex-8.smt2	unsat	607	unsat	607	A	unsat
QF_RDL/sal/fischer9-mutex-11.smt2	unsat	10216	unsat	10416	B	unsat
QF_RDL/sal/fischer9-mutex-15.smt2	unknown	24128	unknown	24230	A	unsat
QF_RDL/sal/fischer9-mutex-19.smt2	unknown	24230	unknown	24229	B	unsat
QF_RDL/sal/fischer9-mutex-4.smt2	unsat	107	unsat	109	A	unsat
QF_RDL/sal/fischer9-mutex-8.smt2	unsat	909	unsat	909	B	unsat
QF_RDL/scheduling/abz5_1234.smt2	sat	5412	sat	5614	A	sat
QF_RDL/scheduling/abz6_1100.smt2	sat	207	sat	208	B	sat
QF_RDL/scheduling/abz7_500.smt2	unsat	6413	unsat	6513	A	unsat
QF_RDL/scheduling/abz7_691.smt2	unknown	24128	unknown	24228	B	sat
QF_RDL/scheduling/orb01_1059.smt2	unknown	24025	unknown	24026	A	sat
QF_RDL/scheduling/orb02_1000.smt2	sat	707	sat	807	B	sat
QF_RDL/scheduling/orb02_900.smt2	sat	907	sat	1007	A	sat
QF_RDL/scheduling/orb03_850.smt2	unsat	1108	unsat	1108	B	unsat
QF_RDL/scheduling/orb04_1200.smt2	sat	107	sat	107	A	sat
QF_RDL/scheduling/orb05_700.smt2	unsat	107	unsat	106	B	unsat
QF_RDL/scheduling/orb06_1000.smt2	unknown	24026	unknown	24026	A	unsat
QF_RDL/scheduling/orb06_900.smt2	unsat	13919	unsat	14419	B	unsat
QF_RDL/scheduling/orb07_430.smt2	sat	1208	sat	1208	A	sat
QF_RDL/scheduling/orb08_830.smt2	unsat	3109	unsat	3109	B	unsat
QF_RDL/scheduling/orb09_1100.smt2	sat	207	sat	208	A	sat
QF_RDL/scheduling/orb10_1000.smt2	sat	207	sat	208	B	sat
QF_RDL/scheduling/orb10_944.smt2	sat	907	sat	907	A	sat
QF_RDL/scheduling/swv11_2992.smt2	none	13489	none	12686	B	unknown
QF_RDL/scheduling/swv12_2990.smt2	none	11487	none	13089	A	unknown
QF_RDL/scheduling/swv13_3104.smt2	none	12187	none	11088	B	unknown
QF_RDL/scheduling/swv14_2885.smt2	none	10885	none	10882	A	unknown
QF_RDL/scheduling/yn1_750.smt2	unsat	907	unsat	907	B	unsat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking01.smt2	sat	107	sat	106	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking05.smt2	sat	207	sat	207	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking09.smt2	sat	307	sat	406	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking13.smt2	sat	707	sat	707	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking17.smt2	sat	1107	sat	1208	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking21.smt2	sat	1809	sat	1808	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-4.smt2	sat	3710	sat	3809	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-matrix1x1.pddl.smt2	sat	107	sat	106	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-3.smt2	sat	707	sat	807	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-03.smt2	sat	106	sat	107	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-07.smt2	sat	206	sat	207	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-20.smt2	sat	1207	sat	1308	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-70.smt2	sat	1608	sat	1608	A	sat
QF_RDL/check/bignum_rdl2.smt2	unsat	107	unsat	107	B	unsat
QF_RDL/sal/fischer3-mutex-12.smt2	unsat	507	unsat	507	A	unsat
QF_RDL/sal/fischer3-mutex-16.smt2	unsat	1307	unsat	1408	B	unsat
QF_RDL/sal/fischer3-mutex-2.smt2	unsat	106	unsat	106	A	unsat
QF_RDL/sal/fischer3-mutex-5.smt2	unsat	107	unsat	107	B	unsat
QF_RDL/sal/fischer3-mutex-9.smt2	unsat	208	unsat	207	A	unsat
QF_RDL/sal/fischer6-mutex-12.smt2	unsat	5410	unsat	6213	B	unsat
QF_RDL/sal/fischer6-mutex-16.smt2	unsat	9114	unsat	9315	A	unsat
QF_RDL/sal/fischer6-mutex-2.smt2	unsat	106	unsat	106	B	unsat
QF_RDL/sal/fischer6-mutex-5.smt2	unsat	106	unsat	106	A	unsat
QF_RDL/sal/fischer6-mutex-9.smt2	unsat	1107	unsat	1107	B	unsat
QF_RDL/sal/fischer9-mutex-12.smt2	unsat	16420	unsat	16520	A	unsat
QF_RDL/sal/fischer9-mutex-16.smt2	unknown	24227	unknown	24226	B	unsat
QF_RDL/sal/fischer9-mutex-2.smt2	unsat	106	unsat	106	A	unsat
QF_RDL/sal/fischer9-mutex-5.smt2	unsat	207	unsat	206	B	unsat
QF_RDL/sal/fischer9-mutex-9.smt2	unsat	2608	unsat	2609	A	unsat
QF_RDL/scheduling/abz5_1300.smt2	sat	507	sat	607	B	sat
QF_RDL/scheduling/abz6_800.smt2	unsat	106	unsat	106	A	unsat
QF_RDL/scheduling/abz7_600.smt2	unknown	24128	unknown	24128	B	unknown
QF_RDL/scheduling/abz7_700.smt2	unknown	24129	unknown	24129	A	sat
QF_RDL/scheduling/orb01_1100.smt2	unknown	24027	unknown	24027	B	sat
QF_RDL/scheduling/orb02_700.smt2	unsat	107	unsat	106	A	unsat
QF_RDL/scheduling/orb03_1005.smt2	unknown	24025	unknown	24026	B	sat
QF_RDL/scheduling/orb03_950.smt2	unknown	24027	unknown	24028	A	unsat
QF_RDL/scheduling/orb04_850.smt2	unsat	107	unsat	107	B	unsat
QF_RDL/scheduling/orb05_800.smt2	unsat	707	unsat	707	A	unsat
QF_RDL/scheduling/orb06_1010.smt2	unknown	24027	unknown	24026	B	sat
QF_RDL/scheduling/orb07_250.smt2	unsat	106	unsat	106	A	unsat
QF_RDL/scheduling/orb07_550.smt2	sat	107	sat	106	B	sat
QF_RDL/scheduling/orb08_888.smt2	unsat	11216	unsat	11416	A	unsat
QF_RDL/scheduling/orb09_800.smt2	unsat	106	unsat	106	B	unsat
QF_RDL/scheduling/orb10_1100.smt2	sat	207	sat	207	A	sat
QF_RDL/scheduling/swv11_2900.smt2	none	13286	none	13485	B	unknown
QF_RDL/scheduling/swv11_3050.smt2	none	10786	none	10784	A	unknown
QF_RDL/scheduling/swv12_3004.smt2	none	12588	none	12687	B	unknown
QF_RDL/scheduling/swv13_3150.smt2	none	10682	none	10782	A	unknown
QF_RDL/scheduling/swv14_2895.smt2	none	10783	none	10884	B	unknown
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking02.smt2	sat	108	sat	107	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking06.smt2	sat	209	sat	207	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking10.smt2	sat	407	sat	407	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking14.smt2	sat	808	sat	809	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking18.smt2	sat	1310	sat	1309	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking22.smt2	sat	2009	sat	2010	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-5.smt2	unknown	25031	unknown	25031	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-matrix2x2.pddl.smt2	unknown	25123	unknown	25131	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-4.smt2	sat	6114	sat	6212	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-04.smt2	sat	107	sat	108	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-08.smt2	sat	307	sat	308	A	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-30.smt2	sat	2811	sat	3011	B	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-80.smt2	sat	2010	sat	2011	A	sat
QF_RDL/sal/fischer3-mutex-1.smt2	unsat	108	unsat	108	B	unsat
QF_RDL/sal/fischer3-mutex-13.smt2	unsat	808	unsat	909	A	unsat
QF_RDL/sal/fischer3-mutex-17.smt2	unsat	2110	unsat	2210	B	unsat
QF_RDL/sal/fischer3-mutex-20.smt2	unsat	2610	unsat	2611	A	unsat
QF_RDL/sal/fischer3-mutex-6.smt2	unsat	108	unsat	108	B	unsat
QF_RDL/sal/fischer6-mutex-1.smt2	unsat	107	unsat	108	A	unsat
QF_RDL/sal/fischer6-mutex-13.smt2	unsat	7315	unsat	7415	B	unsat
QF_RDL/sal/fischer6-mutex-17.smt2	unsat	16123	unsat	15924	A	unsat
QF_RDL/sal/fischer6-mutex-20.smt2	unknown	24132	unknown	24233	B	unsat
QF_RDL/sal/fischer6-mutex-6.smt2	unsat	208	unsat	207	A	unsat
