file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
QF_BV/sage/app12/bench_3388.smt2	unsat	106	0	unsat	105	0	A	unsat
QF_BV/sage/app12/bench_3595.smt2	sat	106	0	sat	106	0	B	sat
QF_BV/sage/app12/bench_3801.smt2	unsat	105	0	unsat	105	0	A	unsat
QF_BV/sage/app12/bench_4008.smt2	sat	105	0	sat	106	0	B	sat
QF_BV/sage/app12/bench_4215.smt2	unsat	105	0	unsat	106	0	A	unsat
QF_BV/sage/app12/bench_4422.smt2	unsat	106	0	unsat	105	0	B	unsat
QF_BV/sage/app12/bench_463.smt2	sat	106	0	sat	105	0	A	sat
QF_BV/sage/app12/bench_4837.smt2	sat	106	0	sat	105	0	B	sat
QF_BV/sage/app12/bench_5043.smt2	sat	105	0	sat	105	0	A	sat
QF_BV/sage/app12/bench_5250.smt2	unsat	106	0	unsat	105	0	B	unsat
QF_BV/sage/app12/bench_5458.smt2	unsat	106	0	unsat	105	0	A	unsat
QF_BV/sage/app12/bench_5665.smt2	unsat	104	0	unsat	105	0	B	unsat
QF_BV/sage/app12/bench_666.smt2	sat	106	0	sat	105	0	A	sat
QF_BV/sage/app12/bench_873.smt2	unsat	105	0	unsat	106	0	B	unsat
QF_BV/sage/app2/bench_108.smt2	unsat	105	0	unsat	106	0	A	unsat
QF_BV/sage/app2/bench_1287.smt2	unsat	105	0	unsat	105	0	B	unsat
QF_BV/sage/app2/bench_218.smt2	unsat	105	0	unsat	106	0	A	unsat
QF_BV/sage/app2/bench_425.smt2	unsat	106	0	unsat	106	0	B	unsat
QF_BV/sage/app2/bench_632.smt2	unsat	106	0	unsat	106	0	A	unsat
QF_BV/sage/app2/bench_84.smt2	unsat	106	0	unsat	105	0	B	unsat
QF_BV/sage/app5/bench_1046.smt2	unsat	106	0	unsat	105	0	A	unsat
QF_BV/sage/app5/bench_126.smt2	unsat	105	0	unsat	106	0	B	unsat
QF_BV/sage/app5/bench_468.smt2	sat	105	0	sat	106	0	A	sat
QF_BV/sage/app5/bench_675.smt2	unsat	104	0	unsat	106	0	B	unsat
QF_BV/sage/app5/bench_882.smt2	unsat	106	0	unsat	105	0	A	unsat
QF_BV/sage/app6/bench_190.smt2	sat	106	0	sat	105	0	B	sat
QF_BV/sage/app7/bench_1075.smt2	unsat	106	0	unsat	105	0	A	unsat
QF_BV/sage/app7/bench_1282.smt2	unsat	106	0	unsat	106	0	B	unsat
QF_BV/sage/app7/bench_149.smt2	unsat	7010	0	unsat	7010	0	A	unsat
QF_BV/sage/app7/bench_1697.smt2	unsat	1806	0	unsat	1806	0	B	unsat
QF_BV/sage/app7/bench_1903.smt2	unsat	11212	0	unsat	11313	0	A	unsat
QF_BV/sage/app7/bench_211.smt2	unsat	7007	0	unsat	7011	0	B	unsat
QF_BV/sage/app7/bench_2317.smt2	unsat	105	0	unsat	106	0	A	unsat
QF_BV/sage/app7/bench_2524.smt2	unsat	105	0	unsat	105	0	B	unsat
QF_BV/sage/app7/bench_2731.smt2	unsat	806	0	unsat	806	0	A	unsat
QF_BV/sage/app7/bench_2939.smt2	sat	106	0	sat	105	0	B	sat
QF_BV/sage/app7/bench_3145.smt2	unsat	105	0	unsat	106	0	A	unsat
QF_BV/sage/app7/bench_3352.smt2	unsat	706	0	unsat	706	0	B	unsat
QF_BV/sage/app7/bench_356.smt2	unsat	6110	0	unsat	6110	0	A	unsat
QF_BV/sage/app7/bench_3767.smt2	unsat	606	0	unsat	607	0	B	unsat
QF_BV/sage/app7/bench_3974.smt2	unsat	606	0	unsat	607	0	A	unsat
QF_BV/sage/app7/bench_4180.smt2	unsat	105	0	unsat	105	0	B	unsat
QF_BV/sage/app7/bench_4388.smt2	unsat	105	0	unsat	105	0	A	unsat
QF_BV/sage/app7/bench_4595.smt2	sat	106	0	sat	106	0	B	sat
QF_BV/sage/app7/bench_4801.smt2	unsat	506	0	unsat	506	0	A	unsat
QF_BV/sage/app7/bench_5008.smt2	unsat	306	0	unsat	305	0	B	unsat
