file	mode	conjuncts	split	z3_core	minimal	min_status	core_z3	core_cvc5	ms	host	core
AUFDTLIRA/20200306-Kanig/spark2014bench/N530-032__swap__sorters.adb_60_25_assert___00.smt2	full	15	unsat	1	1	MINIMAL	unsat	unsat	905	server5	1
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	full	29	unsat	2	2	MINIMAL	unsat	unsat	20325	server6	3
AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.adb_181_22_overflow_check___00.smt2	full	13	unknown	NA	NA	NA	NA	NA	60061	server5	1
AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__prefix_sum__prefixsum.ads_18_32_unreachable_branch___00.smt2	full	9	unknown	NA	NA	NA	NA	NA	60035	server6	3
AUFDTLIRA/20200306-Kanig/spark2014bench/Q328-034__mut_discr__screen_output.adb_70_10_dead_code___00.smt2	full	37	unknown	NA	NA	NA	NA	NA	60053	server5	1
AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_118_8_use_formal_vectors.ads_10_4_predicate_check___00.smt2	full	50	unsat	4	2	MINIMAL	unsat	unsat	12850	server6	3
AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	full	37	unsat	1	1	MINIMAL	unsat	unsat	82	server5	1
AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__array_aggregates__array_aggregates.adb_309_22_assert___00.smt2	full	9	unknown	NA	NA	NA	NA	NA	60014	server6	3
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32332_safety_0.smt2	full	92	sat	NA	NA	NA	NA	NA	1662	server5	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8065_safety_0.smt2	full	243	sat	NA	NA	NA	NA	NA	14012	server6	3
QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__terminationS_45_0.smt2	full	250	unsat	66	66	MIN-CAPPED>64	unsat	unsat	34074	server5	1
QF_NIA/20170427-VeryMax/ITS/From_T2__sas2.t2__terminationQ_2_0.smt2	full	53	sat	NA	NA	NA	NA	NA	1862	server6	3
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2__p22227_terminationG_0.smt2	full	194	unknown	NA	NA	NA	NA	NA	60119	server5	1
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2_fixed__terminationS_31_0.smt2	full	288	unsat	62	36	MINIMAL	unsat	unsat	174888	server6	3
QF_NIA/20170427-VeryMax/ITS/From_T2__small01.t2__p23469_terminationG_0.smt2	full	20	unsat	CORE-FAILED:unknown	NA	NA	NA	NA	65160	server5	1
QF_NIA/20170427-VeryMax/ITS/From_T2__tqli.c.i.tqli.pl.t2.nor.t2.rlgfixed.t2__p25069_terminationG_0.smt2	full	339	unknown	NA	NA	NA	NA	NA	60155	server5	1
QF_NIA/AProVE/aproveSMT7795667227375240089.smt2	full	30	unsat	19	16	MINIMAL	unsat	unsat	7630	server5	1
