subset	verdict	rc	ms	host	core
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.prefix1.smt2	unknown	0	108	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.prefix10.smt2	unknown	0	108	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.prefix2.smt2	unknown	0	108	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.prefix5.smt2	unknown	0	109	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.rel0.smt2	unknown	0	450	server5	1
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.rel1.smt2	unknown	0	24028	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.rel2.smt2	unsat	0	22626	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.rel3.smt2	unknown	0	24127	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.small1.smt2	sat	0	110	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.small10.smt2	unknown	0	109	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.small2.smt2	sat	0	108	server5	1
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.small5.smt2	sat	0	112	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.suffix1.smt2	unknown	0	110	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.suffix10.smt2	unknown	0	23726	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.suffix2.smt2	unknown	0	110	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.suffix5.smt2	unknown	0	110	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.prefix1.smt2	unknown	0	108	server5	1
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.prefix10.smt2	unknown	0	111	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.prefix2.smt2	unknown	0	110	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.prefix5.smt2	unknown	0	109	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.rel0.smt2	unsat	0	410	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.rel1.smt2	unknown	0	13222	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.rel2.smt2	unknown	0	13318	server5	1
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.rel3.smt2	unknown	0	13118	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.small1.smt2	unknown	0	109	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.small10.smt2	unknown	0	110	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.small2.smt2	unknown	0	110	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.small5.smt2	unknown	0	111	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.suffix1.smt2	unsat	0	508	server5	1
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.suffix10.smt2	unknown	0	14324	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.suffix2.smt2	unsat	0	510	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.suffix5.smt2	unsat	0	510	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.prefix1.smt2	unknown	0	110	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.prefix10.smt2	unknown	0	111	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.prefix2.smt2	unknown	0	108	server5	1
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.prefix25.smt2	unknown	0	6115	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.prefix5.smt2	unknown	0	110	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.rel0.smt2	unknown	0	11719	server7	1
