file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24288_terminationG_0.smt2	unsat	4012	0	unknown	24133	0	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__FlattenRTA.jar-obl-10__p29424_safety_0.smt2	sat	11120	0	sat	609	0	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4535_safety_0.smt2	unknown	10920	0	unknown	10820	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31643_safety_0.smt2	unknown	11121	0	unknown	10920	0	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8063_safety_0.smt2	unknown	24234	0	sat	20530	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__agafp.t2__terminationS_0_0.smt2	unknown	24434	0	unknown	25127	0	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p30353_safety_0.smt2	sat	10720	0	sat	109	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__firewire.t2__p32293_terminationG_0.smt2	unknown	13523	0	unknown	12822	0	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__n-12.t2_fixed__p3457_edge_closing_0.smt2	unknown	24134	0	unknown	24136	0	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__polyrank2.t2__p7393_terminationG_0.smt2	unsat	3812	0	unknown	24134	0	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p19927_safety_0.smt2	sat	10921	0	sat	209	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__small35.t2__p24070_terminationG_0.smt2	unknown	24132	0	unknown	24135	0	B	unknown
QF_NIA/20170427-VeryMax/SAT14/1027.smt2	unknown	17828	0	unknown	25136	0	A	sat
QF_NIA/20170427-VeryMax/SAT14/39.smt2	unknown	24235	0	unknown	24134	0	B	sat
QF_NIA/20220315-MathProblems/STC_0769.smt2	unknown	24133	0	unknown	24035	0	A	unsat
QF_NIA/AProVE/aproveSMT680271438544777003.smt2	sat	110	0	sat	109	0	B	sat
QF_NIA/mcm/29.smt2	unknown	24236	0	unknown	24236	0	A	unknown
