file	A1	A2	A3	B1	B2	B3	verdict
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__DivMinus.jar-obl-11__p28570_edge_closing_0.smt2	sat/0	sat/0	sat/0	sat/0	sat/0	sat/0	BOTH-DECIDE
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2_fixed__p4922_terminationG_0.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/SAT14/1280.smt2	sat/0	sat/0	sat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
UFNIA/2019-Preiner/combined/f2_rw77.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__NonTermination2_false-termination.c__p24932_edge_closing_0.smt2	sat/0	sat/0	sat/0	sat/0	sat/0	sat/0	BOTH-DECIDE
QF_NIA/20170427-VeryMax/ITS/From_T2__consts1nt.t2__p17935_terminationG_0.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-4-filtered.t2__p22683_terminationG_0.smt2	unknown/0	unknown/0	unknown/0	sat/0	sat/0	sat/0	STABLE-GAIN
QF_NIA/20170427-VeryMax/SAT14/1395.smt2	sat/0	sat/0	sat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
UFNIA/2019-Preiner/combined/t3_rw777.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Hanoi_3vars_false-termination.c__terminationQ_13_0.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/ITS/From_T2__n-21.t2__p3959_terminationG_0.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-n1.t2_fixed__p22997_safety_0.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/SAT14/1854.smt2	sat/0	sat/0	sat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
UFNIA/sledgehammer/Fundamental_Theorem_Algebra/z3.1400790.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
