file	base_v	base_kind	base_att	fix_v	fix_kind	fix_att	load	base_detail	fix_detail
QF_AUFLIA/20170829-Rodin/smt101358492275879472.smt2	unsat		4	unsat		4	12.09		
QF_AUFLIA/20170829-Rodin/smt1232146482622696854.smt2	unsat		3	unsat		3	12.09		
QF_AUFLIA/20170829-Rodin/smt1355996306873782731.smt2	unsat		4	unsat		4	12.09		
QF_AUFLIA/20170829-Rodin/smt1525565934219293349.smt2	unsat		4	unsat		4	12.64		
QF_AUFLIA/20170829-Rodin/smt166278749308099823.smt2	unsat		3	unsat		3	12.64		
QF_AUFLIA/20170829-Rodin/smt1823835542615668089.smt2	unsat		4	unsat		4	12.64		
QF_AUFLIA/20170829-Rodin/smt1989795988797382439.smt2	unsat		3	unsat		3	12.64		
QF_AUFLIA/20170829-Rodin/smt2180380275580545420.smt2	sat		5	sat		5	12.64		
QF_AUFLIA/20170829-Rodin/smt2349554521575265533.smt2	unsat		4	unsat		4	12.64		
QF_AUFLIA/20170829-Rodin/smt2468388263826893998.smt2	sat		4	sat		4	12.64		
QF_AUFLIA/20170829-Rodin/smt2677767669072326293.smt2	unsat		5	unsat		5	12.64		
QF_AUFLIA/20170829-Rodin/smt2922685147464036249.smt2	unsat		3	unsat		3	12.64		
QF_AUFLIA/20170829-Rodin/smt3093696166632615469.smt2	sat		4	sat		4	12.64		
QF_AUFLIA/20170829-Rodin/smt3275743009640726251.smt2	unsat		7	unsat		7	12.64		
QF_AUFLIA/20170829-Rodin/smt3440074116434092548.smt2	sat		3	sat		3	12.64		
QF_AUFLIA/20170829-Rodin/smt3523843011010396885.smt2	unsat		3	unsat		3	12.64		
QF_AUFLIA/20170829-Rodin/smt3728766622780732153.smt2	unsat		3	unsat		3	12.64		
QF_AUFLIA/20170829-Rodin/smt3809310795425240370.smt2	unsat		5	unsat		5	12.64		
QF_AUFLIA/20170829-Rodin/smt407122468318533822.smt2	unsat		5	unsat		5	12.64		
QF_AUFLIA/20170829-Rodin/smt4238401262965072047.smt2	unsat		3	unsat		3	12.64		
QF_AUFLIA/20170829-Rodin/smt436905341138176170.smt2	unsat		7	unsat		7	13.87		
QF_AUFLIA/20170829-Rodin/smt4514744799427321218.smt2	unsat		3	unsat		3	13.87		
QF_AUFLIA/20170829-Rodin/smt4625083610563501181.smt2	unknown	Error	25	unknown	Error	25	13.87	give-up kind=Error detail=unsupported by backend: term #0 has sort (Uninterpreted 0) that the pure-Rust BV backend cannot bit-blast	give-up kind=Error detail=unsupported by backend: term #0 has sort (Uninterpreted 0) that the pure-Rust BV backend cannot bit-blast
QF_AUFLIA/20170829-Rodin/smt4909910871814089418.smt2	sat		5	sat		5	13.87		
QF_AUFLIA/20170829-Rodin/smt5103224205058501184.smt2	unsat		4	unsat		4	13.87		
QF_AUFLIA/20170829-Rodin/smt5410124224885464815.smt2	unsat		3	unsat		3	13.87		
QF_AUFLIA/20170829-Rodin/smt5584401144276258491.smt2	unsat		4	unsat		4	13.87		
QF_AUFLIA/20170829-Rodin/smt5743509124567723052.smt2	unsat		4	unsat		4	13.87		
QF_AUFLIA/20170829-Rodin/smt593896481169620861.smt2	sat		9	sat		9	13.87		
QF_AUFLIA/20170829-Rodin/smt615792926171406937.smt2	unsat		5	unsat		5	13.87		
QF_AUFLIA/20170829-Rodin/smt6395525940490892471.smt2	unsat		6	unsat		6	13.87		
QF_AUFLIA/20170829-Rodin/smt6534511334474546878.smt2	unsat		4	unsat		4	13.87		
QF_AUFLIA/20170829-Rodin/smt6683355899000363898.smt2	sat		6	sat		6	13.87		
QF_AUFLIA/20170829-Rodin/smt6879946163714078134.smt2	unsat		3	unsat		3	13.87		
QF_AUFLIA/20170829-Rodin/smt7006792903852855302.smt2	unsat		4	unsat		4	13.87		
QF_AUFLIA/20170829-Rodin/smt7178509395836479705.smt2	unsat		3	unsat		3	13.87		
QF_AUFLIA/20170829-Rodin/smt7523130558871236757.smt2	unsat		3	unsat		3	13.87		
QF_AUFLIA/20170829-Rodin/smt7725713132450845498.smt2	unsat		3	unsat		3	13.80		
QF_AUFLIA/20170829-Rodin/smt7909578851601176589.smt2	unsat		3	unsat		3	13.80		
QF_AUFLIA/20170829-Rodin/smt8078846980698793773.smt2	unsat		3	unsat		3	13.80		
QF_AUFLIA/20170829-Rodin/smt8233570541221801360.smt2	unsat		5	unsat		5	13.80		
QF_AUFLIA/20170829-Rodin/smt8579077759948482627.smt2	sat		4	sat		4	13.80		
QF_AUFLIA/20170829-Rodin/smt8706308851182253950.smt2	sat		5	sat		5	13.80		
QF_AUFLIA/20170829-Rodin/smt8855116929086333489.smt2	unsat		3	unsat		3	13.80		
QF_AUFLIA/20170829-Rodin/smt9065296178149417744.smt2	unsat		6	unsat		6	13.80		
QF_AUFLIA/array_benchmarks/misc/pipeline-invalid.smt2	sat		13	unknown	Incomplete	21	13.80		give-up kind=Incomplete detail=lazy-extensionality scalar backend declined (round=2, sites=992, array_eq_atoms=19, row_lemmas=103, cong_lemmas=1197, diff_skolems=0, working_assertions=1629, last_candi
QF_AUFLIA/cvc/dlx-regfile.smt2	unknown	Timeout	21	unknown	Timeout	21	17.99	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy-ROW deadline exceeded before refinement converged	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy-ROW deadline exceeded before refinement converged
QF_AUFLIA/cvc/pp-dmem.smt2	unknown	Watchdog	7	unknown	Watchdog	7	21.42	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_AUFLIA/cvc/read8.smt2	unknown	Timeout	19	unknown	Timeout	19	21.41	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] lazy-extensionality deadline exceeded before refinement converged (round=	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] lazy-extensionality deadline exceeded before refinement converged (round=
QF_AUFLIA/storecomm/storecomm_invalid_t1_np_nf_ni_00020_001.cvc.smt2	sat		6	sat		6	20.87		
QF_AUFLIA/storecomm/storecomm_invalid_t1_np_nf_ni_00030_001.cvc.smt2	sat		6	sat		6	20.87		
QF_AUFLIA/storecomm/storecomm_invalid_t1_np_nf_ni_00040_003.cvc.smt2	sat		6	sat		6	21.12		
QF_AUFLIA/storecomm/storecomm_invalid_t1_np_nf_ni_00060_008.cvc.smt2	unknown	Incomplete	15	unknown	Incomplete	15	21.08	give-up kind=Incomplete detail=lazy-extensionality refinement did not converge within 64 rounds (round=64, sites=121, array_eq_atoms=1, row_lemmas=118, cong_lemmas=0, diff_skolems=1, working_assertion	give-up kind=Incomplete detail=lazy-extensionality refinement did not converge within 64 rounds (round=64, sites=121, array_eq_atoms=1, row_lemmas=118, cong_lemmas=0, diff_skolems=1, working_assertion
QF_AUFLIA/storecomm/storecomm_invalid_t1_np_sf_ni_00020_004.cvc.smt2	sat		6	sat		6	18.68		
QF_AUFLIA/storecomm/storecomm_invalid_t1_np_sf_ni_00030_003.cvc.smt2	sat		6	sat		6	18.68		
