file	status	base	arm	vacuous	shared
QF_UF/2018-Goel-hwbench/QF_UF_diagonal_ab_reg_max.smt2	sat	sat	sat	sat	sat
QF_UF/2018-Goel-hwbench/QF_UF_cav14_example_v_ab_reg_max.smt2	sat	sat	sat	sat	sat
QF_UF/2018-Goel-hwbench/QF_UF_counter_ab_cti_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_counter_v_ab_cti_max.smt2	sat	sat	sat	sat	sat
QF_UF/2018-Goel-hwbench/QF_UF_counter_v_ab_fp_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_swap_two_ab_br_max.smt2	sat	sat	sat	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_synabs_ab_cti_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_swap_two_ab_cti_max.smt2	sat	sat	sat	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_seq_ab_cti_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_anderson.1.prop1_ab_reg_max.smt2	sat	sat	sat	sat	sat
QF_UF/2018-Goel-hwbench/QF_UF_paper_v3_ab_cti_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_v_DAIO_ab_reg_max.smt2	sat	sat	sat	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_counter_ab_reg_max.smt2	sat	sat	sat	sat	sat
QF_UF/2018-Goel-hwbench/QF_UF_swap_three_ab_cti_max.smt2	sat	sat	sat	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_bakery.1.prop1_ab_reg_max.smt2	sat	sat	sat	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_bakery.2.prop1_ab_reg_max.smt2	sat	sat	sat	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_diagonal_v_ab_reg_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_cav14_example_v_ab_cti_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_AR_ab_cti_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_synabs2_ab_reg_max.smt2	sat	sat	sat	sat	sat
QF_UF/2018-Goel-hwbench/QF_UF_bit-vector_ab_cti_max.smt2	sat	sat	sat	sat	unknown
QF_UF/SEQ/SEQ032_size4.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_anderson.3.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_AR_ab_fp_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_swap_three_ab_br_max.smt2	sat	sat	sat	sat	unknown
