file	base	base_ms	arm	arm_ms	first
M830-004__checks__do_checks.adb_23_24_range_check___00.smt2	unsat	110525741	unsat	-1610612019790237534	arm
N902-010__a_stack_no_spark_contracts_with_body.adb_25_18_index_check___00.smt2	unsat	110672862	unsat	111269030	base
QA23-042__flow_pointers__spark05.adb_55_16_null_pointer_dereference___00.smt2	unsat	212148505	unsat	213978854	arm
S702-024__record_attributes_in_allocators__test_constrained.adb_45_22_assert___00.smt2	unknown	-1610612020688287244	unknown	1610612022413502731	base
L831-003__not_in__lcp.ads_9_54_index_check___00.smt2	unsat	110614825	unsat	110709388	arm
N624-020__perm_rem__perm.ads_43_60_precondition___00.smt2	unsat	110727031	unsat	110497309	base
Q519-015__array_cast__cast_array.ads_10_14_postcondition___00.smt2	unknown	14022095929	unknown	14021306926	arm
S117-008__pointer__formal_vectors.adb_101_33_use_formal_vectors.ads_10_4_loop_invariant_preserv___00.smt2	unknown	111779629	unknown	111835712	base
K223-023__search__search.ads_8_9_postcondition___00.smt2	unknown	24031147794	unknown	24126809481	arm
N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	unsat	512113841	unsat	511382585	base
P518-021__frame_for_max__frame_condition.adb_218_46_frame_condition.adb_233_7_index_check___00.smt2	unsat	113035030	unsat	213274277	arm
R509-011__higher_order_proof__why_ec30e5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	24633753711	unknown	24833597211	base
sparksmt__lexer__lexer.adb_433_13_loop_invariant_init___00.smt2	unsat	214443880	unsat	213601319	arm
N613-027__transitive__sorters.adb_59_20_range_check___00.smt2	unsat	312992615	unsat	312860272	base
O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	unknown	24730252768	unknown	25132199926	arm
R509-011__higher_order_proof__why_6b0fea_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	212134278	unsat	112856471	base
n_queens__queen.ads_53_44_index_check___00.smt2	unsat	-1771673401958156273	unsat	111864756	arm
MC06-031__dynamic_discrete__dynamic_ranges.adb_50_17_range_check___00.smt2	unsat	1610612183813482203	unsat	112791121	base
NA29-017__prove_all__sorting.adb_35_16_index_check4___00.smt2	unsat	112081004	unsat	111796830	arm
R419-026__swap_ranges__swap_ranges.adb_16_14_range_check___00.smt2	unsat	111371037	unsat	112645583	base
adacore_u__p_max_array.adb_56_25_index_check___00.smt2	unsat	112671591	unsat	113357974	arm
M318-019__expanded_name__p.adb_8_44_index_check___00.smt2	unsat	112730139	unsat	112820515	base
N624-020__perm_rem__sort.adb_54_16_precondition3___00.smt2	unsat	113529460	unsat	213329609	arm
Q713-033__loop_unroll__lcp.ads_17_54_overflow_check___00.smt2	unsat	612600353	unsat	510743910	base
S117-008__pointer__formal_vectors.adb_54_14_use_formal_vectors.ads_10_4_predicate_check___00.smt2	unknown	1610612211922905175	unknown	-1610612184676327710	arm
K627-010__stable_marriage__stable_marriage.adb_111_34_index_check___00.smt2	unsat	-1610612210586447507	unsat	114413708	base
N624-020__perm_rem__perm.adb_278_25_precondition4___00.smt2	unsat	512564410	unsat	512729695	arm
P715-019__flow_subprogram_termination__container.adb_30_11_container.adb_45_7_precondition___03.smt2	unsat	113760526	unsat	112672843	base
