file	base	base_ms	arm	arm_ms	first
tree-2.i_0.smt2	unknown	1610613578010686911	unknown	-1610613577588893066	arm
bf8.smt2	unsat	913095487	unsat	910571490	base
try3_noof_functions_dwp_basename.get_quoting_style.il.dwp.smt2	sat	110524465	sat	112057538	arm
try3_noof_functions_dwp_paste.set_char_quoting.il.dwp.smt2	sat	18225518800	sat	18225173374	base
try3_sameret_functions_dwp_kill.quoting_options_from_style.il.dwp.smt2	unsat	-1610613612786379916	unsat	112691154	arm
try3_sameret_functions_fse-bfs_tsort.walk_tree.il.fse-bfs.smt2	sat	111488691	sat	112521611	base
try4_difret_functions_disjunctions_expand.set_quoting_style.il.disjunctions_1.smt2	sat	2113433658	sat	2113090055	arm
try5_small_difret_functions_dwp_chgrp.hash_reset_tuning.il.dwp.smt2	sat	1112594350	sat	1111868202	base
try5_small_difret_functions_dwp_split.get_quoting_style.il.dwp.smt2	unknown	-1610613638269591032	unknown	24129758621	arm
try5_small_difret_functions_flanagansaxe_cut.hash_get_entries.il.flanagansaxe.smt2	sat	312263281	sat	312747262	base
try5_small_difret_functions_flanagansaxe_mkfifo.set_char_quoting.il.flanagansaxe.smt2	sat	212878115	sat	212728510	arm
try5_small_difret_functions_fse-bfs_sha256sum.close_stdout_set_file_name.il.fse-bfs.smt2	sat	3012919277	sat	3014222046	base
try5_small_difret_functions_wp_dd.set_quoting_style.il.wp.smt2	sat	18124626921	sat	18126095865	arm
try5_small_noof_functions_dwp_id.set_quoting_style.il.dwp.smt2	sat	111809711	sat	112949220	base
try5_small_noof_functions_flanagansaxe_csplit.set_char_quoting.il.flanagansaxe.smt2	sat	-1771675089715159165	sat	18125644876	arm
try5_small_noof_functions_flanagansaxe_sha512sum.sha512_read_ctx.il.flanagansaxe.smt2	sat	1610613737713332028	sat	3414529591	base
try5_small_noof_functions_fse-bfs_vdir.stophandler.il.fse-bfs.smt2	sat	112418452	sat	112011002	arm
try5_small_true_functions_flanagansaxe_tac.peek_token_bracket.il.flanagansaxe.smt2	sat	1771675115083134926	sat	212537889	base
try5_small_true_functions_wp_sha1sum.sha1_process_block.il.wp.smt2	sat	612886661	sat	611932533	arm
egt-0095.smt2	unsat	111647562	unsat	-1610613742388400265	base
egt-0392.smt2	sat	113084558	sat	1610613742612793262	arm
egt-0858.smt2	unsat	112871065	unsat	112352881	base
egt-0971.smt2	sat	112956472	sat	112499542	arm
egt-1262.smt2	unsat	113195553	unsat	111912190	base
egt-1548.smt2	unsat	112619863	unsat	1787781255285327733	arm
egt-1829.smt2	sat	112346419	sat	112577434	base
egt-2110.smt2	sat	113653586	sat	112518626	arm
egt-2341.smt2	unsat	112335539	unsat	113326794	base
egt-2747.smt2	sat	1610613744413682870	sat	-1610613744187682785	arm
egt-3018.smt2	sat	112287220	sat	112274327	base
egt-3178.smt2	unsat	112098072	unsat	111767022	arm
egt-3613.smt2	unsat	112026119	unsat	113261404	base
egt-3753.smt2	sat	1610613745312740205	sat	-1610613745087301573	arm
egt-3850.smt2	sat	112477110	sat	112985366	base
egt-4042.smt2	sat	111795254	sat	112234173	arm
egt-4617.smt2	sat	112712344	sat	113705141	base
egt-4792.smt2	unsat	1610613746214053252	unsat	-1610613745987894735	arm
egt-5292.smt2	sat	112399166	sat	110798609	base
egt-5572.smt2	sat	112424102	sat	111982850	arm
egt-5728.smt2	unsat	112121354	unsat	112433951	base
egt-6002.smt2	unsat	112580981	unsat	111906530	arm
egt-6152.smt2	sat	113067947	sat	113709970	base
egt-6267.smt2	unsat	111959006	unsat	111789313	arm
egt-6528.smt2	sat	111221388	sat	111985455	base
egt-7015.smt2	unsat	-1610613747788350755	unsat	112920345	arm
egt-7142.smt2	sat	1610613748012714307	sat	112331281	base
egt-7740.smt2	sat	109517220	sat	112895390	arm
_lbracket-query-069.smt2	sat	2313866970	sat	2314880205	base
_lbracket-query-000252.smt2	sat	2714032745	sat	2914262884	arm
Prim_10.c.smt2	unknown	-1610613755070302263	unknown	25131613019	base
