file	base	base_ms	arm	arm_ms	first
v1l60074.cvc.smt2	unsat	113890883	unsat	1610613510411204417	arm
v10l50062.cvc.smt2	unknown	113150620	unknown	113814291	base
v2l40050.cvc.smt2	unsat	114507298	unsat	110289201	arm
v3l30038.cvc.smt2	unsat	112086692	unsat	113189210	base
v5l20026.cvc.smt2	sat	113439952	sat	1771674862430687296	arm
v5l90014.cvc.smt2	unsat	110839285	unsat	112749241	base
typed_v1l80002.cvc.smt2	unsat	114622750	unsat	111152901	arm
typed_v10l60090.cvc.smt2	sat	111881884	sat	112610125	base
typed_v2l50078.cvc.smt2	sat	1610613512210673980	sat	-1610613511988827461	arm
typed_v3l40066.cvc.smt2	unknown	110007744	unknown	111521480	base
typed_v5l30054.cvc.smt2	sat	111463875	sat	112040807	arm
vlsat3_b41.smt2	unsat	11218608243	unsat	11519919590	base
v1l20001.cvc.smt2	sat	111479693	sat	112915026	arm
v1l80089.cvc.smt2	unsat	111602830	unsat	110600926	base
v10l70077.cvc.smt2	unsat	1610613533811764778	unsat	-1610613533588198524	arm
v2l60065.cvc.smt2	sat	111611346	sat	110409723	base
v3l50053.cvc.smt2	sat	111153873	sat	111407490	arm
v5l40041.cvc.smt2	unsat	116169498	unsat	112176417	base
typed_v1l30029.cvc.smt2	unsat	1610613534712088745	unsat	-1771674887947002402	arm
typed_v10l20017.cvc.smt2	sat	111541828	sat	111652071	base
typed_v10l90005.cvc.smt2	sat	111983491	sat	112617989	arm
typed_v2l70093.cvc.smt2	unsat	112382266	unsat	113565344	base
typed_v3l60081.cvc.smt2	sat	-1610613535386988086	sat	111701202	arm
typed_v5l50069.cvc.smt2	unknown	111766091	unknown	111846709	base
blocksworld_from_10_7_1_to_8_0_10_negated_goal_bmc_18.smt2	unknown	111390830	unknown	112900800	arm
v1l50088.cvc.smt2	unsat	110922357	unsat	111486316	base
v10l40076.cvc.smt2	sat	-1610613536289548760	sat	111477849	arm
v2l30064.cvc.smt2	sat	1610613536612179229	sat	113718737	base
v3l20052.cvc.smt2	unknown	112660918	unknown	112470708	arm
v3l90040.cvc.smt2	unsat	112594316	unsat	112087592	base
v5l80028.cvc.smt2	unknown	1610613537411827172	unknown	-1771674890918368166	arm
typed_v1l70016.cvc.smt2	unsat	111814270	unsat	112254231	base
typed_v10l60004.cvc.smt2	sat	113125303	sat	112085528	arm
typed_v2l40092.cvc.smt2	unsat	111848382	unsat	112563900	base
typed_v3l30080.cvc.smt2	sat	-1610613538089468983	sat	112489934	arm
typed_v5l20068.cvc.smt2	unsat	110949728	unsat	110967020	base
typed_v5l90056.cvc.smt2	unsat	111546156	unsat	112415657	arm
v1l20087.cvc.smt2	unknown	112380842	unknown	112066103	base
v1l90075.cvc.smt2	unsat	-1610613538988949566	unsat	110637833	arm
v10l80063.cvc.smt2	unsat	1610613539210793009	unsat	110233079	base
v2l70051.cvc.smt2	unsat	111906600	unsat	112201512	arm
v3l60039.cvc.smt2	unsat	113102973	unsat	111740183	base
v5l50027.cvc.smt2	unknown	-1610613539887920262	unknown	111794673	arm
typed_v1l40015.cvc.smt2	unsat	1610613540111675384	unsat	110992617	base
typed_v10l30003.cvc.smt2	sat	111861246	sat	112175014	arm
typed_v10l90091.cvc.smt2	sat	112906771	sat	111726888	base
typed_v2l80079.cvc.smt2	unsat	111472881	unsat	112205019	arm
typed_v3l70067.cvc.smt2	unsat	111194869	unsat	112178270	base
typed_v5l60055.cvc.smt2	unsat	111888185	unsat	112709999	arm
blocksworld_from_15_6_4_to_10_2_13_negated_goal_bmc_7.smt2	unknown	111449949	unknown	111886723	base
