file	base	base_ms	arm	arm_ms	first
MA29-016__flow_refinement__levels.adb_127_61_overflow_check___00.smt2	unknown	13907529142	unknown	21327312892	arm
OC10-037__private_attach_handler__q.ads_11_26_range_check___00.smt2	unsat	-1610613354485936599	unsat	1610613354715546371	base
R509-011__higher_order_proof__why_cae2e1_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	177167469660433005	unsat	2846904084	arm
adacore_u__a-cofuve.ads_237_63_ring_buffer.ads_8_4_range_check___00.smt2	unsat	1610613360119567034	unsat	111754058	base
M318-017__flow_variant_records__test.adb_23_12_discriminant_check___00.smt2	unknown	1610613361623369308	unknown	-1610613360179841753	arm
O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	unsat	1952427497	unsat	1847938285	base
R509-011__higher_order_proof__why_214acf_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	5754006213	unsat	6505318289	arm
SC03-021__binary_search_trees__why_a78db1_binary_search-T-defqtvc__00.smt2	unsat	113309482	unsat	111792449	base
LC17-035__update_attribute_multidim__update_checks.adb_101_34_range_check___00.smt2	unknown	18523750267	unknown	18525518421	arm
O205-003__dynamic_discrete__test_dynamic_property.adb_7_15_range_check___00.smt2	unsat	111995333	unsat	110950298	base
Q802-001__inline__test_annotate.adb_43_19_assert___00.smt2	unsat	111955239	unsat	110492967	arm
S730-045__dic_with_discrs__use_test.adb_4_4_default_initial_condition___00.smt2	unknown	2513417397	unknown	2513135508	base
L413-031__fullview__a-cfdlli.ads_1379_20_int_list.ads_10_4_precondition___00.smt2	unsat	109491683	unsat	111105885	arm
N708-013__flow_untangle_untangle__foo.adb_34_33_loop_invariant_preserv___00.smt2	unsat	-1610613414789406127	unsat	1610613415010653663	base
P820-002__protected_out__pr_a.adb_22_20_range_check___00.smt2	unsat	110619880	unsat	111022321	arm
S325-002__dyn_inv_pointer__rec_inv.adb_28_18_null_pointer_dereference___00.smt2	unsat	110435771	unsat	111654035	base
K412-014__param__pack.adb_39_22_assert___00.smt2	sat	111355114	sat	110108269	arm
MB27-015__record_default_init__fsb.adb_24_16_overflow_check___00.smt2	unknown	110691673	unknown	1771674757491924753	base
P405-006__arithmetic_from_dafny__mod_lemmas.adb_97_18_range_check___00.smt2	unsat	109253695	unsat	110771750	arm
R529-008__subdirs__add.ads_4_29_postcondition___00.smt2	unsat	110602749	unsat	110475184	base
riposte__arithmetic__arithmetic.adb_164_39_overflow_check___00.smt2	unsat	110658561	unsat	110894546	arm
M603-021__volatile_input_proofs__port.ads_68_34_postcondition___00.smt2	unsat	110529724	unsat	-1610613416588475033	base
O708-018__root_conversion__fxp_false_check_2.adb_8_25_range_check___00.smt2	sat	111891612	sat	1610613416811070160	arm
R509-011__higher_order_proof__why_612665_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	1110297610	unsat	1110954720	base
SC03-021__linear_search__linear_search.adb_96_53_precondition___00.smt2	unsat	311075263	unsat	311047472	arm
M123-033__expr_fun__private_q.ads_7_38_overflow_check___00.smt2	unsat	110118998	unsat	111914815	base
O414-015__flow_constants_in_contracts__const.adb_3_22_overflow_check___00.smt2	unknown	211556422	unknown	311700325	arm
QB03-022__exit_status__incr.adb_3_11_overflow_check___00.smt2	unknown	-1610613420188684198	unknown	1610613420409793749	base
SA10-028__old_in_pledge__traverse_list.adb_19_18_contract_case___00.smt2	unknown	1612961832	unknown	1711385788	arm
L719-025__hashed_sets_key__a-cofuse.ads_243_22_a-cfhase.ads_90_7_p.ads_12_4_overflow_check___00.smt2	unsat	110238759	unsat	110707862	base
NA03-016__flow_constants__raster_graphics.adb_14_39_overflow_check___00.smt2	unsat	1771674766502255900	unsat	211070227	arm
PB23-052__local_protected_type__a-cofove.ads_475_51_p.ads_4_4_overflow_check___00.smt2	unsat	111145979	unsat	111651420	base
S415-012__pledge_for_traversal__traversal_funcs.adb_43_17_precondition___00.smt2	unsat	109990782	unsat	110689829	arm
K624-029__amortize_queue__amortized_queue.adb_78_63_precondition___00.smt2	unsat	111313659	unsat	110730855	base
N317-015__inlining__incr_expr_fun.adb_20_40_overflow_check___00.smt2	unsat	1610613424911247997	unsat	-1610613424690262053	arm
P518-021__frame_for_swap__test_swap_lines.adb_23_67_test_swap_lines.adb_60_4_index_check___00.smt2	unsat	812712434	unsat	811725828	base
RA12-018__init_loop__init_pred_in_loop.adb_30_11_predicate_check___00.smt2	unsat	-1610613426488351255	unsat	110774886	arm
riposte__records__records.adb_56_19_postcondition___00.smt2	unsat	1610613428712559508	unsat	2213919089	base
