file	ours	status	z3	cvc5	agree
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_78_63_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.ads_55_17_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__search_list__a-cfdlli.ads_853_28_linked_list.ads_6_4_overflow_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/L413-031__fullview__a-cfdlli.ads_1379_20_int_list.ads_10_4_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__ordered_sets_equal__a-cforse.ads_1337_20_p.ads_10_4_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__ordered_sets_key__a-cforse.ads_1382_20_p.ads_13_4_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__sorted_vectors__sorted_vectors.adb_14_31_range_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__a-cofove.ads_709_23_list.ads_9_4_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/MA07-042__flow_formal_container_hack__a-cofove.ads_745_14_formal_list.ads_8_4_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__for_loops_on_lists.adb_18_11_precondition___02.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/N306-009__operators__a-cfdlli.ads_853_39_inst_ext_ax.ads_7_4_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/N617-011__mutable_discr__discr.adb_102_22_assert___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_60_25_assert___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__a-cofove.ads_749_35_loop_types.ads_12_4_range_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__update_list_zero.adb_18_16_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/O901-014__formal_vectors__aida-containers-formal_vectors.adb_144_55_hnco-test2.ads_8_4_range_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/PB23-052__local_protected_type__a-cofove.ads_475_51_p.ads_4_4_overflow_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/Q828-043__recursive_list_pointers__update_lists_restore.adb_31_45_null_pointer_dereference___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/QC11-016__for_of_cntex__a-cfdlli.ads_1422_23_lists.ads_4_1_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/S325-002__dyn_inv_pointer__rec_inv.adb_28_18_null_pointer_dereference___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/S325-002__red_black_trees__red_black_trees.adb_31_33_null_pointer_dereference___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_16_34_null_pointer_dereference___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/SA23-039__goto__test_goto_borrow.adb_45_17_null_pointer_dereference___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/SB05-027__pledge__test_list.adb_30_20_null_pointer_dereference___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/SB18-020__route_shift__test_route.adb_46_15_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_11e0ba_binary_search-T-defqtvc__00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_61039b_binary_search-T-defqtvc__00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_a78db1_binary_search-T-defqtvc__00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__linear_search__linear_search.adb_110_48_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__linear_search__linear_search.adb_96_53_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDTLIRA/20200306-Kanig/spark2014bench/formal_queue__a-cfdlli.ads_853_39_queue.ads_19_4_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
