# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTRES-CENSUS line>
F	UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_16_59_33_621_1039748.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
F	UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_02_323_1069308.smt_in.smt2	unsat	none
C	UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_02_323_1069308.smt_in.smt2	8	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_02_323_1069308.smt_in.smt2	4	DTRES-CENSUS narrow_sites=0 wide_sites=2 narrow_pairs=0 wide_pairs=1 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_02_323_1069308.smt_in.smt2	1	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=1 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_02_323_1069308.smt_in.smt2	1	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_02_323_1069308.smt_in.smt2	1	DTRES-CENSUS narrow_sites=4 wide_sites=4 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=4 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_30_240_1098389.smt_in.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_30_240_1098389.smt_in.smt2	18	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_30_240_1098389.smt_in.smt2	16	DTRES-CENSUS narrow_sites=0 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
