file	verdict	rc	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	giveup
QF_ABVFP/20170428-Liew-KLEE/aachen_real_diction_style.x86_64/query.01.smt2	unknown	0	3	none	dl-online	dl-online	353	360	dl-online	24638	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/aachen_real_wxpro_tostr.x86_64/query.27.smt2	unknown	0	5	none	dl-online	aufbv-online-cdclt	221	236	aufbv-online-cdclt	24763	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/aachen_syn_inf_float.x86_64/query.11.smt2	unknown	0	3	none	dl-online	dl-online	14	15	dl-online	24984	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_gsl_benchmarks_histogram2d_klee_bug.x86_64/query.008.smt2	unknown	0	5	none	dl-online	aufbv-online-cdclt	115	127	aufbv-online-cdclt	24872	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_gsl_benchmarks_vectors_klee_bug.x86_64/query.2.smt2	unknown	0	3	none	dl-online	dl-online	41	43	dl-online	24955	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_exp_loop.c.x86_64/query.131.smt2	unknown	0	3	none	dl-online	dl-online	21	22	dl-online	24976	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.162.smt2	unknown	0	3	none	dl-online	dl-online	67	73	dl-online	24925	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.344.smt2	unknown	0	3	none	dl-online	dl-online	74	80	dl-online	24918	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.617.smt2	unknown	0	3	none	dl-online	dl-online	74	80	dl-online	24918	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_synthetic_non_terminating_klee_no_bug.x86_64/query.27.smt2	unknown	0	14	none	array-fast-path	fd:bounded-completeness-unsat	24291	24432	na	na	na	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] pure-Rust BV backend timeout after SAT search
QF_ABVFP/20170501-Heizmann-UltimateAutomizer/interpolation2_true-unreach-call.c_40.smt2	unknown	0	6	none	dispatch-error	dispatch-error	3	6	na	na	na	give-up kind=Error detail=backend failure: array projection element sort mismatch: read site produced (_ BitVec 32) for an array whose element sort is (_ FloatingPoint 8 24)
QF_ABVFP/20170428-Liew-KLEE/aachen_real_sorting_full_sym_floats.x86_64/query.31.smt2	unknown	0	3	none	dl-online	dl-online	3	5	dl-online	24994	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/aachen_syn_atof_default.x86_64/query.273.smt2	unknown	0	3	none	dl-online	dl-online	194	204	dl-online	24794	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/aachen_syn_nan_float.x86_64/query.03.smt2	unknown	0	3	none	dl-online	dl-online	13	14	dl-online	24985	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_gsl_benchmarks_histogram2d_klee_bug.x86_64/query.099.smt2	unknown	0	5	none	dl-online	aufbv-online-cdclt	194	234	aufbv-online-cdclt	24764	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_exp_loop.c.x86_64/query.040.smt2	unknown	0	3	none	dl-online	dl-online	4	5	dl-online	24994	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.070.smt2	unknown	0	3	none	dl-online	dl-online	37	40	dl-online	24959	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.253.smt2	unknown	0	3	none	dl-online	dl-online	57	61	dl-online	24937	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.526.smt2	unknown	0	3	none	dl-online	dl-online	79	86	dl-online	24913	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_synthetic_fsub_to_exact_zero_klee_float.x86_64/query.16.smt2	unknown	0	3	none	dl-online	dl-online	4	5	dl-online	24994	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABVFP/20170428-Liew-KLEE/imperial_synthetic_sqrt_klee.x86_64/query.06.smt2	unknown	0	3	none	dl-online	dl-online	28	30	dl-online	24969	dl-online:check	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
