file	verdict	total_ms	inst_tuples
UFLIA/boogie/AssignToRepField_AssignToRepField.N.smt2	unsat	178	152
UFLIA/boogie/DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2	unsat	533	287
UFLIA/simplify/javafe.ast.NewInstanceExpr.271.smt2	unsat	288	719
UFLIA/simplify/javafe.ast.StandardPrettyPrint.322.smt2	unsat	160	1
UFLIA/simplify/javafe.ast.UnaryExpr.424.smt2	unsat	503	901
UFLIA/simplify2/front_end_suite/javafe.ast.AmbiguousVariableAccess.004.smt2	unsat	27	0
UFLIA/simplify2/front_end_suite/javafe.ast.CompilationUnit.001.smt2	unsat	50	0
UFLIA/simplify2/front_end_suite/javafe.ast.ConstructorDecl.007.smt2	unsat	32	0
UFLIA/simplify2/front_end_suite/javafe.ast.DefaultVisitor.028.smt2	unsat	64	0
UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.009.smt2	unsat	31	0
UFLIA/simplify2/front_end_suite/javafe.ast.ImportDeclVec.015.smt2	unsat	366	454
UFLIA/simplify2/front_end_suite/javafe.ast.LabelStmt.011.smt2	unsat	65	1
UFLIA/simplify2/front_end_suite/javafe.ast.MethodDecl.005.smt2	unsat	3019	1255
UFLIA/simplify2/front_end_suite/javafe.ast.ParenExpr.006.smt2	unsat	70	1
UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	unsat	28	0
UFLIA/simplify2/front_end_suite/javafe.ast.ThrowStmt.004.smt2	unsat	30	0
UFLIA/simplify2/front_end_suite/javafe.ast.VariableAccess.001.smt2	unsat	77	3
UFLIA/simplify2/front_end_suite/javafe.parser.Parse.005.smt2	unsat	561	568
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.030.smt2	unsat	25	0
UFNIA/spec_sharp/textbook-Factorial.dll.1.Factorial.F_System.Int32.smt2	NONE	24003	0
UFNIA/spec_sharp/textbook-Sum.dll.6.C.TransformQuant_System.Int32.array_notnull.smt2	unsat	111	61
UFNIA/vcc-havoc/havoc-bench_dlist_insert_head.12.ua_wcscpy.smt2	unsat	30	0
