file	base	base_ms	arm	arm_ms	order	status
UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_01_14_404_1150262.smt_in.smt2	unsat	4613	unsat	4615	base-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_55_51_081_1423271.smt_in.smt2	unsat	1011	unsat	1011	arm-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_01_24_430_1743988.smt_in.smt2	unsat	4713	unsat	4715	base-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_05_53_248_2106236.smt_in.smt2	unknown	25138	unknown	25138	arm-first	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_10_47_003_2500061.smt_in.smt2	unknown	8319	unknown	11322	base-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_20_02_499_2906170.smt_in.smt2	unknown	25537	unknown	25338	arm-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_48_12_933_1099247.smt_in.smt2	unknown	19230	unknown	25036	base-first	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/llist2/x2015_09_10_16_51_00_862_1095417.smt_in.smt2	unknown	25239	unknown	25238	arm-first	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/tllist/x2015_09_10_16_59_31_681_1283677.smt_in.smt2	unsat	13726	unsat	13925	base-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_50_56_024_1276224.smt_in.smt2	unsat	5516	unsat	5416	arm-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_45_05_341_1010900.smt_in.smt2	unknown	21033	unknown	25138	base-first	unknown
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_53_32_038_1322967.smt_in.smt2	unknown	19030	unknown	20432	arm-first	unknown
UF/20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_46_52_587_993366.smt_in.smt2	unknown	22834	unknown	25135	base-first	unknown
UF/20170428-Barrett/cdt-cade2015/nada/gandl/stern_brocot_tree/x2015_09_10_16_53_52_641_1189730.smt_in.smt2	unsat	109	unsat	110	arm-first	unsat
UF/grasshopper/instantiated/rec_remove_postcondition_of_rec_remove_20_4.smt2	unsat	12223	unsat	12223	base-first	unsat
UF/grasshopper/uninstantiated/split_invariant_73_2.smt2	unsat	12525	unsat	12624	arm-first	unsat
UF/sledgehammer/Arrow_Order/uf.774042.smt2	unsat	8518	unsat	8620	base-first	unsat
UF/sledgehammer/FFT/uf.652299.smt2	sat	610	sat	710	arm-first	sat
UF/sledgehammer/FFT/uf.807359.smt2	unknown	25036	unknown	24337	base-first	sat
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1018623.smt2	unknown	21734	unknown	24938	arm-first	unknown
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1260380.smt2	unknown	20333	unknown	22434	base-first	unknown
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.558133.smt2	unknown	10020	unknown	10621	arm-first	unknown
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.758943.smt2	unknown	24236	unknown	24536	base-first	unknown
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.974621.smt2	unsat	6517	unsat	6617	arm-first	unsat
UF/sledgehammer/Hoare/uf.1172268.smt2	unknown	9621	unknown	15727	base-first	unknown
UF/sledgehammer/Hoare/uf.834137.smt2	unknown	8119	unknown	12424	arm-first	unsat
UF/sledgehammer/NS_Shared/uf.573318.smt2	unknown	25337	unknown	25337	base-first	unknown
UF/sledgehammer/QEpres/uf.1089524.smt2	unsat	16727	unsat	16628	arm-first	unsat
UF/sledgehammer/QEpres/uf.757404.smt2	sat	1011	sat	910	base-first	sat
UF/sledgehammer/QEpres/uf.967803.smt2	unknown	25035	unknown	24735	arm-first	unknown
UF/sledgehammer/StrongNorm/uf.788605.smt2	unsat	16628	unsat	16928	base-first	unsat
UF/sledgehammer/TwoSquares/uf.703271.smt2	unknown	18529	unknown	19830	arm-first	unknown
UF/sledgehammer/TypeSafe/smtlib.1262852.smt2	sat	8018	sat	6816	base-first	sat
