file	base	base_ms	arm	arm_ms	order	status
UFLIA/boogie/AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2	unknown	24130	unknown	24230	base-first	unsat
UFLIA/boogie/Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2	unknown	24131	unknown	24230	arm-first	unsat
UFLIA/boogie/LocalExpose_T.V1.smt2	unknown	24131	unknown	24131	base-first	unknown
UFLIA/boogie/StrictReadOnly_C1.Z1.smt2	unknown	24231	unknown	24231	arm-first	unknown
UFLIA/grasshopper/instantiated/insertion_sort_postcondition_of_insertion_sort_63_1.smt2	unknown	25230	unknown	24531	base-first	unsat
UFLIA/misc/list4.smt2	unknown	20127	unknown	24230	arm-first	sat
UFLIA/simplify/javafe.ast.NewInstanceExpr.271.smt2	unknown	23028	unknown	23230	base-first	unsat
UFLIA/simplify/javafe.parser.TokenQueue.576.smt2	unknown	21629	unknown	24231	arm-first	unsat
UFLIA/simplify2/front_end_suite/javafe.PrintSpec.012.smt2	unknown	24231	unknown	24132	base-first	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.DefaultVisitor.028.smt2	unknown	25032	unknown	24132	arm-first	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.LabelStmt.011.smt2	unknown	25031	unknown	25032	base-first	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	unknown	25031	unknown	25028	arm-first	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.Visitor.041.smt2	unsat	108	unsat	108	base-first	unsat
UFLIA/simplify2/front_end_suite/javafe.parser.Parse.005.smt2	unknown	24431	unknown	24229	arm-first	unsat
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.017.smt2	unknown	25032	unknown	25129	base-first	unsat
UFLIA/simplify2/front_end_suite/javafe.util.ErrorSet.009.smt2	unsat	409	unsat	409	arm-first	unsat
UFLIA/sledgehammer/Arrow_Order/smtlib.832901.smt2	unknown	17925	unknown	21025	base-first	unsat
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1057395.smt2	unknown	19027	unsat	15120	arm-first	unsat
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1372826.smt2	unknown	21529	unknown	22328	base-first	unknown
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.718896.smt2	unsat	3112	unsat	3611	arm-first	unsat
UFLIA/sledgehammer/Hoare/smtlib.1019713.smt2	unknown	16824	unknown	18923	base-first	unknown
UFLIA/sledgehammer/Hoare/smtlib.820036.smt2	unsat	108	unsat	108	arm-first	unsat
UFLIA/sledgehammer/QEpres/smtlib.1065390.smt2	unknown	22229	unknown	15020	base-first	unsat
UFLIA/sledgehammer/QEpres/smtlib.730254.smt2	unknown	6515	unknown	7916	arm-first	unknown
UFLIA/sledgehammer/StrongNorm/smtlib.613065.smt2	unknown	16223	unknown	16724	base-first	unknown
UFLIA/sledgehammer/TwoSquares/smtlib.672156.smt2	unknown	24128	unknown	24931	arm-first	unsat
UFLIA/sledgehammer/TwoSquares/smtlib.881298.smt2	unsat	109	unsat	108	base-first	unsat
UFLIA/tokeneer/admintoken/clear-6.smt2	unknown	24124	unknown	24130	arm-first	unknown
UFLIA/tokeneer/cert_/attr_/priv/extract-1.smt2	unsat	108	unsat	108	base-first	unsat
UFLIA/tokeneer/configdata/writefile-8.smt2	unsat	109	unsat	109	arm-first	unsat
UFLIA/tokeneer/enrolment/validate/validateandaddkey-8.smt2	unsat	108	unsat	109	base-first	unsat
UFLIA/tokeneer/keystore/dofind-32.smt2	unsat	109	unsat	108	arm-first	unsat
UFLIA/tokeneer/tokenreader/init-38.smt2	unsat	108	unsat	108	base-first	unsat
UFLIA/tptp/NUM860=1.smt2	unknown	24131	unknown	24130	arm-first	unsat
