file	base	base_ms	arm	arm_ms	order	status
UFLIA/boogie/BasicMethodology_SubClass..ctor.smt2	unknown	24231	unknown	24231	base-first	unsat
UFLIA/boogie/FormulaTerm_plus-noinfer_2.smt2	unsat	108	unsat	109	arm-first	unsat
UFLIA/boogie/Quantifiers_V1-noinfer.smt2	unsat	208	unsat	208	base-first	unsat
UFLIA/boogie/loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2	unknown	24230	unknown	25030	arm-first	unsat
UFLIA/grasshopper/uninstantiated/merge_loop_check_heap_access_60_6.smt2	unknown	24331	unknown	24131	base-first	unsat
UFLIA/simplify/javafe.ast.GenericBlockStmt.168.smt2	unsat	308	unsat	308	arm-first	unsat
UFLIA/simplify/javafe.filespace.LookAheadEnum.474.smt2	unsat	309	unsat	308	base-first	unsat
UFLIA/simplify/javafe.util.ErrorSet.781.smt2	unsat	508	unsat	510	arm-first	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.CompilationUnit.001.smt2	unknown	25131	unknown	24831	base-first	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.Identifier.010.smt2	unknown	24130	unknown	24131	arm-first	unknown
UFLIA/simplify2/front_end_suite/javafe.ast.RoutineDecl.002.smt2	unsat	408	unsat	408	base-first	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.TypeObjectDesignator.010.smt2	unknown	25030	unknown	25031	arm-first	unsat
UFLIA/simplify2/front_end_suite/javafe.filespace.Resolve.010.smt2	unsat	808	unsat	809	base-first	unsat
UFLIA/simplify2/front_end_suite/javafe.tc.ConstantExpr.001.smt2	unknown	24131	unknown	24130	arm-first	unsat
UFLIA/simplify2/front_end_suite/javafe.tc.Types.035.smt2	unknown	25031	unknown	25030	base-first	unsat
UFLIA/sledgehammer/Arrow_Order/smtlib.650920.smt2	unknown	21929	unknown	20622	arm-first	unsat
UFLIA/sledgehammer/FFT/smtlib.898060.smt2	unknown	11219	unknown	11119	base-first	unsat
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1282463.smt2	unknown	21228	unknown	21623	arm-first	unsat
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.596470.smt2	unknown	12120	unknown	14519	base-first	unknown
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.932420.smt2	unknown	15722	unknown	16723	arm-first	unknown
UFLIA/sledgehammer/Hoare/smtlib.660667.smt2	unknown	8415	unknown	16822	base-first	unknown
UFLIA/sledgehammer/NS_Shared/smtlib.803649.smt2	unknown	14218	unknown	14722	arm-first	unknown
UFLIA/sledgehammer/QEpres/smtlib.609781.smt2	unknown	2410	unknown	2410	base-first	unknown
UFLIA/sledgehammer/QEpres/smtlib.927783.smt2	unknown	16023	unknown	16024	arm-first	unsat
UFLIA/sledgehammer/StrongNorm/smtlib.889061.smt2	unsat	309	unsat	209	base-first	unsat
UFLIA/sledgehammer/TwoSquares/smtlib.821153.smt2	unknown	13722	unknown	13622	arm-first	unknown
UFLIA/sledgehammer/TypeSafe/smtlib.822202.smt2	unknown	17025	unknown	19127	base-first	unknown
UFLIA/tokeneer/auditlog/init-31.smt2	unknown	25030	unknown	24130	arm-first	unsat
UFLIA/tokeneer/configdata/validatefile/readclearance-1.smt2	unsat	109	unsat	109	base-first	unsat
UFLIA/tokeneer/enclave/startadminactivity-7.smt2	unknown	25031	unknown	25031	arm-first	unknown
UFLIA/tokeneer/keystore/digest-36.smt2	unsat	108	unsat	107	base-first	unsat
UFLIA/tokeneer/screen/writestatsdata-4.smt2	unsat	107	unsat	108	arm-first	unsat
UFLIA/tokeneer/usertoken/addauthcert-19.smt2	unsat	108	unsat	108	base-first	unsat
