file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	dump_rows	giveup
UFLIA/20230314-Jaroslav-Bendik-Certora/52759_b3ecd2335fd16ec2eee2_9_UFLIA.smt2	unknown	0	4310	19	none	q:mbqi	fd:bounded-completeness-unsat	2044	4256			0	give-up kind=Incomplete detail=e-matching: no universal is asserted; the nested quantifiers present are registered, not instantiated
UFLIA/boogie/Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2	unknown	0	24129	17	none	q:egraph	fd:bounded-completeness-unsat	20095	24063			4320	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/grasshopper/instantiated/delete_check_heap_access_53_12.smt2	unknown	0	23624	19	none	q:egraph	fd:bounded-completeness-unsat	13733	23564			9958	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
UFLIA/simplify/javafe.ast.StandardPrettyPrint.322.smt2	unknown	0	19727	19	none	q:mbqi	fd:bounded-completeness-unsat	8458	19592			11290	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
UFLIA/simplify/tohtml.Java2Html.832.smt2	unknown	0	25031	6	none	q:mbqi-quick	q:mbqi-quick	1521	1816	q:mbqi-quick	23183	1416	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.009.smt2	unknown	0	25032	7	none	q:mbqi-quick	q:egraph	9270	21108	q:egraph	3891	8192	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	unknown	0	25031	7	none	q:mbqi-quick	q:egraph	8554	22328	q:egraph	2672	8192	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UFLIA/simplify2/front_end_suite/javafe.parser.Parse.005.smt2	unknown	0	24729	17	none	q:egraph	fd:bounded-completeness-unsat	18356	24657			8304	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.017.smt2	unknown	0	25131	5	none	q:forall-exists-witness	q:uf-fmf-probe	10196	10751	q:uf-fmf-probe	14248	0	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UFLIA/sledgehammer/Arrow_Order/smtlib.832901.smt2	unknown	0	17625	20	none	q:egraph	fd:bounded-completeness-unsat	8385	17535			8477	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
UFLIA/sledgehammer/Hoare/smtlib.1175889.smt2	unknown	0	25132	6	none	q:mbqi-quick	q:mbqi-quick	1504	1701	q:mbqi-quick	23298	8254	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UFLIA/sledgehammer/TwoSquares/smtlib.711545.smt2	unknown	0	24329	19	none	q:egraph	fd:bounded-completeness-unsat	20706	24165			8225	give-up kind=Incomplete detail=query has quantifiers instantiation does not reach (nested, existential, or non-top-level)
