sweep_id	arm	corpus_path	binary_sha	features	verdict	exit_status	decided_by	bound_by	attempts	attempt_trail	elapsed_ms	elapsed_ms_per_attempt	partial	decline_reasons	decline_details	host	core	load
qflra93-20260915	main	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	cb460e737	Real	unknown	0	none	nra	14	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24325	75\p7\p60\p1\p23929\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=not-applicable\pnra=incomplete\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\p\ponline CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	server5	5,13	1.06
qflra93-20260915	main	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_7.smt2	cb460e737	Real	unknown	0	none	nra	14	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24030	2\p0\p3\p0\p23998\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=not-applicable\pnra=incomplete\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\p\ponline CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	server5	5,13	2.07
qflra93-20260915	main	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	cb460e737	Real	unknown	0	none	nra	14	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24030	4\p0\p5\p0\p23996\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=not-applicable\pnra=incomplete\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\p\ponline CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	server5	5,13	2.73
qflra93-20260915	main	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	cb460e737		abort	134	none	none	0		6086		unknown			server5	5,13	3.16
qflra93-20260915	main	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_copy3_ground.i_3_2_2.bpl_7.smt2	cb460e737	Real	unknown	0	none	nra	14	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24029	9\p1\p10\p0\p23989\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=not-applicable\pnra=incomplete\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\p\ponline CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	server5	5,13	3.23
qflra93-20260915	main	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	cb460e737	Real	unknown	0	none	nra	14	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24132	16\p1\p16\p0\p23989\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=not-applicable\pnra=budget\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\p\plra: the deadline had already passed when the conjunctive decider was entered (an expired budget or a portfolio stop); no constraint was collected and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline had already passed when the conjunctive decider was entered (an expired budget or a portfolio stop); no constraint was collected and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline had already passed when the conjunctive decider was entered (an expired budget or a portfolio stop); no constraint was collected and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline had already passed when the conjunctive decider was entered (an expired budget or a portfolio stop); no constraint was collected and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline had already passed when the conjunctive decider was entered (an expired budget or a portfolio stop); no constraint was collected and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline had already passed when the conjunctive decider was entered (an expired budget or a portfolio stop); no constraint was collected and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline had already passed when the conjunctive decider was entered (an expired budget or a portfolio stop); no constraint was collected and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline had already passed when the conjunctive decider was entered (an expired budget or a portfolio stop); no constraint was collected and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline had already passed when the conjunctive decider was entered (an expired budget or a portfolio stop); no constraint was collected and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline had already passed when the conjunctive decider was entered (an expired budget or a portfolio stop); no constraint was collected and neither engine ran	server5	5,13	3.49
qflra93-20260915	main	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	cb460e737	Real	unknown	0	none	nra	14	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24232	43\p5\p62\p1\p23935\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=not-applicable\pnra=budget\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\p\plra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started	server5	5,13	3.67
qflra93-20260915	main	QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	cb460e737	Real	unknown	0	none	nra	14	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24029	3\p0\p3\p0\p23998\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=not-applicable\pnra=incomplete\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\p\ponline CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	server5	5,13	3.50
qflra93-20260915	main	QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2	cb460e737	Real	unknown	0	none	dl-online	4	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined	25432	669\p167\p4051\p63	yes	dl-online=not-applicable\pnra-real-root=not-applicable	\p	server5	5,13	3.33
qflra93-20260915	main	QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	cb460e737	Real	unknown	0	none	dl-online	4	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined	25434	746\p175\p4860\p66	yes	dl-online=not-applicable\pnra-real-root=not-applicable	\p	server5	5,13	3.29
