file	declared	z3	z3_ms	base	base_ms	base_detail	ab	ab_ms	ab_detail	budget	budget_ms	budget_detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/11775_ad46e5b8db4748c51973_42_QF_UFLIA.smt2	unknown	sat	1131	parse_error	125	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131	parse_error	127	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131	parse_error	119	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_41_QF_UFLIA.smt2	unknown	sat	5340	parse_error	127	error: parse error: unsupported: integer literal `1461501637330902918203684832716283019655932542975` exceeds the modeled	parse_error	122	error: parse error: unsupported: integer literal `1461501637330902918203684832716283019655932542975` exceeds the modeled	parse_error	131	error: parse error: unsupported: integer literal `1461501637330902918203684832716283019655932542975` exceeds the modeled
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/17512_5c1021b0faa6b6e1791b_20_QF_UFLIA.smt2	unknown	other	24052	parse_error	123	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131	parse_error	134	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131	parse_error	112	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_69_QF_UFLIA.smt2	unknown	other	24168	parse_error	140	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131	parse_error	130	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131	parse_error	122	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_66_QF_UFLIA.smt2	unknown	other	24192	parse_error	131	error: parse error: unsupported: integer literal `340282366920938463463374607431768211455` exceeds the modeled `Int` ran	parse_error	126	error: parse error: unsupported: integer literal `340282366920938463463374607431768211455` exceeds the modeled `Int` ran	parse_error	131	error: parse error: unsupported: integer literal `340282366920938463463374607431768211455` exceeds the modeled `Int` ran
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_38_QF_UFLIA.smt2	unknown	other	24056	parse_error	946	error: parse error: unsupported: integer literal `9719951977680802977816895328521502430969516717954194534126130344444932	parse_error	833	error: parse error: unsupported: integer literal `9719951977680802977816895328521502430969516717954194534126130344444932	parse_error	735	error: parse error: unsupported: integer literal `9719951977680802977816895328521502430969516717954194534126130344444932
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/39657_1c7158801cd59dc13f05_46_QF_UFLIA.smt2	unknown	sat	5234	parse_error	120	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131	parse_error	123	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131	parse_error	115	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_56_QF_UFLIA.smt2	unknown	other	24066	parse_error	132	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131	parse_error	133	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131	parse_error	141	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_59_QF_UFLIA.smt2	unknown	sat	5025	parse_error	114	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131	parse_error	115	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131	parse_error	118	error: parse error: unsupported: integer literal `1157920892373161954235709850086879078532699846656405640394575840079131
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/44289_e5a2e5c780236919ee6a_18_QF_UFLIA.smt2	unknown	sat	8033	parse_error	112	error: parse error: unsupported: integer literal `4811914295109261373146824275395911184639561504063879903954822654174833	parse_error	115	error: parse error: unsupported: integer literal `4811914295109261373146824275395911184639561504063879903954822654174833	parse_error	112	error: parse error: unsupported: integer literal `4811914295109261373146824275395911184639561504063879903954822654174833
