file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-10/c10_problem__001.smt2.slack.smt2	sat	108	0	sat	107	0	A	sat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem_2__015.smt2.slack.smt2	sat	505	0	sat	506	0	B	sat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/25-vars/v25_problem_2__027.smt2.slack.smt2	unknown	24122	0	unknown	24215	0	A	sat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__019.smt2.slack.smt2	sat	4308	0	sat	4309	0	B	sat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__011.smt2.slack.smt2	sat	9208	0	sat	9212	0	A	sat
QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_016.smt2.slack.smt2	unknown	24317	0	unknown	24114	0	B	unsat
QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage19.smt2	unknown	406	0	unknown	406	0	A	sat
QF_LIA/2019-cmodelsdiff/stillLive/0006-still_live-11-1.smt2	sat	1406	0	sat	1405	0	B	unknown
QF_LIA/2019-ezsmt/weightedSequence/09-treeWeight-729-8leaves.smt2	sat	8410	0	sat	8410	0	A	unknown
QF_LIA/20210219-Dartagnan/ReachSafety-Loops/jm2006_variant-O0.smt2	unknown	25114	0	unknown	25118	0	B	unknown
QF_LIA/20220307-SMPT/BART-PT-005/RF-11.smt2	sat	306	0	sat	306	0	A	sat
QF_LIA/20220307-SMPT/BART-PT-040/RF-15.smt2	sat	1306	0	sat	1306	0	B	sat
QF_LIA/20220307-SMPT/CircularTrains-PT-048/RC-03.smt2	unsat	105	0	unsat	106	0	A	unsat
QF_LIA/20220307-SMPT/Diffusion2D-PT-D05N010/RC-10.smt2	sat	105	0	sat	106	0	B	sat
QF_LIA/20220307-SMPT/Diffusion2D-PT-D05N200/RF-07.smt2	sat	105	0	sat	105	0	A	sat
QF_LIA/20220307-SMPT/Diffusion2D-PT-D10N050/RC-02.smt2	sat	105	0	sat	106	0	B	sat
QF_LIA/20220307-SMPT/Diffusion2D-PT-D20N010/RC-06.smt2	sat	105	0	sat	105	0	A	sat
QF_LIA/20220307-SMPT/Diffusion2D-PT-D30N010/RC-10.smt2	sat	505	0	sat	506	0	B	sat
QF_LIA/20220307-SMPT/Diffusion2D-PT-D40N010/RC-14.smt2	sat	606	0	sat	607	0	A	sat
QF_LIA/20220307-SMPT/Diffusion2D-PT-D50N010/RF-02.smt2	sat	8711	0	sat	8709	0	B	sat
QF_LIA/20220307-SMPT/ERK-PT-000001/RF-07.smt2	sat	105	0	sat	105	0	A	sat
QF_LIA/20220307-SMPT/ERK-PT-100000/RC-05.smt2	sat	105	0	sat	106	0	B	sat
QF_LIA/20220307-SMPT/Eratosthenes-PT-100/RC-10.smt2	unsat	105	0	unsat	105	0	A	unsat
QF_LIA/20220307-SMPT/FMS-PT-00005/RC-14.smt2	sat	105	0	sat	105	0	B	sat
QF_LIA/20220307-SMPT/FMS-PT-00100/RF-07.smt2	sat	105	0	sat	106	0	A	sat
QF_LIA/20220307-SMPT/FMS-PT-05000/RC-00.smt2	unsat	106	0	unsat	105	0	B	unsat
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RC-07.smt2	unknown	25519	0	unknown	25219	0	A	sat
QF_LIA/20220307-SMPT/HouseConstruction-PT-00020/RC-12.smt2	sat	105	0	sat	106	0	B	sat
QF_LIA/20220307-SMPT/HouseConstruction-PT-00500/RF-13.smt2	sat	105	0	sat	106	0	A	sat
QF_LIA/20220307-SMPT/HouseConstruction-PT-16000/RC-04.smt2	sat	105	0	sat	105	0	B	sat
QF_LIA/20220307-SMPT/IOTPpurchase-PT-C03M03P03D03/RC-08.smt2	sat	104	0	sat	105	0	A	sat
QF_LIA/20220307-SMPT/Kanban-PT-00010/RC-12.smt2	sat	105	0	sat	106	0	B	sat
QF_LIA/20220307-SMPT/Kanban-PT-00200/RF-01.smt2	sat	104	0	sat	105	0	A	sat
QF_LIA/20220307-SMPT/Kanban-PT-05000/RF-11.smt2	unsat	105	0	unsat	106	0	B	unsat
QF_LIA/20220307-SMPT/MAPK-PT-00020/RC-02.smt2	sat	105	0	sat	105	0	A	sat
QF_LIA/20220307-SMPT/MAPK-PT-00320/RC-06.smt2	sat	105	0	sat	106	0	B	sat
QF_LIA/20220307-SMPT/MAPK-PT-05120/RC-14.smt2	sat	106	0	sat	105	0	A	sat
QF_LIA/20220307-SMPT/NeighborGrid-PT-d3n3m1t11/RF-05.smt2	sat	106	0	sat	105	0	B	sat
QF_LIA/20220307-SMPT/Referendum-PT-010/RF-10.smt2	unsat	105	0	unsat	106	0	A	unsat
QF_LIA/20220307-SMPT/Referendum-PT-0200/RF-14.smt2	sat	305	0	sat	306	0	B	sat
QF_LIA/20220307-SMPT/RobotManipulation-PT-00005/RC-03.smt2	sat	106	0	sat	105	0	A	sat
QF_LIA/20220307-SMPT/RobotManipulation-PT-00100/RC-12.smt2	sat	106	0	sat	105	0	B	sat
QF_LIA/20220307-SMPT/RobotManipulation-PT-02000/RF-11.smt2	unsat	106	0	unsat	105	0	A	unsat
QF_LIA/20220307-SMPT/RwMutex-PT-r0010w0050/RC-06.smt2	sat	306	0	sat	305	0	B	sat
QF_LIA/20220307-SMPT/RwMutex-PT-r0010w2000/RC-11.smt2	unknown	25117	0	unknown	25019	0	A	unsat
QF_LIA/20220307-SMPT/RwMutex-PT-r1000w0010/RC-15.smt2	unknown	25118	0	unknown	25221	0	B	sat
QF_LIA/20220307-SMPT/SharedMemory-PT-000020/RF-06.smt2	sat	2506	0	sat	2507	0	A	sat
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT0016DC0008/RF-11.smt2	unsat	106	0	unsat	105	0	B	unsat
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT0128DC0032/RC-03.smt2	sat	105	0	sat	105	0	A	sat
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT0512DC0128/RF-11.smt2	sat	105	0	sat	105	0	B	sat
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT2048DC1024/RC-09.smt2	sat	105	0	sat	106	0	A	sat
