file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/17512_5c1021b0faa6b6e1791b_20_QF_UFLIA.smt2	unknown	204	0	unknown	206	0	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_69_QF_UFLIA.smt2	unknown	306	0	unknown	305	0	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_41_QF_UFLIA.smt2	unknown	205	0	unknown	205	0	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/38347_525a1ca0331f2bcbf520_54_QF_UFLIA.smt2	unknown	1306	0	unknown	1306	0	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/41958_32933c5a1384696720a2_61_QF_UFLIA.smt2	unknown	105	0	unknown	106	0	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/44289_4066055e0f64d96da11a_15_QF_UFLIA.smt2	unknown	1306	0	unknown	1406	0	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_36_QF_UFLIA.smt2	unknown	104	0	unknown	105	0	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_22_QF_UFLIA.smt2	unknown	2806	0	unknown	2806	0	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_7_QF_UFLIA.smt2	unknown	105	0	unknown	105	0	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_76_QF_UFLIA.smt2	unknown	25122	0	unknown	25324	0	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_2_UFLIA.smt2	unknown	25121	0	unknown	25021	0	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/93493_5990a6bf5f2740164f77_50_QF_UFLIA.smt2	unknown	25122	0	unknown	25220	0	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_33_QF_UFLIA.smt2	unknown	25016	0	unknown	25015	0	A	unknown
QF_UFLIA/TwoSquares/smtlib.606691.smt2	unsat	105	0	unsat	105	0	B	unsat
QF_UFLIA/TwoSquares/smtlib.666105.smt2	unsat	106	0	unsat	105	0	A	unsat
QF_UFLIA/TwoSquares/smtlib.686091.smt2	unsat	105	0	unsat	105	0	B	unsat
QF_UFLIA/mathsat/EufLaArithmetic/hard/hard12.smt2	unknown	24316	0	unknown	24314	0	A	unsat
QF_UFLIA/mathsat/EufLaArithmetic/hard/hard18.smt2	unknown	24320	0	unknown	24325	0	B	unsat
QF_UFLIA/mathsat/EufLaArithmetic/hard/hard7.smt2	unsat	6808	0	unsat	6710	0	A	unsat
QF_UFLIA/mathsat/EufLaArithmetic/medium/medium13.smt2	unsat	18316	0	unsat	18317	0	B	unsat
QF_UFLIA/mathsat/EufLaArithmetic/medium/medium19.smt2	unsat	18415	0	unsat	18315	0	A	unsat
QF_UFLIA/mathsat/EufLaArithmetic/medium/medium9.smt2	unsat	18316	0	unsat	18314	0	B	unsat
QF_UFLIA/mathsat/Hash/hash_sat_03_08.smt2	sat	1006	0	sat	1006	0	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_03_14.smt2	sat	605	0	sat	605	0	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_03_20.smt2	sat	9708	0	sat	9809	0	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_04_08.smt2	sat	7610	0	sat	7810	0	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_04_14.smt2	sat	18314	0	sat	18318	0	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_04_20.smt2	sat	6109	0	sat	6108	0	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_05_08.smt2	sat	18314	0	sat	18313	0	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_05_14.smt2	sat	12110	0	sat	12110	0	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_05_20.smt2	sat	18411	0	sat	18413	0	A	sat
