level	file	threshold_mult	admitted_at_level	source_arm	verdict	ms	exit_status	peak_rss_kb	decided_by
2	QF_UFLRA/FFT/smtlib.620524.smt2	1	True	shipped	unknown	107	0	16960	none
4	QF_UFLRA/FFT/smtlib.620524.smt2	1	True	shipped	unknown	107	0	16960	none
16	QF_UFLRA/FFT/smtlib.620524.smt2	1	True	shipped	unknown	107	0	16960	none
off	QF_UFLRA/FFT/smtlib.620524.smt2	1	True	shipped	unknown	107	0	16960	none
2	QF_UFLRA/FFT/smtlib.626139.smt2	1	True	shipped	unknown	107	0	15860	none
4	QF_UFLRA/FFT/smtlib.626139.smt2	1	True	shipped	unknown	107	0	15860	none
16	QF_UFLRA/FFT/smtlib.626139.smt2	1	True	shipped	unknown	107	0	15860	none
off	QF_UFLRA/FFT/smtlib.626139.smt2	1	True	shipped	unknown	107	0	15860	none
2	QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.floppy_false-unreach-call.i.cil.c.smt2	3	False	shipped	unknown	25031	0	59248	none
4	QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.floppy_false-unreach-call.i.cil.c.smt2	3	True	65536	unknown	25033	0	59256	none
16	QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.floppy_false-unreach-call.i.cil.c.smt2	3	True	65536	unknown	25033	0	59256	none
off	QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.floppy_false-unreach-call.i.cil.c.smt2	3	True	65536	unknown	25033	0	59256	none
2	QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.rekcba_ctm_true-unreach-call.1.c.smt2	1	True	shipped	unknown	25231	0	1552232	none
4	QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.rekcba_ctm_true-unreach-call.1.c.smt2	1	True	shipped	unknown	25231	0	1552232	none
16	QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.rekcba_ctm_true-unreach-call.1.c.smt2	1	True	shipped	unknown	25231	0	1552232	none
off	QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.rekcba_ctm_true-unreach-call.1.c.smt2	1	True	shipped	unknown	25231	0	1552232	none
2	QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.while_infinite_loop_4_false-unreach-call_true-termination.i.smt2	1	True	shipped	sat	109	0	16708	uf-arith-online
4	QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.while_infinite_loop_4_false-unreach-call_true-termination.i.smt2	1	True	shipped	sat	109	0	16708	uf-arith-online
16	QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.while_infinite_loop_4_false-unreach-call_true-termination.i.smt2	1	True	shipped	sat	109	0	16708	uf-arith-online
off	QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.while_infinite_loop_4_false-unreach-call_true-termination.i.smt2	1	True	shipped	sat	109	0	16708	uf-arith-online
2	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--input--keyboard--stowaway.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	1	True	shipped	unknown	25133	0	327644	uf-arith-lazy-overbound
