file	A	A_rc	A_ms	A_rss	A2	A2_rc	A2_ms	A2_rss	B	B_rc	B_ms	B_rss	C	C_rc	C_ms	C_rss	D	D_rc	D_ms	D_rss	first	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	unknown	0	24038	43376	unknown	0	24039	42776	unknown	0	24039	42840	unknown	0	24041	42600	unknown	0	24041	42464	A	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2	unknown	0	25143	756220	unknown	0	25145	756268	unknown	0	25142	756436	unknown	0	25141	756272	unknown	0	25142	756396	A2	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/robotics/1_4.smt2	unsat	0	112	11252	unsat	0	116	11348	unsat	0	116	11592	unsat	0	113	11012	unsat	0	116	10900	B	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2	sat	0	10624	84556	sat	0	10125	84288	sat	0	7322	84216	sat	0	9722	84560	sat	0	9326	84548	C	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-tempo-matrix8x8.pddl.smt2	sat	0	1814	42540	sat	0	1814	42584	sat	0	1814	42576	sat	0	1814	42540	sat	0	1814	42780	D	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	none	134	7798	7755964	none	134	7401	7754240	none	134	7979	7748016	none	134	8862	7817048	none	134	7900	7768984	A	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2	none	134	6385	7807624	none	134	6196	7807656	none	134	5991	7799108	none	134	7335	7770472	none	134	6301	7769120	A2	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2	none	134	7395	7787632	none	134	7297	7787548	none	134	6997	7651876	none	134	8829	7760960	none	134	6802	7728000	B	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/queens.t2.c_Iteration19_Loop_7-phaseTemplate.smt2	none	134	6797	7789628	none	134	6805	7790020	none	134	6798	7782932	none	134	6993	7775332	none	134	6798	7769312	C	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/toeplz.c.i.toeplz.pl.t2.fixed.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	none	134	10205	7703468	none	134	10295	7703568	none	134	9903	7610848	none	134	12205	7601684	none	134	10000	7601664	D	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_3-pieceTemplate.smt2	none	134	5693	7807004	none	134	5703	7807080	none	134	5590	7800080	none	134	6391	7785592	none	134	5493	7785244	A	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration1_Loop_7-phaseTemplate.smt2	unknown	0	24338	4879672	unknown	0	24239	4881924	unknown	0	25040	4204072	none	134	5894	7813528	none	134	5591	7813508	A2	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/Gcd_havoc.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	unknown	0	24241	1922024	unknown	0	24241	1922568	unknown	0	24241	1744108	none	134	6415	7825888	none	134	5690	7825960	B	sat
