file	A	A_rc	A_ms	A_rss	A2	A2_rc	A2_ms	A2_rss	B	B_rc	B_ms	B_rss	C	C_rc	C_ms	C_rss	D	D_rc	D_ms	D_rss	first	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/2019-Jiang/slog/slog_stranger_1001_sink.smt2	unsat	0	210	10480	na	na	na	na	unsat	0	109	10360	na	na	na	na	na	na	na	na	A	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/2019-Jiang/slog/slog_stranger_2105_sink.smt2	unsat	0	108	11140	na	na	na	na	unsat	0	109	10844	na	na	na	na	na	na	na	na	B	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/2019-Jiang/slog/slog_stranger_318_sink.smt2	unknown	0	510	46892	na	na	na	na	unknown	0	510	46776	na	na	na	na	na	na	na	na	A	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/2019-Jiang/slog/slog_stranger_5360_sink.smt2	unknown	0	25031	50808	na	na	na	na	unknown	0	25030	50980	na	na	na	na	na	na	na	na	B	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/2020-sygus-qgen/queries/query6620.smt2	unknown	0	109	7744	na	na	na	na	unknown	0	109	7668	na	na	na	na	na	na	na	na	A	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance00501.smt2	sat	0	108	11148	na	na	na	na	sat	0	109	10984	na	na	na	na	na	na	na	na	B	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance01065.smt2	sat	0	108	11012	na	na	na	na	sat	0	108	10784	na	na	na	na	na	na	na	na	A	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance01629.smt2	sat	0	108	11032	na	na	na	na	sat	0	108	11036	na	na	na	na	na	na	na	na	B	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance02193.smt2	sat	0	109	10276	na	na	na	na	sat	0	109	10388	na	na	na	na	na	na	na	na	A	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance02757.smt2	sat	0	108	10852	na	na	na	na	sat	0	109	10952	na	na	na	na	na	na	na	na	B	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance03321.smt2	sat	0	110	10820	na	na	na	na	sat	0	108	10940	na	na	na	na	na	na	na	na	A	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance03885.smt2	sat	0	109	10752	na	na	na	na	sat	0	108	10760	na	na	na	na	na	na	na	na	B	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance04449.smt2	sat	0	108	10752	na	na	na	na	sat	0	108	10636	na	na	na	na	na	na	na	na	A	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance05013.smt2	sat	0	108	10808	na	na	na	na	sat	0	108	10796	na	na	na	na	na	na	na	na	B	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance05577.smt2	sat	0	109	10512	na	na	na	na	sat	0	109	10528	na	na	na	na	na	na	na	na	A	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance06141.smt2	sat	0	1510	15128	na	na	na	na	sat	0	1510	14988	na	na	na	na	na	na	na	na	B	sat
