index	file	verdict	wall_ms
1	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/carpark/Carpark2-ausgabe-8.smt2	unknown	24330
1	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/carpark/Carpark2-ausgabe-8.smt2	unknown	24131
2	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/gasburner/gasburner-prop3-12.smt2	unknown	24132
2	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/gasburner/gasburner-prop3-12.smt2	unknown	24132
3	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/gasburner/gasburner-prop3-9.smt2	unknown	24130
3	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/gasburner/gasburner-prop3-9.smt2	unknown	24132
4	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/pursuit/pursuit-safety-16.smt2	unknown	24233
4	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/pursuit/pursuit-safety-16.smt2	unknown	24233
5	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/pursuit/pursuit-safety-5.smt2	unknown	24133
5	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/pursuit/pursuit-safety-5.smt2	unknown	24132
6	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/tgc/tgc_io-nosafe-4.smt2	unknown	24135
6	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/tgc/tgc_io-nosafe-4.smt2	unknown	24132
7	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/tgc/tgc_io-safe-20.smt2	unknown	24465
7	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/tgc/tgc_io-safe-20.smt2	unknown	24551
8	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-5.base.cvc.smt2	unknown	24237
8	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-5.base.cvc.smt2	unknown	24132
