file	first	a_rc	a_ms	a_verdict	a_total_ms	b_rc	b_ms	b_verdict	b_total_ms	b_warm_build	b_warm_checks	b_warm_declines	b_warm_cold_restarts	a_cold_builds	b_cold_builds	status
QF_LRA/LassoRanker/Ultimate/Gcd_havoc.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	A	0	24131	unknown	24027	0	24129	unknown	24070	built	513	1	0	316	0	sat
QF_LRA/sc/sc-37.base.cvc.smt2	B	0	24130	unknown	24029	0	24130	unknown	24040	built	890	1	0	823	0	unsat
QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration1_Lasso_4-lexTemplate.smt2	A	0	24930	unknown	24723	0	25031	unknown	24816	built	35	1	0	30	0	sat
QF_LRA/DTP-Scheduling/constraints-tempo-width-9.smt2	B	0	106	sat	16	0	106	sat	17	off	0	0	0	0	0	sat
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	A	0	24027	unknown	24008	0	24028	unknown	24010	off	0	0	0	0	0	unsat
QF_LRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0142.smt2	B	0	107	sat	0	0	107	sat	0	off	0	0	0	0	0	sat
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	A	0	24129	unknown	24021	0	24128	unknown	24026	built	1548	1	0	1214	0	unsat
QF_LRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0009.smt2	B	0	107	sat	3	0	107	sat	3	off	0	0	0	0	0	sat
QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration3_Loop_4-pieceTemplate.smt2	A	0	24430	unknown	24264	0	24530	unknown	24389	built	101	1	0	81	0	sat
QF_LRA/LassoRanker/SV-COMP/Ben-Amram-2010LMCS-Ex2.3_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2	B	0	24426	unknown	24303	0	24630	unknown	24449	built	59	1	0	50	0	unsat
