file	first	a_rc	a_ms	a_verdict	a_total_ms	b_rc	b_ms	b_verdict	b_total_ms	b_warm_build	b_warm_checks	b_warm_declines	b_warm_cold_restarts	a_cold_builds	b_cold_builds	status
QF_LRA/tta_startup/simple_startup_15nodes.synchro.induct.smt2	A	0	24128	unknown	24029	0	24129	unknown	24067	built	902	1	0	771	0	unsat
QF_LRA/uart/uart-8.base.cvc.smt2	B	0	24028	unknown	24010	0	24127	unknown	24014	built	1938	1	0	1915	0	unsat
QF_LRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0005.smt2	A	0	107	sat	0	0	107	sat	0	off	0	0	0	0	0	sat
QF_LRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0043.smt2	B	0	107	sat	0	0	106	sat	0	off	0	0	0	0	0	sat
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0026.smt2	A	0	106	sat	1	0	107	sat	1	off	0	0	0	0	0	sat
QF_LRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0052.smt2	B	0	107	unsat	5	0	106	unsat	5	off	0	0	0	0	0	unsat
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0067.smt2	A	0	106	sat	5	0	107	sat	5	off	0	0	0	0	0	sat
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0048.smt2	B	0	107	unsat	4	0	106	unsat	4	off	0	0	0	0	0	unsat
QF_LRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0042.smt2	A	0	107	sat	0	0	107	sat	0	off	0	0	0	0	0	sat
QF_LRA/sal/gasburner/gasburner-prop3-3.smt2	B	0	107	unsat	45	0	107	unsat	51	off	0	0	0	0	0	unsat
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-9.smt2	A	0	307	unsat	205	0	307	unsat	201	off	0	0	0	0	0	unsat
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration3_Lasso_7-phaseTemplate.smt2	B	0	25132	unknown		0	25131	unknown								sat
QF_LRA/sal/gasburner/gasburner-prop3-8.smt2	A	0	608	unsat	550	0	607	unsat	544	off	0	0	0	0	0	unsat
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0107.smt2	B	0	107	sat	5	0	108	sat	4	off	0	0	0	0	0	sat
QF_LRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0044.smt2	A	0	107	sat	0	0	107	sat	0	off	0	0	0	0	0	sat
QF_LRA/uart/uart-26.induction.cvc.smt2	B	0	24130	unknown	24038	0	24130	unknown	24017	built	848	1	0	778	0	sat
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0015.smt2	A	0	107	unsat	4	0	107	unsat	4	off	0	0	0	0	0	unsat
QF_LRA/sc/sc-38.induction.cvc.smt2	B	0	24027	unknown	24010	0	24030	unknown	24010	built	989	0	0	831	0	sat
QF_LRA/LassoRanker/Ultimate/simple-scaled250.bpl_Iteration1_Lasso_7-nestedTemplate.smt2	A	0	25030	unknown	24867	0	25130	unknown						13		sat
QF_LRA/LassoRanker/SV-COMP/aviad_true-termination.c_Iteration1_Loop_5-nestedTemplate.smt2	B	0	25130	unknown		0	25129	unknown								sat
QF_LRA/meti-tarski/Chua/2/VC1/L/Chua-2-VC1-L-chunk-0080.smt2	A	0	107	sat	0	0	107	sat	0	off	0	0	0	0	0	sat
QF_LRA/sal/tgc/tgc_io-nosafe-6.smt2	B	0	307	unknown	207	0	307	unknown	212	off	0	0	0	0	0	unsat
QF_LRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0100.smt2	A	0	107	sat	0	0	107	sat	0	off	0	0	0	0	0	sat
QF_LRA/LassoRanker/Ultimate/CooperatingT2_consts1.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	B	0	24125	unknown	24025	0	24129	unknown	24024	built	959	1	0	287	0	sat
QF_LRA/sc/sc-24.induction3.cvc.smt2	A	0	24126	unknown	24031	0	24130	unknown	24026	off	0	0	0	1734	1740	sat
QF_LRA/sal/windowreal/windowreal-safe2-2.smt2	B	0	107	unsat	15	0	107	unsat	15	off	0	0	0	0	0	unsat
QF_LRA/clock_synchro/clocksynchro_7clocks.worst_case_skew.induct.smt2	A	0	24029	unknown	24005	0	24028	unknown	24006	off	0	0	0	0	0	unsat
QF_LRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0012.smt2	B	0	107	unsat	4	0	106	unsat	5	off	0	0	0	0	0	unsat
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0020.smt2	A	0	107	sat	3	0	107	sat	3	off	0	0	0	0	0	sat
QF_LRA/meti-tarski/bottom-plate-mixer/bottom-plate-mixer-chunk-0016.smt2	B	0	107	unsat	0	0	106	unsat	0	off	0	0	0	0	0	unsat
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_relax.i_11_7_4.bpl_11.smt2	A	0	24229	unknown	24160	0	24328	unknown	24267	built	176	1	0	130	0	unsat
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0070.smt2	B	0	106	unsat	3	0	106	unsat	4	off	0	0	0	0	0	unsat
QF_LRA/meti-tarski/cbrt/3/cbrt-problem-3-chunk-0043.smt2	A	0	106	sat	0	0	106	sat	0	off	0	0	0	0	0	sat
QF_LRA/tta_startup/simple_startup_3nodes.synchro.induct.smt2	B	0	1808	unknown	1767	0	1608	unknown	1508	built	457	0	0	481	0	unsat
QF_LRA/LassoRanker/CooperatingT2/ndes.t2.c_Iteration3_Loop_4-pieceTemplate.smt2	A	0	24628	unknown	24414	0	24729	unknown	24491	built	45	1	0	38	0	sat
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0071.smt2	B	0	107	sat	5	0	107	sat	5	off	0	0	0	0	0	sat
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0036.smt2	A	0	106	unsat	0	0	106	unsat	0	off	0	0	0	0	0	unsat
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0062.smt2	B	0	106	unsat	5	0	106	unsat	5	off	0	0	0	0	0	unsat
QF_LRA/sc/sc-10.induction2.cvc.smt2	A	0	24128	unknown	24017	0	24028	unknown	24005	built	1691	1	0	1568	0	sat
QF_LRA/sc/sc-40.induction.cvc.smt2	B	0	24128	unknown	24016	0	24129	unknown	24020	built	959	1	0	855	0	sat
QF_LRA/miplib/pk1-11.smt2	A	0	24128	unknown	24019	0	24026	unknown	24007	built	1001	0	0	943	0	sat
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_gj2007.c.i_4_3_3.bpl_7.smt2	B	0	24124	unknown	24030	0	24124	unknown	24012	off	0	0	0	0	0	unsat
QF_LRA/LassoRanker/SV-COMP/BradleyMannaSipma-2005ICALP-Fig1_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2	A	0	24428	unknown	24266	0	24324	unknown	24188	built	84	1	0	69	0	unsat
QF_LRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_5-nestedTemplate.smt2	B	0	24530	unknown	24420	0	24730	unknown	24606	built	40	1	0	35	0	sat
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0016.smt2	A	0	106	unsat	3	0	107	unsat	3	off	0	0	0	0	0	unsat
QF_LRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0035.smt2	B	0	106	sat	0	0	106	sat	0	off	0	0	0	0	0	sat
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0006.smt2	A	0	106	sat	0	0	106	sat	0	off	0	0	0	0	0	sat
QF_LRA/clock_synchro/clocksynchro_10clocks.main_invar.induct.smt2	B	0	24029	unknown	24008	0	24129	unknown	24020	built	495	1	0	393	0	unsat
QF_LRA/sc/sc-18.induction3.cvc.smt2	A	0	24129	unknown	24035	0	24129	unknown	24033	off	0	0	0	787	788	sat
