file	surrogate	ax	ax_s	z3_surr	z3s_s	z3_orig	z3o_s	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/bubble_sort_linux-2.i_9.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll-token-1.i_25.smt2	ok	unknown	0.11	unsat	0.11	unsat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll2c_insert_equal.i_64.smt2	ok	unknown	0.11	unknown	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll2c_remove_all.i_6.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll2c_update_all.i_33.smt2	ok	unknown	0.11	sat	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll2c_update_all_reverse.i_120.smt2	ok	unknown	0.11	unknown	0.11	unsat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll2c_update_all_reverse.i_168.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll2c_update_all_reverse.i_23.smt2	ok	unknown	0.11	unknown	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll2c_update_all_reverse.i_4.smt2	ok	unknown	0.11	unknown	0.11	unsat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_append_unequal.i_49.smt2	ok	unknown	0.11	unknown	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_prepend_unequal.i_86.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll_circular_traversal-2.i_48.smt2	ok	unknown	0.11	sat	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll_circular_traversal-2.i_75.smt2	ok	unknown	0.11	sat	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/dll_of_dll-1.i_24.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_18.smt2	ok	unknown	0.11	unknown	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_75.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/shared_mem1.i_111.smt2	ok	unknown	0.11	unknown	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/simple_search_value-1.i_37.smt2	ok	unknown	0.11	unknown	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/skiplist_3lvl.i_106.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/sll-buckets-2.i_17.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/sll-token-2.i_0.smt2	ok	unknown	0.11	unsat	0.11	unsat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/sll2c_prepend_unequal.i_42.smt2	ok	unknown	0.11	unknown	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/sll2n_append_unequal.i_5.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/sll2n_insert_unequal.i_19.smt2	ok	unknown	0.11	unknown	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/sll2n_prepend_equal.i_56.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/sll_circular_traversal-1.i_45.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/sll_circular_traversal-1.i_60.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/sll_circular_traversal-1.i_76.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/sll_to_dll_rev-2.i_102.smt2	ok	unknown	0.11	unknown	0.11	unknown	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/sll_to_dll_rev-2.i_119.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/test_mutex_double_unlock.i_3.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/tree-3.i_5.smt2	ok	unknown	25.02	sat	0.11	sat	16.02	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/20230321-UltimateAutomizerSvcomp2023/tree_of_cslls.i_6.smt2	ok	unknown	0.11	unknown	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/piVC/piVC_5581bd.smt2	REFUSED	-	-	-	-	-	-	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/piVC/piVC_a04477.smt2	REFUSED	-	-	-	-	-	-	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ALIA/piVC/piVC_ffb7db.smt2	REFUSED	-	-	-	-	-	-	unsat
