file	A	B	A_ms	B_ms	first
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	unknown	unknown	24024	24025	B
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_7.smt2	unknown	unknown	24025	24025	A
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	unknown	unknown	24025	24025	B
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	unknown	unknown	24526	24626	A
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_copy3_ground.i_3_2_2.bpl_7.smt2	unknown	unknown	24024	24124	B
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	unknown	unknown	24126	24126	A
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	unknown	unknown	24126	24126	B
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	unknown	unknown	24124	24023	A
QF_LRA/2019-ezsmt/blending/17.smt2	sat	sat	109	109	B
QF_LRA/2019-ezsmt/blending/1.smt2	unsat	unsat	5012	5012	A
QF_LRA/2019-ezsmt/blending/24.smt2	sat	sat	3411	3311	A
QF_LRA/2019-ezsmt/blending/5.smt2	unsat	unsat	5011	5012	B
QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2	unknown	unknown	25126	25126	A
QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	unknown	unknown	25127	25127	B
QF_LRA/2019-ezsmt/robotics/1_4.smt2	unsat	unsat	109	108	A
QF_LRA/2019-ezsmt/robotics/4_3.smt2	unsat	unsat	108	108	B
QF_LRA/2019-ezsmt/routingMin/SCC_strong/d50.9.smt2	sat	sat	109	108	B
QF_LRA/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_12.lp.smt2	sat	sat	2210	2111	A
QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	unknown	unknown	24125	24226	B
QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_4.lp.smt2	sat	sat	4211	4512	A
QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2	sat	sat	3811	4112	B
QF_LRA/clock_synchro/clocksynchro_2clocks.main_invar.base.smt2	unsat	unsat	2610	2610	A
QF_LRA/clock_synchro/clocksynchro_4clocks.main_invar.base.smt2	unsat	unsat	810	809	B
QF_LRA/clock_synchro/clocksynchro_6clocks.main_invar.base.smt2	unsat	unsat	2211	2211	A
QF_LRA/clock_synchro/clocksynchro_8clocks.main_invar.base.smt2	unsat	unsat	4612	4612	B
QF_LRA/DTP-Scheduling/constraints-cooking06.smt2	sat	sat	108	109	A
QF_LRA/DTP-Scheduling/constraints-cooking14.smt2	sat	sat	109	109	B
QF_LRA/DTP-Scheduling/constraints-cooking22.smt2	sat	sat	108	108	A
QF_LRA/DTP-Scheduling/constraints-tempo-depth-30.smt2	sat	sat	109	109	A
