CLOCK-OK qfnra.0 sleep200=205ms armA=single-cell armB=algebraic-witness
[qfnra.0 1] A=unknown B=unknown QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2
[qfnra.0 2] A=unknown B=unknown QF_NRA/2019-ezsmt/reverseFolding/30-reverse_folding-0-0.smt2
[qfnra.0 3] A=sat B=sat QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC10_ex1d.smt2
[qfnra.0 4] A=unknown B=unknown QF_NRA/LassoRanker/CooperatingT2/spiral.t2.c_Iteration22_Loop_4-pieceTemplate.smt2
[qfnra.0 5] A=unknown B=unknown QF_NRA/LassoRanker/Ultimate/yPositive-SIscaled75.bpl_Iteration1_Loop_2-pieceTemplate.smt2
[qfnra.0 6] A=unsat B=unsat QF_NRA/hycomp/ball_count_1d_plain.05.qfree_global_5.smt2
[qfnra.0 7] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill.04.seq_lazy_linear_enc_global_5.smt2
[qfnra.0 8] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill_simple.04.qfree_global_5.smt2
[qfnra.0 9] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_plain.03.qfree_global_5.smt2
[qfnra.0 10] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_slope.02.seq_lazy_linear_enc_global_5.smt2
[qfnra.0 11] A=unknown B=unknown QF_NRA/kissing/kissing_4_8.smt2
[qfnra.0 12] A=unknown B=unknown QF_NRA/meti-tarski/Chua/1/IL/U/Chua-1-IL-U-chunk-0075.smt2
[qfnra.0 13] A=sat B=sat QF_NRA/meti-tarski/Chua/2/IL/U/Chua-2-IL-U-chunk-0064.smt2
[qfnra.0 14] A=unknown B=unknown QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0160.smt2
[qfnra.0 15] A=unknown B=sat QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0089.smt2
[qfnra.0 16] A=unknown B=unknown QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0242.smt2
[qfnra.0 17] A=unsat B=unsat QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0174.smt2
[qfnra.0 18] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0713.smt2
[qfnra.0 19] A=unsat B=unsat QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0326.smt2
[qfnra.0 20] A=unknown B=unknown QF_NRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0105.smt2
[qfnra.0 21] A=sat B=sat QF_NRA/meti-tarski/sin/344/3/sin-344-3-chunk-0018.smt2
[qfnra.0 22] A=unknown B=unknown QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0479.smt2
[qfnra.0 23] A=sat B=sat QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0131.smt2
[qfnra.0 24] A=sat B=sat QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0160.smt2
[qfnra.0 25] A=unknown B=unknown QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0695.smt2
[qfnra.0 26] A=unknown B=unknown QF_NRA/20161105-Sturm-MBO/mbo_E1.smt2
[qfnra.0 27] A=unknown B=unknown QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/standard_two_index_06.i_3_2_2.bpl_5.smt2
[qfnra.0 28] A=unknown B=unknown QF_NRA/20211101-Geogebra/IsoRightTriangle-Bottema6_1b.smt2
[qfnra.0 29] A=unknown B=unknown QF_NRA/LassoRanker/CooperatingT2/heidy7.t2.c_Iteration2_Lasso_2-pieceTemplate.smt2
[qfnra.0 30] A=unknown B=unknown QF_NRA/LassoRanker/Ultimate/Canberra.bpl_Iteration1_Lasso_6-phaseTemplate.smt2
[qfnra.0 31] A=unsat B=unsat QF_NRA/hycomp/ball_count_1d_plain.03.redlog_global_15.smt2
[qfnra.0 32] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill.02.seq_lazy_lemmas_global_15.smt2
[qfnra.0 33] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill_simple.02.redlog_global_15.smt2
[qfnra.0 34] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_plain.01.redlog_global_15.smt2
[qfnra.0 35] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_plain.10.redlog_global_15.smt2
[qfnra.0 36] A=unsat B=unsat QF_NRA/hycomp/etcs_braking_2.01.redlog_global_15.smt2
[qfnra.0 37] A=sat B=sat QF_NRA/meti-tarski/CONVOI2/CONVOI2-chunk-0028.smt2
[qfnra.0 38] A=sat B=sat QF_NRA/meti-tarski/Chua/1/VC2/U/Chua-1-VC2-U-chunk-0110.smt2
[qfnra.0 39] A=unsat B=unsat QF_NRA/meti-tarski/Chua/2/VC2/U/Chua-2-VC2-U-chunk-0049.smt2
