file	A	B	A_ms	B_ms	first
QF_NRA/20161105-Sturm-MBO/mbo_E1.smt2	unknown	unknown	2610	2611	A
QF_NRA/20161105-Sturm-MBO/mbo_E7E27.smt2	unsat	unsat	109	108	B
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0082a.smt2	unknown	unknown	12420	12323	A
QF_NRA/20200911-Pine/1599122159626470000.smt2	sat	sat	2813	2913	B
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_Lemma2.smt2	unknown	unknown	5214	5213	A
QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_global_11.smt2	unsat	unsat	1112	1111	B
QF_NRA/hycomp/ball_count_1d_plain.03.seq_lazy_linear_enc_lemmas_global_11.smt2	unsat	unsat	2512	2515	A
QF_NRA/hycomp/ball_count_1d_plain.10.seq_lazy_global_11.smt2	unsat	unsat	1115	1114	B
QF_NRA/hycomp/ball_count_2d_hill.03.seq_lazy_global_11.smt2	unsat	unsat	112	113	A
QF_NRA/hycomp/ball_count_2d_hill.10.seq_lazy_global_11.smt2	unsat	unsat	113	113	B
QF_NRA/hycomp/ball_count_2d_hill_simple.02.seq_lazy_linear_enc_lemmas_global_11.smt2	unsat	unsat	3415	3413	A
QF_NRA/hycomp/ball_count_2d_hill_simple.05.seq_lazy_global_11.smt2	unsat	unsat	1511	1510	B
QF_NRA/hycomp/ball_count_2d_plain.01.seq_lazy_linear_enc_lemmas_global_11.smt2	unsat	unsat	110	109	A
QF_NRA/hycomp/ball_count_2d_plain.04.seq_lazy_global_11.smt2	unsat	unsat	109	109	B
QF_NRA/hycomp/ball_count_2d_plain.10.seq_lazy_linear_enc_lemmas_global_11.smt2	unsat	unsat	109	109	A
QF_NRA/hycomp/ball_count_2d_slope.04.seq_lazy_linear_enc_global_11.smt2	unsat	unsat	109	109	B
QF_NRA/hycomp/etcs_braking_2.01.seq_lazy_linear_enc_lemmas_global_11.smt2	unsat	unsat	11920	11619	A
QF_NRA/LassoRanker/CooperatingT2/eric2.t2.c_Iteration9_Loop_3-pieceTemplate.smt2	unknown	unknown	24128	24129	B
QF_NRA/LassoRanker/CooperatingT2/spiral.t2.c_Iteration22_Loop_4-pieceTemplate.smt2	unknown	unknown	24331	24233	A
QF_NRA/LassoRanker/SV-COMP/NoriSharma-2013FSE-Fig7_true-termination.c_Iteration1_Loop_6-phaseTemplate.smt2	unknown	unknown	24127	24134	B
QF_NRA/LassoRanker/Ultimate/yPositive-SIscaled75.bpl_Iteration1_Loop_2-pieceTemplate.smt2	unknown	unknown	24535	24229	A
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0083.smt2	sat	sat	110	109	B
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0089.smt2	unknown	unknown	14224	14325	A
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0059.smt2	unsat	unsat	120	130	B
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0302.smt2	sat	sat	111	110	A
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0545.smt2	unknown	unknown	11620	11619	B
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0243.smt2	unknown	sat	11221	110	A
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0525.smt2	sat	sat	111	110	B
QF_NRA/meti-tarski/cbrt/3/cbrt-problem-3-chunk-0076.smt2	sat	sat	111	110	A
QF_NRA/meti-tarski/Chua/1/IL/U/Chua-1-IL-U-chunk-0075.smt2	unknown	unknown	111	110	B
QF_NRA/meti-tarski/Chua/1/VC2/U/Chua-1-VC2-U-chunk-0037.smt2	sat	sat	111	111	A
QF_NRA/meti-tarski/Chua/2/IL/U/Chua-2-IL-U-chunk-0064.smt2	sat	sat	112	110	B
QF_NRA/meti-tarski/Chua/2/VC2/L/Chua-2-VC2-L-chunk-0039.smt2	unsat	unsat	111	111	A
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0211.smt2	sat	sat	109	109	B
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0081.smt2	unsat	unsat	110	110	A
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0326.smt2	unsat	unsat	109	109	B
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0016.smt2	unknown	unknown	25028	25029	A
QF_NRA/meti-tarski/Lyapunov/Lyapunov1a-chunk-0004.smt2	sat	sat	112	110	B
QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0097.smt2	sat	sat	111	110	A
QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0422.smt2	sat	sat	112	112	B
QF_NRA/meti-tarski/sin/344/3/sin-344-3-chunk-0018.smt2	sat	sat	3414	111	A
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0227.smt2	unknown	unknown	5217	4915	B
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0479.smt2	unknown	unknown	1413	1411	A
QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0124.smt2	unknown	sat	12427	111	B
QF_NRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0051.smt2	sat	sat	415	413	A
QF_NRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0070.smt2	sat	sat	409	413	B
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0160.smt2	unknown	unknown	24238	24237	A
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0421.smt2	unknown	unknown	12324	12327	B
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0695.smt2	unknown	unknown	1914	2115	A
QF_NRA/meti-tarski/sqrt/problem/sqrt-problem-Melquiond2-chunk-0063.smt2	sat	sat	115	113	B
