file	verdict	partial	bucket	terminal_route	terminal_reason	terminal_detail	bound_by	elapsed_ms	status	n_vars	max_degree	n_assert	has_div
QF_NRA/20161105-Sturm-MBO/mbo_E13E18.smt2	unknown	yes	killed mid-search: nra-real-root/not-applicable	nra-real-root	not-applicable		nra-real-root	25328	unsat	7	20	1	0
QF_NRA/20161105-Sturm-MBO/mbo_E17E24.smt2	unknown	yes	killed mid-search: nra-real-root/not-applicable	nra-real-root	not-applicable		nra-real-root	25229	sat	7	20	1	0
QF_NRA/20161105-Sturm-MBO/mbo_E1.smt2	unknown	no	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	nra	budget	nonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	nra	2709	unsat	6	10	1	0
QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2	unknown	no	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	nra	budget	nonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	nra	2510	unsat	6	11	1	0
QF_NRA/20161105-Sturm-MBO/mbo_E2E5.smt2	unknown	yes	killed mid-search: nra-real-root/not-applicable	nra-real-root	not-applicable		nra-real-root	25430	unsat	7	19	1	0
QF_NRA/20161105-Sturm-MBO/mbo_E5E13.smt2	unknown	no	nra-real-root/not-applicable	nra-real-root	not-applicable		nra-real-root	24524	unsat	7	20	1	0
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/avg60.i_5_5_4.bpl_3.smt2	unknown	no	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	nra	budget	nonlinear abstraction: 500 cross-products project to 9559 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	nra	24129	unknown	621	2	11	0
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/standard_two_index_06.i_3_2_2.bpl_5.smt2	unknown	no	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	nra	budget	nonlinear abstraction: 63 cross-products project to 1244 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	nra	9116	unknown	77	2	3	0
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0051a.smt2	unknown	no	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	nra	incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra	6213	sat	20	1	1	0
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0082a.smt2	unknown	no	nra/budget [lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a ]	nra	budget	lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a variable's cross product, then the exact-rational simplex fallback stopped on the 	nra	12420	sat	10	1	1	0
QF_NRA/2019-ezsmt/reverseFolding/30-reverse_folding-0-0.smt2	abort	unknown	no typed decline recorded	none	none		none	12690	unknown	30718	1	113156	0
