file	status	n_vars	max_degree	n_assert	has_div	has_div_const	max_abs_int_log2	has_to_int	has_ite	has_top_or
QF_NRA/20161105-Sturm-MBO/mbo_E13E18.smt2	unsat	7	20	1	0	0	18	0	0	0
QF_NRA/20161105-Sturm-MBO/mbo_E17E24.smt2	sat	7	20	1	0	0	15	0	0	0
QF_NRA/20161105-Sturm-MBO/mbo_E1.smt2	unsat	6	10	1	0	0	9	0	0	0
QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2	unsat	6	11	1	0	0	7	0	0	0
QF_NRA/20161105-Sturm-MBO/mbo_E2E5.smt2	unsat	7	19	1	0	0	21	0	0	0
QF_NRA/20161105-Sturm-MBO/mbo_E5E13.smt2	unsat	7	20	1	0	0	17	0	0	0
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/avg60.i_5_5_4.bpl_3.smt2	unknown	621	2	11	0	0	0	0	0	0
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/standard_two_index_06.i_3_2_2.bpl_5.smt2	unknown	77	2	3	0	0	0	0	0	0
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0051a.smt2	sat	20	1	1	0	0	0	0	0	0
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0082a.smt2	sat	10	1	1	0	0	0	0	0	0
QF_NRA/2019-ezsmt/reverseFolding/30-reverse_folding-0-0.smt2	unknown	30718	1	113156	0	0	6	0	0	1
QF_NRA/20200911-Pine/1599121863243316000.smt2	unknown	4	2	1	0	1	0	0	0	0
QF_NRA/20200911-Pine/1599121905450496000.smt2	unknown	4	5	1	0	1	0	0	0	0
QF_NRA/20200911-Pine/1599122164633784000.smt2	unknown	4	2	1	0	1	0	0	0	0
QF_NRA/20211101-Geogebra/IsoRightTriangle-Bottema6_1b.smt2	sat	6	2	1	0	0	3	0	0	0
QF_NRA/20211101-Geogebra/Triangle-Bottema1_17.smt2	sat	7	4	1	0	0	4	0	0	0
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_Lemma2.smt2	unsat	4	17	1	0	1	21	0	0	0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_ISSAC05_Bessack_5_m4.smt2	unsat	4	5	1	0	0	3	0	0	0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_Mitrinovic_8_3.smt2	unsat	5	3	1	0	0	1	0	0	0
QF_NRA/hycomp/etcs_braking_2.01.redlog_global_15.smt2	unsat	350	4	1	0	1	9	0	0	0
QF_NRA/hycomp/simple_ballistics_reach.01.seq_lazy_linear_enc_global_9.smt2	unknown	90	4	1	0	1	6	0	0	0
QF_NRA/kissing/kissing_4_8.smt2	sat	32	2	36	0	0	1	0	0	0
QF_NRA/LassoRanker/CooperatingT2/byron-2.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	unknown	3881	2	505	0	0	1	0	0	0
QF_NRA/LassoRanker/CooperatingT2/eric2.t2.c_Iteration9_Loop_3-pieceTemplate.smt2	unknown	986	2	40	0	0	1	0	0	0
QF_NRA/LassoRanker/CooperatingT2/heidy7.t2.c_Iteration2_Lasso_2-pieceTemplate.smt2	unsat	397	2	57	0	0	2	0	0	0
QF_NRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	unknown	5149	2	505	0	0	2	0	0	0
QF_NRA/LassoRanker/CooperatingT2/polyrank4.t2.c_Iteration9_Loop_2-pieceTemplate.smt2	unknown	217	2	22	0	0	2	0	0	0
QF_NRA/LassoRanker/CooperatingT2/spiral.t2.c_Iteration22_Loop_4-pieceTemplate.smt2	unknown	1403	2	169	0	0	1	0	0	0
QF_NRA/LassoRanker/SV-COMP/BrockschmidtCookFuhs-2013CAV-Fig1_true-termination.c_Iteration2_Loop_4-pieceTemplate.smt2	sat	509	2	64	0	0	1	0	0	0
QF_NRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2	unknown	32002	2	2526	0	0	2	0	0	0
QF_NRA/LassoRanker/SV-COMP/min_rf_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2	unknown	3659	2	337	0	0	1	0	0	0
QF_NRA/LassoRanker/SV-COMP/NoriSharma-2013FSE-Fig7_true-termination.c_Iteration1_Loop_6-phaseTemplate.smt2	sat	502	2	62	0	0	1	0	0	0
QF_NRA/LassoRanker/Ultimate/Canberra.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	unsat	4132	2	566	0	0	1	0	0	0
QF_NRA/LassoRanker/Ultimate/FourPhase.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	sat	284	2	31	0	0	1	0	0	0
QF_NRA/LassoRanker/Ultimate/SantaBarbara01.bpl_Iteration1_Lasso_3-pieceTemplate.smt2	unsat	228	2	40	0	0	1	0	0	0
QF_NRA/LassoRanker/Ultimate/yPositive-SIscaled75.bpl_Iteration1_Loop_2-pieceTemplate.smt2	unknown	2509	2	22	0	0	1	0	0	0
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0014.smt2	sat	4	4	1	0	0	2	0	0	0
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0018.smt2	sat	4	4	1	0	0	2	0	0	0
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0089.smt2	sat	4	4	1	0	0	2	0	0	0
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0159.smt2	sat	4	4	1	0	0	2	0	0	0
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0242.smt2	unsat	3	5	1	0	1	9	0	0	0
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0545.smt2	unsat	3	8	1	0	1	14	0	0	0
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0243.smt2	sat	3	7	1	0	1	4	0	0	0
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0388.smt2	unsat	3	8	1	0	0	5	0	0	0
