file	class	budget_stage	budget_stage_ms	budget_stage_share	wall_ms	egraph_max_round	egraph_max_ground	verdict	detail	ladder_stage_costs	dominant_substages	evidence_line	exit	path
x2015_09_10_16_53_56_537_1094926.smt_in.smt2	route-decline(residual-quantifier)	mbqi	10163	67%	15120	295	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=886ms|mbqi-quick=1495ms|egraph=1358ms|mbqi=10163ms|uf-fmf-full=1089ms|nat-induction=0ms|pre/post-ladder=129ms	mbqi / nested-quant:nested-activity=2894ms|mbqi / egraph-seg:qf-check=2553ms|egraph / nested-quant:nested-activity=924ms	[qtrace] mbqi +13.902s returned	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_53_56_537_1094926.smt_in.smt2
x2015_09_10_16_57_47_544_1522663.smt_in.smt2	route-decline(residual-quantifier)	uf-fmf-full	14832	55%	26931	8	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=5896ms|mbqi-quick=446ms|egraph=4772ms|mbqi=651ms|uf-fmf-full=14832ms|pre/post-ladder=334ms	egraph / nested-quant:nested-activity=2831ms|egraph / egraph-seg:admit-batch=905ms|egraph / match-seg:candidates=648ms	[qtrace] uf-fmf-full +26.597s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_57_47_544_1522663.smt_in.smt2
x2015_09_10_17_00_37_157_1687977.smt_in.smt2	route-decline(residual-quantifier)	mbqi	3672	46%	7915	69	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=465ms|mbqi-quick=1485ms|egraph=1416ms|mbqi=3672ms|uf-fmf-full=603ms|nat-induction=0ms|pre/post-ladder=274ms	egraph / nested-quant:nested-activity=1027ms|egraph / egraph-seg:qf-check=878ms|mbqi / nested-quant:nested-activity=732ms	[qtrace] mbqi +7.038s returned	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_00_37_157_1687977.smt_in.smt2
x2015_09_10_17_04_05_259_1960786.smt_in.smt2	route-decline(residual-quantifier)	mbqi	7241	50%	14620	35	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=458ms|mbqi-quick=1495ms|egraph=4537ms|mbqi=7241ms|uf-fmf-full=713ms|nat-induction=0ms|pre/post-ladder=176ms	mbqi / nested-quant:nested-activity=2541ms|mbqi / egraph-seg:qf-check=2103ms|mbqi-quick / nested-quant:nested-activity=763ms	[qtrace] mbqi +13.731s returned	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_04_05_259_1960786.smt_in.smt2
x2015_09_10_17_09_42_195_2416479.smt_in.smt2	route-decline(residual-quantifier)	mbqi	7466	32%	23130	490	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=3945ms|mbqi-quick=2357ms|egraph=5479ms|mbqi=7466ms|uf-fmf-full=3637ms|nat-induction=0ms|pre/post-ladder=246ms	mbqi / nested-quant:nested-activity=3580ms|mbqi / egraph-seg:qf-check=2383ms|mbqi-quick / egraph-seg:qf-check=2265ms	[qtrace] mbqi +19.247s returned	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_09_42_195_2416479.smt_in.smt2
x2015_09_10_17_10_47_003_2500061.smt_in.smt2	route-decline(residual-quantifier)	mbqi	10735	75%	14320	46	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=563ms|mbqi-quick=1478ms|egraph=614ms|mbqi=10735ms|uf-fmf-full=788ms|nat-induction=0ms|pre/post-ladder=142ms	mbqi / nested-quant:nested-activity=4122ms|mbqi / egraph-seg:qf-check=3404ms|mbqi-quick / nested-quant:nested-activity=1022ms	[qtrace] mbqi +13.390s returned	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_10_47_003_2500061.smt_in.smt2
x2015_09_10_17_20_02_499_2906170.smt_in.smt2	route-decline(residual-quantifier)	uf-fmf-full	12647	45%	27927	211	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=8787ms|mbqi-quick=972ms|egraph=917ms|mbqi=3994ms|uf-fmf-full=12647ms|pre/post-ladder=610ms	mbqi / nested-quant:nested-activity=1826ms|mbqi / egraph-seg:qf-check=1482ms|egraph / nested-quant:nested-activity=841ms	[qtrace] uf-fmf-full +27.317s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_20_02_499_2906170.smt_in.smt2
x2015_09_10_17_25_01_009_1227491.smt_in.smt2	route-decline(residual-quantifier)	egraph	6341	41%	15321	511	7910	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=1446ms|mbqi-quick=1378ms|egraph=6341ms|mbqi=4462ms|uf-fmf-full=1486ms|nat-induction=0ms|pre/post-ladder=208ms	egraph / nested-quant:nested-activity=6031ms|egraph / egraph-seg:admit-batch=5300ms|mbqi / nested-quant:nested-activity=4362ms	[qtrace] egraph +9.165s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_stream/x2015_09_10_17_25_01_009_1227491.smt_in.smt2
x2015_09_10_16_46_58_732_1021788.smt_in.smt2	search-timeout	egraph	21867	87%	25025	4	8192	unknown kind=ResourceLimit	quantified solve time budget exhausted after e-matching	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=1845ms|mbqi-quick=1184ms|egraph=21867ms|pre/post-ladder=129ms	egraph / nested-quant:nested-activity=299ms|egraph / egraph-seg:admit-batch=247ms|mbqi-quick / nested-quant:nested-activity=145ms	[qtrace] egraph +24.896s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_46_58_732_1021788.smt_in.smt2
x2015_09_10_16_53_37_371_1432776.smt_in.smt2	route-decline(residual-quantifier)	uf-fmf-full	8702	47%	18525	46	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=4488ms|mbqi-quick=1171ms|egraph=2771ms|mbqi=1198ms|uf-fmf-full=8702ms|nat-induction=0ms|pre/post-ladder=195ms	egraph / nested-quant:nested-activity=1698ms|egraph / egraph-seg:admit-batch=1241ms|mbqi / nested-quant:nested-activity=1056ms	[qtrace] uf-fmf-full +18.330s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_53_37_371_1432776.smt_in.smt2
