file	rc	verdict	give_up_kind	give_up_detail	cause_class	bound_by	last	bound_ms	total_ms	attempts	board_ax_s	z3	cvc5
mbo_E1	0	unknown	ResourceLimit	nonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	nra abstraction: past the LRA atom capacity (needs nlsat/CAD)	nra	fd:bounded-completeness-unsat	6878	6993	14	6.59	unknown	unsat
mbo_E13E18	0	unknown	Watchdog	watchdog fired before the worker thread returned	watchdog fired before the worker returned			0	0	0	25.04	unknown	unsat
mbo_E20E26	0	unknown	ResourceLimit	nonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	nra abstraction: past the LRA atom capacity (needs nlsat/CAD)	nra	fd:bounded-completeness-unsat	2068	2114	14	2.41	unknown	unsat
mbo_E2E5	0	unknown	Watchdog	watchdog fired before the worker thread returned	watchdog fired before the worker returned			0	0	0	25.03	unknown	unsat
mbo_E5E13	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route	[carried] [Timeout] auto-dispatch timeout after exact real-polynomial route	nra-real-root	fd:bounded-completeness-unsat	23904	24054	13	25.14	unknown	unsat
MulliganEconomicsModel0051a	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	6160	6308	15	4.22	sat	sat
MulliganEconomicsModel0082a	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12285	12290	15	12.42	sat	sat
30-reverse_folding-0-0	0	unknown	Watchdog	watchdog fired before the worker thread returned	watchdog fired before the worker returned			0	0	0	12.60	sat	unknown
1599121863243316000	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	2607	2629	15	2.71	sat	sat
1599121905450496000	0	unknown	Incomplete	online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	nra	fd:bounded-completeness-unsat	12582	12605	15	12.62	sat	unknown
1599122164633784000	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	3365	3377	15	3.62	sat	sat
IsoRightTriangle-Bottema6_1b	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy SMT: wall-clock timeout reached	[carried] [ResourceLimit] lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	23941	24006	15	24.14	sat	sat
Triangle-Bottema1_17	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	cas-ideal-refuter	fd:bounded-completeness-unsat	21218	22948	15	21.63	sat	sat
ProveIneq_ISSAC05_SignPattern_Lemma2	0	unknown	ResourceLimit	nonlinear abstraction: 55 cross-products project to 1107 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	nra abstraction: past the LRA atom capacity (needs nlsat/CAD)	nra	fd:bounded-completeness-unsat	4553	5128	15	4.81	unsat	unknown
DDC_ProveIneq_ISSAC05_Bessack_5_m4	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	8345	8347	14	11.62	unsat	unsat
DDC_ProveIneq_Mitrinovic_8_3	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12186	12199	15	2.41	unsat	unsat
byron-2.t2.c_Iteration2_Loop_4-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 5384 cross-products project to 97942 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24181	24349	15	24.84	sat	unknown
eric2.t2.c_Iteration9_Loop_3-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 883 cross-products project to 16756 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24031	24070	15	24.13	unsat	unsat
heidy7.t2.c_Iteration2_Lasso_2-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 524 cross-products project to 10019 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24016	24033	15	24.24	unsat	unsat
polyrank4.t2.c_Iteration9_Loop_2-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 184 cross-products project to 3749 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24011	24029	15	24.14	unsat	unsat
spiral.t2.c_Iteration22_Loop_4-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 1476 cross-products project to 28183 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24167	24216	15	24.24	sat	sat
BrockschmidtCookFuhs-2013CAV-Fig1_true-termination.c_Iteration2_Loop_4-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 336 cross-products project to 7227 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24019	24038	15	24.14	sat	sat
KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate	0	unknown	Watchdog	watchdog fired before the worker thread returned	watchdog fired before the worker returned			0	0	0	25.13	unsat	unknown
NoriSharma-2013FSE-Fig7_true-termination.c_Iteration1_Loop_6-phaseTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 420 cross-products project to 8412 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24016	24038	15	24.24	sat	sat
Canberra.bpl_Iteration1_Lasso_6-phaseTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 1752 cross-products project to 41444 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24164	24284	15	24.43	unsat	unsat
FourPhase.bpl_Iteration1_Lasso_7-phaseTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 295 cross-products project to 5799 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24018	24028	15	24.13	sat	sat
SantaBarbara01.bpl_Iteration1_Lasso_3-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 179 cross-products project to 3930 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24010	24020	15	24.14	unsat	unsat
yPositive-SIscaled75.bpl_Iteration1_Loop_2-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 1564 cross-products project to 31225 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24019	24099	15	24.24	unsat	unknown
InVarSynth_pcatest1.bpl_Iteration1_1	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 480 cross-products project to 9066 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24072	24096	15	24.14	sat	sat
