core	off_verdict	off_route	off_reason	off_checks	off_qf_secs	off_ground	on_verdict	on_route	on_reason	on_checks	on_qf_secs	on_ground
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	14	20.841	3633	unknown	fd:bounded-completeness-unsat	budget	14	20.938	3633
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	unsat	q:mbqi-quick	decided	1	0.020	2	unsat	q:mbqi-quick	decided	1	0.020	2
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	8	23.704	1330	unknown	fd:bounded-completeness-unsat	budget	8	23.703	1330
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	6	7.497	2309	unknown	fd:bounded-completeness-unsat	budget	6	7.588	2309
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	8	6.628	299	unknown	fd:bounded-completeness-unsat	budget	8	6.724	299
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	incomplete	31	9.569	1212	unknown	fd:bounded-completeness-unsat	incomplete	31	9.628	1212
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	15	20.053	3442	unknown	fd:bounded-completeness-unsat	budget	15	19.623	3442
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	6	20.141	2783	unknown	fd:bounded-completeness-unsat	budget	6	19.987	2783
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	17	20.485	3254	unknown	fd:bounded-completeness-unsat	budget	17	20.595	3254
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	15	20.551	3802	unknown	fd:bounded-completeness-unsat	budget	15	20.796	3802
UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	unknown	q:mbqi-quick	incomplete	11	4.098	1921	unknown	q:mbqi-quick	incomplete	11	4.054	1921
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	unsat	q:mbqi-quick	decided	0	0.000	0	unsat	q:mbqi-quick	decided	0	0.000	0
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	unsat	q:egraph	decided	19	1.941	2838	unsat	q:egraph	decided	19	1.939	2838
UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	9	0.495	2905	unknown	fd:bounded-completeness-unsat	budget	9	0.502	2905
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	unsat	q:mbqi-quick	decided	3	0.116	92	unsat	q:mbqi-quick	decided	1	0.047	70
UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	17	12.710	2128	unknown	fd:bounded-completeness-unsat	budget	19	12.491	2128
UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	unsat	q:mbqi-quick	decided	2	0.084	501	unsat	q:mbqi-quick	decided	1	0.048	499
UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	unknown	q:egraph	incomplete	6	5.712	7895	unknown	q:egraph	incomplete	6	5.846	7895
UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	3	12.310	508	unknown	fd:bounded-completeness-unsat	budget	3	10.688	508
UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	unsat	q:bool-skeleton	decided	0	0.000	0	unsat	q:bool-skeleton	decided	0	0.000	0
UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	incomplete	26	12.541	1443	unknown	fd:bounded-completeness-unsat	incomplete	26	12.532	1443
UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	unsat	q:mbqi-quick	decided	2	0.116	513	unsat	q:mbqi-quick	decided	1	0.053	508
UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	29	13.800	1443	unknown	fd:bounded-completeness-unsat	budget	15	1.230	1443
UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	14	12.653	4092	unknown	fd:bounded-completeness-unsat	budget	14	12.607	4092
UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	7	20.502	299	unknown	fd:bounded-completeness-unsat	budget	7	20.465	299
UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	3	16.574	291	unknown	fd:bounded-completeness-unsat	budget	3	17.378	291
UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	16	10.773	1061	unknown	fd:bounded-completeness-unsat	incomplete	16	9.171	3290
UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	8	20.713	1625	unknown	fd:bounded-completeness-unsat	budget	8	20.511	1625
UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	0	0.000	0	unknown	fd:bounded-completeness-unsat	budget	0	0.000	0
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	12	9.544	3677	unknown	fd:bounded-completeness-unsat	budget	12	8.002	3677
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	22	17.467	1481	unknown	fd:bounded-completeness-unsat	budget	22	17.274	1481
UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	8	7.077	646	unknown	fd:bounded-completeness-unsat	budget	7	4.740	646
UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	21	11.846	4016	unknown	fd:bounded-completeness-unsat	incomplete	11	0.764	693
UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	11	6.095	2588	unknown	fd:bounded-completeness-unsat	budget	11	5.886	2588
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	unknown	q:mbqi-quick	incomplete	11	9.367	333	unknown	q:mbqi-quick	incomplete	13	10.354	333
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	unknown	q:mbqi-quick	budget	15	2.400	522	unknown	q:mbqi-quick	budget	12	0.956	522
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	4	12.656	516	unknown	q:egraph	incomplete	3	3.969	511
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	unsat	q:mbqi-quick	decided	2	0.407	874	unsat	q:mbqi-quick	decided	1	0.238	871
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	27	12.651	1443	unsat	q:mbqi-quick	decided	1	0.743	24
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	15	10.441	1443	unknown	fd:bounded-completeness-unsat	budget	15	16.610	1443
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	unsat	q:mbqi	decided	10	4.603	187	unsat	q:mbqi	decided	10	4.516	187
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	unknown	q:mbqi-quick	budget	4	21.618	1079	unknown	q:mbqi-quick	incomplete	3	18.896	147
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	incomplete	0	0.000	0	unknown	fd:bounded-completeness-unsat	incomplete	0	0.000	0
