core	z3_verdict	raw_count	unique_bodies	unmatched
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	unsat	11	4	1
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	unsat	2	2	0
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	unsat	31	8	1
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	unsat	292	120	1
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	unsat	3	3	0
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	unsat	2	1	1
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	unsat	96	28	1
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	unsat	14	4	1
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	unsat	38	14	1
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	unsat	13	6	1
UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	unsat	143	89	2
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	unsat	5	5	0
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	unsat	34	32	2
UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	unsat	17	14	3
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	unsat	28	5	2
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	unsat	18	8	0
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	unsat	2	1	1
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	unsat	1	0	1
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	unsat	3	1	0
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	unsat	6	2	0
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	unsat	3	1	2
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	unsat	4	3	1
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	unsat	2	2	0
UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	unsat	54	21	4
UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	unsat	1	1	0
UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	unsat	24	24	0
UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	unsat	1	0	1
UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	unsat	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	unsat	29	10	0
UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	unsat	3	3	0
UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	unsat	17	6	0
UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	unsat	7	7	0
UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	unsat	23	23	0
UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	unsat	1	1	0
UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	unsat	7	7	0
UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	unsat	8	8	0
UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	unsat	8	8	0
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	unsat	3	3	0
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	unsat	13	5	0
UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	unsat	10	8	2
UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	unsat	6	6	0
UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	unsat	17	17	0
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	unsat	2	2	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	unsat	5	5	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	unsat	6	4	1
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	unsat	2	2	0
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	unsat	4	4	0
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	unsat	20	4	3
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	unsat	2	2	0
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	unsat	2	2	0
UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	unsat	3	0	0
UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	unsat	1	0	0
UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	unsat	17	13	0
