core	build_rc	quant_stripped	ground_kept	instances_added	not_ground_dropped	unmatched	z3_ground_verdict
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	0	4	1	4	6	1	sat
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	0	2	1	2	0	0	unsat
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	0	8	2	8	22	1	sat
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	0	15	9	120	171	1	sat
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	0	2	0	3	0	0	sat
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	0	3	1	1	0	1	sat
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	0	9	4	28	67	1	sat
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	0	5	3	4	9	1	sat
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	0	8	1	14	23	1	sat
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	0	5	5	6	6	1	sat
UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	0	8	1	89	46	2	sat
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	0	5	11	5	0	0	unsat
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	0	20	26	32	0	2	sat
UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	0	8	10	14	0	3	sat
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	0	5	0	5	21	2	sat
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	0	4	0	8	10	0	sat
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	0	2	0	1	0	1	sat
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	BUILD-FAIL-4	0	0	0	0	0	NA
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	0	3	0	1	2	0	sat
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	0	3	0	2	4	0	sat
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	0	3	0	1	0	2	sat
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	0	5	2	3	0	1	sat
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	0	2	2	2	0	0	sat
UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	0	6	0	21	29	4	sat
UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	0	1	0	1	0	0	sat
UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	0	5	133	24	0	0	sat
UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	BUILD-FAIL-4	0	0	0	0	0	NA
UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	BUILD-FAIL-4	0	0	0	0	0	NA
UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	0	3	0	10	19	0	sat
UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	0	2	0	3	0	0	sat
UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	0	3	0	6	11	0	sat
UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	0	4	3	7	0	0	sat
UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	0	6	10	23	0	0	sat
UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	0	2	4	1	0	0	sat
UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	0	3	4	7	0	0	sat
UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	0	6	6	8	0	0	sat
UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	0	4	7	8	0	0	sat
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	0	3	4	3	0	0	sat
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	0	4	0	5	8	0	sat
UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	0	3	1	8	0	2	sat
UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	0	4	2	6	0	0	sat
UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	0	5	3	17	0	0	sat
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	0	2	3	2	0	0	unsat
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	0	4	1	5	0	0	unsat
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	0	5	1	4	1	1	sat
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	0	2	2	2	0	0	unsat
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	0	4	4	4	0	0	unsat
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	0	7	1	4	13	3	sat
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	0	2	4	2	0	0	unsat
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	0	3	2	2	0	0	sat
UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	BUILD-FAIL-4	0	0	0	0	0	NA
UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	BUILD-FAIL-4	0	0	0	0	0	NA
UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	0	5	6	13	4	0	sat
