file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_228_50_precondition4___00.smt2	unsat	407	0	unsat	408	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__simple_arrays__simple_arrays.adb_101_22_postcondition___00.smt2	unknown	23934	0	unknown	23931	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_55ff7e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	109	0	unsat	109	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/NA06-051__loop__indexbis.ads_5_72_index_check___00.smt2	unsat	109	0	unsat	109	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/LB28-004__loop_variant__p.adb_85_7_loop_variant___00.smt2	unsat	2411	0	unsat	1511	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_146_8_use_formal_vectors.ads_10_4_null_pointer_dereference___00.smt2	unknown	108	0	unknown	109	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__loop_frame_condition__do_loops.adb_112_22_assert___00.smt2	unknown	4013	0	unknown	3813	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2	unknown	24135	0	unknown	25036	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_86_45_index_check___00.smt2	unsat	108	0	unsat	109	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/R427-050__counterex__competition.adb_10_38_length_check___00.smt2	unsat	108	0	unsat	107	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	unknown	25036	0	unknown	25032	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.ads_21_14_postcondition___00.smt2	unknown	16125	0	unknown	16226	0	B	unknown
AUFDTLIRA/20200306-Kanig/spark2014bench/RC12-029__pointer_subtype__constr_ty.adb_8_26_range_check___00.smt2	unsat	108	0	unsat	107	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/OA20-032__refinement__patris.adb_121_63_index_check___00.smt2	unknown	24031	0	unknown	24133	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_187_22_precondition3___00.smt2	unsat	108	0	unsat	108	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__arrays__arrays.adb_161_16_index_check___00.smt2	unknown	23922	0	unknown	18926	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_cac5cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	19128	0	unsat	11921	0	A	unsat
