file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__031.smt2.slack.smt2	unsat	106	0	unsat	106	0	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-03.smt2	sat	106	0	sat	105	0	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-02.smt2	unsat	106	0	unsat	106	0	A	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-60-49.smt2	unknown	25131	0	unknown	25133	0	B	unsat
QF_LIA/rings/ring_2exp6_6vars_4ite_unsat.smt2	unknown	24131	0	unknown	24129	0	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-07.smt2	sat	106	0	sat	106	0	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-11.smt2	sat	107	0	sat	107	0	A	sat
QF_LIA/cut_lemmas/15-vars/cut_lemma_01_009.smt2	unsat	107	0	unsat	107	0	B	unsat
QF_LIA/nec-smt/med/int_from_list/prp-36-31.smt2	unknown	16222	0	unknown	16223	0	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-08.smt2	unsat	107	0	unsat	107	0	B	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-09.smt2	sat	106	0	sat	107	0	A	sat
QF_LIA/bofill-scheduling/SMT_real_LIA/ex8280_2400_100.smt2	sat	17522	0	sat	17022	0	B	sat
QF_LIA/nec-smt/large/bftpd_login/prp-0-48.smt2	unknown	25131	0	unknown	25033	0	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-10.smt2	sat	108	0	sat	108	0	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-05.smt2	sat	109	0	sat	108	0	A	sat
QF_LIA/bofill-scheduling/SMT_random_LIA/ex20400_2600_100.smt2	unknown	24130	0	unknown	24131	0	B	sat
QF_LIA/nec-smt/large/bftpd_login/prp-27-47.smt2	unknown	25132	0	unknown	25132	0	A	unsat
