file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	24133	0	unknown	24135	0	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	unknown	24233	0	unknown	24233	0	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__afagp-fail.t2__p15482_terminationG_0.smt2	unknown	12622	0	unknown	12619	0	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30175_safety_0.smt2	unknown	10921	0	unknown	10916	0	B	unknown
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0.smt2	sat	2510	0	sat	2611	0	A	sat
QF_NIA/AProVE/aproveSMT1669457300444119286.smt2	sat	9416	0	sat	9314	0	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__small17.t2__p23845_edge_closing_0.smt2	unknown	24134	0	unknown	24134	0	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.t2_fixed__terminationS_36_0.smt2	unknown	24829	0	unknown	24426	0	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateContainsAll.jar-obl-11__terminationS_0_0.smt2	unknown	24526	0	unknown	24526	0	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32598_safety_0.smt2	unknown	11120	0	unknown	11117	0	B	sat
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__NonTermination2_false-termination.c__p24932_edge_closing_0.smt2	unknown	24235	0	unknown	24227	0	A	sat
QF_NIA/20220315-MathProblems/STC_0967.smt2	unknown	24133	0	unknown	24135	0	B	unsat
QF_NIA/20170427-VeryMax/SAT14/1166.smt2	unknown	17421	0	unknown	17422	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2_fixed__p4922_terminationG_0.smt2	unsat	6813	0	unsat	6713	0	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p14253_safety_0.smt2	sat	11416	0	sat	11317	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-n1.t2_fixed__p22997_safety_0.smt2	unsat	8313	0	unsat	8314	0	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__nakata.t2__p5351_edge_closing_0.smt2	unknown	13518	0	unknown	13518	0	A	sat
