file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_53_37_371_1432776.smt_in.smt2	unknown	25127	0	unknown	25127	0	A	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_16_59_33_621_1039748.smt_in.smt2	unknown	25529	0	unknown	25426	0	B	unknown
UF/sledgehammer/Hoare/uf.1061790.smt2	unknown	22029	0	unknown	20830	0	A	unknown
UF/grasshopper/instantiated/pull_strands_check_heap_access_77_2.smt2	unsat	909	0	unsat	1009	0	B	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_10_47_003_2500061.smt_in.smt2	unknown	6213	0	unknown	6514	0	A	unsat
UF/sledgehammer/QEpres/uf.757404.smt2	sat	808	0	sat	808	0	B	sat
UF/sledgehammer/FFT/uf.832362.smt2	sat	208	0	sat	207	0	A	sat
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_09_717_1045403.smt_in.smt2	unsat	3109	0	unsat	3110	0	B	unsat
UF/sledgehammer/TypeSafe/smtlib.1468059.smt2	unknown	25228	0	unknown	25227	0	A	unknown
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.870785.smt2	unsat	6513	0	unsat	6513	0	B	unsat
UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_45_438_1077294.smt_in.smt2	unknown	25327	0	unknown	25327	0	A	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_05_03_974_2039882.smt_in.smt2	unsat	1709	0	unsat	1709	0	B	unsat
UF/sledgehammer/QEpres/uf.1050663.smt2	unsat	13218	0	unsat	13318	0	A	unsat
UF/sledgehammer/FFT/uf.652299.smt2	sat	508	0	sat	508	0	B	sat
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_51_51_841_1328720.smt_in.smt2	unknown	21224	0	unknown	21330	0	A	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_57_47_544_1522663.smt_in.smt2	unknown	25234	0	unknown	25235	0	B	unsat
UF/sledgehammer/Hoare/uf.966336.smt2	unknown	24136	0	unknown	24134	0	A	unsat
