file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
UFLIA/simplify2/front_end_suite/javafe.ast.TypeObjectDesignator.010.smt2	unsat	808	0	unsat	909	0	A	unsat
UFLIA/sledgehammer/QEpres/smtlib.927783.smt2	unknown	17122	0	unknown	17021	0	B	unsat
UFLIA/boogie/Interval_Cell.Shift_System.Int32.smt2	unknown	24128	0	unknown	24127	0	A	unsat
UFLIA/simplify2/front_end_suite/javafe.tc.EnvForLocals.007.smt2	unknown	24127	0	unknown	24126	0	B	unsat
UFLIA/sledgehammer/TwoSquares/smtlib.851746.smt2	unsat	108	0	unsat	108	0	A	unsat
UFLIA/grasshopper/instantiated/insertion_sort_postcondition_of_insertion_sort_63_1.smt2	unknown	25228	0	unknown	25228	0	B	unsat
UFLIA/sledgehammer/Arrow_Order/smtlib.832901.smt2	unknown	18423	0	unknown	18422	0	A	unsat
UFLIA/tokeneer/cert_/attr_/priv/extract-1.smt2	unsat	107	0	unsat	108	0	B	unsat
UFLIA/simplify/javafe.ast.StandardPrettyPrint.322.smt2	unknown	24929	0	unknown	24832	0	A	unsat
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1419033.smt2	unknown	2410	0	unknown	2309	0	B	unsat
UFLIA/tokeneer/keystore/digest-127.smt2	unsat	108	0	unsat	107	0	A	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.BinaryExpr.010.smt2	unsat	808	0	unsat	908	0	B	unsat
UFLIA/sledgehammer/Hoare/smtlib.1175889.smt2	unknown	25131	0	unknown	24227	0	A	unsat
UFLIA/tokeneer/userentry/progress-12.smt2	unknown	24130	0	unknown	24128	0	B	unknown
UFLIA/simplify2/front_end_suite/javafe.ast.ParenExpr.006.smt2	unknown	25031	0	unknown	25030	0	A	unsat
UFLIA/sledgehammer/QEpres/smtlib.1237382.smt2	unknown	20728	0	unknown	20726	0	B	unsat
UFLIA/boogie/BasicMethodology_SubClass..ctor.smt2	unknown	24130	0	unknown	24130	0	A	unsat
UFLIA/simplify2/front_end_suite/javafe.filespace.Resolve.010.smt2	unsat	807	0	unsat	807	0	B	unsat
UFLIA/sledgehammer/StrongNorm/smtlib.889061.smt2	unsat	307	0	unsat	307	0	A	unsat
UFLIA/boogie/Spouse_Person..ctor.smt2	unknown	24230	0	unknown	24230	0	B	unsat
UFLIA/simplify2/front_end_suite/javafe.test.SuperlinksTest.004.smt2	unknown	24228	0	unknown	24128	0	A	unsat
UFLIA/sledgehammer/TypeSafe/smtlib.952809.smt2	unknown	13419	0	unknown	13719	0	B	unknown
UFLIA/misc/list4.smt2	unknown	17922	0	unknown	17822	0	A	sat
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1057395.smt2	unknown	19126	0	unknown	19125	0	B	unsat
UFLIA/tokeneer/configdata/writefile-8.smt2	unsat	107	0	unsat	106	0	A	unsat
UFLIA/simplify/javafe.reader.StandardTypeReader.628.smt2	unsat	508	0	unsat	508	0	B	unsat
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.775573.smt2	unknown	25130	0	unknown	24329	0	A	unknown
UFLIA/tokeneer/keystore/init-8.smt2	unsat	107	0	unsat	107	0	B	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.TypeDeclElemVec.006.smt2	unsat	107	0	unsat	108	0	A	unsat
UFLIA/sledgehammer/QEpres/smtlib.830613.smt2	unknown	8614	0	unknown	8614	0	B	unknown
UFLIA/boogie/WhereMotivation_Types.MLoop0.smt2	unknown	24129	0	unknown	24129	0	A	unknown
UFLIA/simplify2/small_suite/getRootInterface.smt2	unknown	24831	0	unknown	24930	0	B	unsat
UFLIA/tokeneer/auditlog/clearlogentries-11.smt2	unsat	3310	0	unsat	3310	0	A	unsat
