division	file	n_assert	n_quant_assert	sk_top	sk_conj	sk_deep	sk_under_let	sk_needs_function	macro_def	macro_def_distinct	macro_unit	macro_quasi	macro_reject_occurs	macro_reject_coverage	undecided
UFLIA	UFLIA/20230314-Jaroslav-Bendik-Certora/52759_b3ecd2335fd16ec2eee2_9_UFLIA.smt2	1582	1	0	0	0	0	0	0	0	0	0	0	0	1
UFLIA	UFLIA/boogie/AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2	328	162	0	0	0	0	0	4	4	0	0	0	48	1
UFLIA	UFLIA/boogie/Arrays_Q3-noinfer.smt2	23	19	0	0	0	0	0	0	0	0	0	0	2	1
UFLIA	UFLIA/boogie/AssignToRepField_AssignToRepField.N.smt2	218	123	0	0	0	0	0	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/Bag2_Bag.Add_System.Int32.smt2	218	125	0	0	0	0	0	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/BasicMethodology_SubClass..ctor.smt2	302	131	0	0	0	0	0	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/Cast_Cast.R_System.Object_System.Int32.smt2	198	125	0	0	0	0	0	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2	235	130	0	0	2	0	2	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2	209	123	0	0	0	0	0	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/Ensures_Q-noinfer_8.smt2	23	20	0	0	0	0	0	0	0	0	0	0	2	1
UFLIA	UFLIA/boogie/ExposeVersion_D..ctor-level_2.smt2	342	144	0	0	6	0	6	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/FormulaTerm_plus-noinfer_2.smt2	23	19	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/boogie/Interval_Cell.Shift_System.Int32.smt2	237	126	0	0	0	0	0	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/LocalExpose_T.V1.smt2	326	132	0	0	0	0	0	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2	232	125	0	0	0	0	0	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/MultipleErrors_P-showErrorTrace-vc_local_1.smt2	23	19	0	0	0	0	0	0	0	0	0	0	2	1
UFLIA	UFLIA/boogie/Passification_good1-noinfer.smt2	23	19	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/boogie/PureAxioms_B.Dummy2-level_2.smt2	252	137	0	0	6	0	6	4	4	0	0	0	22	1
