class	reason	detail	body	params
MATCHED-REJECTED	rej_flood	core-dominant-rej=rej_flood n=10950	(or (not (Btwn$0 next$0 last_init$0 a_init$0 a_init$0)) (not (Btwn$0 next$0 last_init$0 a_init$0 a_init$0)) (not (or (not (Btwn$0 next$0 last_init$0 a_init$0 a_init$0)) (not (Btwn$0 next$0 a_init$0 a_init$0 a_init$0)))))	["next$0", "a_init$0", "last_init$0", "a_init$0", "a_init$0"]
MATCHED-REJECTED	rej_flood	core-dominant-rej=rej_flood n=10950	(Btwn$0 next$0 last_init$0 (read$1 next$0 last_init$0) (read$1 next$0 last_init$0))	["next$0", "last_init$0"]
MATCHED-REJECTED	rej_flood	core-dominant-rej=rej_flood n=10950	(or (not (or (not (in$0 a_init$0 (union$0 sk_?X_122$0 (union$0 sk_?X_117$0 sk_?X_116$0)))) (not (or (in$0 a_init$0 sk_?X_122$0) (in$0 a_init$0 (union$0 sk_?X_117$0 sk_?X_116$0)))))) (not (or (in$0 a_init$0 (union$0 sk_?X_122$0 (union$0 sk_?X_117$0 sk_?X_116$0))) (in$0 a_init$0 sk_?X_122$0) (in$0 a_init$0 (union$0 sk_?X_117$0 sk_?X_116$0)))))	["sk_?X_122$0", "(union$0 sk_?X_117$0 sk_?X_116$0)", "a_init$0"]
MATCHED-REJECTED	rej_flood	core-dominant-rej=rej_flood n=10950	(or (not (Btwn$0 next$0 last_4$0 a_init$0 a_init$0)) (not (Btwn$0 next$0 last_4$0 a_init$0 a_init$0)) (not (or (not (Btwn$0 next$0 last_4$0 a_init$0 a_init$0)) (not (Btwn$0 next$0 a_init$0 a_init$0 a_init$0)))))	["next$0", "a_init$0", "last_4$0", "a_init$0", "a_init$0"]
MATCHED-REJECTED	rej_flood	core-dominant-rej=rej_flood n=10950	(or (not (Btwn$0 next$0 last_4$0 a_init$0 last_4$0)) (= last_4$0 a_init$0))	["next$0", "last_4$0", "a_init$0"]
MATCHED-REJECTED	rej_flood	core-dominant-rej=rej_flood n=10950	(or (not (Btwn$0 (write$0 next$0 last_4$0 a_3$0) last_4$0 a_init$0 a_init$0)) (not (Btwn$0 (write$0 next$0 last_4$0 a_3$0) last_4$0 a_init$0 a_init$0)) (not (or (not (Btwn$0 (write$0 next$0 last_4$0 a_3$0) last_4$0 a_init$0 a_init$0)) (not (Btwn$0 (write$0 next$0 last_4$0 a_3$0) a_init$0 a_init$0 a_init$0)))))	["(write$0 next$0 last_4$0 a_3$0)", "a_init$0", "last_4$0", "a_init$0", "a_init$0"]
MATCHED-REJECTED	rej_flood	core-dominant-rej=rej_flood n=10950	(Btwn$0 (write$0 next$0 last_4$0 a_3$0) last_4$0 (read$1 (write$0 next$0 last_4$0 a_3$0) last_4$0) (read$1 (write$0 next$0 last_4$0 a_3$0) last_4$0))	["(write$0 next$0 last_4$0 a_3$0)", "last_4$0"]
MATCHED-REJECTED	rej_flood	core-dominant-rej=rej_flood n=10950	(= (read$1 (write$0 next$0 last_4$0 a_init$0) last_4$0) a_init$0)	["a_init$0", "last_4$0"]
MATCHED-REJECTED	rej_flood	core-dominant-rej=rej_flood n=10950	(or (Btwn$0 next$0 a_init$0 null$0 a_init$0) (not (Btwn$0 next$0 a_init$0 null$0 null$0)) (Btwn$0 next$0 a_init$0 a_init$0 null$0) (not (Btwn$0 next$0 a_init$0 a_init$0 a_init$0)))	["next$0", "a_init$0", "a_init$0", "null$0"]
MATCHED-REJECTED	rej_flood	core-dominant-rej=rej_flood n=10950	(or (not (Btwn$0 (write$0 next$0 last_4$0 a_3$0) a_init$0 null$0 a_init$0)) (= a_init$0 null$0))	["(write$0 next$0 last_4$0 a_3$0)", "a_init$0", "null$0"]
