class	reason	detail	body	params
NESTED	unresolved-outer-bound-var		(or (= (a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.head) ?n_!1) (= (a.select (a.store (a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.list) (a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.head) 17) ?n_!1) (a.select (a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.list) ?n_!1)))	["(a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.list)", "(a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.head)", "17", "?n_!1"]
NESTED	unresolved-outer-bound-var		(or (= (a.select (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.head) ?n_!1) (= (a.select (a.store (a.select (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.list) (a.select (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.head) 17) ?n_!1) (a.select (a.select (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.list) ?n_!1)))	["(a.select (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.list)", "(a.select (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.head)", "17", "?n_!1"]
MATCHED-REJECTED	rej_true	core-dominant-rej=rej_true n=131531	(= (a.select (a.store (a.select (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.list) 1 17) 1) 17)	["(a.select (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.list)", "1", "17"]
ADMITTED			(= (a.select (a.store (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.list (a.store (a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.list) (a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.head) loop__1__i)) field.logfilelistt.list) (a.store (a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.list) (a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.head) loop__1__i))	["(a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1)", "field.logfilelistt.list", "(a.store (a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.list) (a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.head) loop__1__i)"]
MATCHED-REJECTED	rej_true	core-dominant-rej=rej_true n=131531	(or (= field.logfilelistt.lasti field.logfilelistt.head) (= (a.select (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti 1) field.logfilelistt.head) (a.select (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.head)))	["(a.store usedlogfiles field.logfilelistt.head logfileindext__first)", "field.logfilelistt.lasti", "1", "field.logfilelistt.head"]
MATCHED-REJECTED	rej_true	core-dominant-rej=rej_true n=131531	(= (a.select (a.store usedlogfiles field.logfilelistt.head 1) field.logfilelistt.head) 1)	["usedlogfiles", "field.logfilelistt.head", "1"]
NESTED	unresolved-outer-bound-var		(or (not (<= (+ logfileindext__first (* (- 1) ?n_!1)) 0)) (not (>= (+ logfileindext__last (* (- 1) ?n_!1)) 0)) (not (or (not (<= (+ logfileindext__first (* (- 1) (a.select (a.select usedlogfiles field.logfilelistt.list) ?n_!1))) 0)) (not (>= (+ logfileindext__last (* (- 1) (a.select (a.select usedlogfiles field.logfilelistt.list) ?n_!1))) 0)))))	["?n_!1"]
MATCHED-REJECTED	rej_true	core-dominant-rej=rej_true n=131531	(or (= field.logfilelistt.length field.logfilelistt.head) (= (a.select (a.store (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.length 1) field.logfilelistt.head) (a.select (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first) field.logfilelistt.head)))	["(a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti logfileindext__first)", "field.logfilelistt.length", "1", "field.logfilelistt.head"]
MATCHED-REJECTED	rej_true	core-dominant-rej=rej_true n=131531	(or (= field.logfilelistt.head field.logfilelistt.list) (= (a.select (a.store usedlogfiles field.logfilelistt.head 1) field.logfilelistt.list) (a.select usedlogfiles field.logfilelistt.list)))	["usedlogfiles", "field.logfilelistt.head", "1", "field.logfilelistt.list"]
MATCHED-REJECTED	rej_true	core-dominant-rej=rej_true n=131531	(or (= field.logfilelistt.lasti field.logfilelistt.list) (= (a.select (a.store (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.lasti 1) field.logfilelistt.list) (a.select (a.store usedlogfiles field.logfilelistt.head logfileindext__first) field.logfilelistt.list)))	["(a.store usedlogfiles field.logfilelistt.head logfileindext__first)", "field.logfilelistt.lasti", "1", "field.logfilelistt.list"]
