file	a_verdict	a_ms	a_kind	b_verdict	b_ms	b_kind	first	a_giveup	b_giveup
AUFLIA/20170829-Rodin/smt1002232729905089644.smt2	unsat	308	NOGIVEUP	unsat	308	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt1032124330408667615.smt2	unsat	109	NOGIVEUP	unsat	108	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt1067115465308413335.smt2	unsat	108	NOGIVEUP	unsat	109	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt1136788158000591388.smt2	sat	109	NOGIVEUP	sat	109	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt1187674192038390930.smt2	unsat	409	NOGIVEUP	unsat	409	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt1311284198475742442.smt2	unsat	4311	NOGIVEUP	unsat	4313	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt1401701765209513818.smt2	unsat	109	NOGIVEUP	unsat	108	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt1573867544468288275.smt2	unsat	108	NOGIVEUP	unsat	109	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt1631959920870685887.smt2	sat	109	NOGIVEUP	sat	108	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt1729704176254333878.smt2	unsat	109	NOGIVEUP	unsat	107	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt1771627171023737362.smt2	unsat	107	NOGIVEUP	unsat	109	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt180530979292279200.smt2	unsat	108	NOGIVEUP	unsat	109	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt1884909837291707695.smt2	unsat	107	NOGIVEUP	unsat	107	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt1922106165112082235.smt2	unsat	410	NOGIVEUP	unsat	408	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt1938054442494340361.smt2	unsat	108	NOGIVEUP	unsat	109	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt2019974996567731041.smt2	sat	109	NOGIVEUP	sat	108	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt2126568150381056724.smt2	unsat	508	NOGIVEUP	unsat	508	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt2272272411617405599.smt2	unsat	207	NOGIVEUP	unsat	208	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt2351622219240222331.smt2	unsat	608	NOGIVEUP	unsat	608	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt2407330481489998683.smt2	unsat	107	NOGIVEUP	unsat	107	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt245595034130967698.smt2	unsat	607	NOGIVEUP	unsat	608	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt2560143996814982054.smt2	unsat	609	NOGIVEUP	unsat	608	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt2661829886826658259.smt2	unsat	109	NOGIVEUP	unsat	108	NOGIVEUP	A	none	none
