core	off_verdict	off_route	off_reason	off_checks	off_qf_secs	off_ground	off_built	off_hosted	off_abstracted	on_verdict	on_route	on_reason	on_checks	on_qf_secs	on_ground	on_built	on_hosted	on_abstracted
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	14	21.012	3633	1	0	0	unknown	fd:bounded-completeness-unsat	budget	14	20.901	3633	1	1	0
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	unsat	q:mbqi-quick	decided	1	0.020	2	1	0	0	unsat	q:mbqi-quick	decided	1	0.020	2	1	1	0
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	8	23.658	1330	1	0	0	unknown	fd:bounded-completeness-unsat	budget	8	23.717	1330	1	1	0
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	9	9.149	2404	1	0	0	unknown	fd:bounded-completeness-unsat	budget	9	9.393	2404	1	1	0
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	8	6.663	299	1	0	0	unsat	q:mbqi-quick	decided	5	1.413	299	1	1	0
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	incomplete	31	9.343	1212	1	0	0	unknown	fd:bounded-completeness-unsat	incomplete	31	9.579	1212	1	1	0
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	15	19.784	3442	1	0	0	unknown	fd:bounded-completeness-unsat	budget	15	19.610	3442	1	1	0
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	8	20.439	2828	1	0	0	unknown	fd:bounded-completeness-unsat	budget	8	21.079	2828	1	1	0
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	incomplete	17	20.440	3254	1	0	0	unknown	fd:bounded-completeness-unsat	budget	17	20.682	3254	1	1	0
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	15	20.457	3802	1	0	0	unknown	fd:bounded-completeness-unsat	budget	15	20.634	3802	1	1	0
UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	unknown	q:mbqi-quick	incomplete	11	4.081	1921	1	0	0	unknown	q:mbqi-quick	incomplete	11	4.013	1921	1	1	0
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	unsat	q:mbqi-quick	decided	0	0.000	0	-	-	-	unsat	q:mbqi-quick	decided	0	0.000	0	-	-	-
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	unsat	q:egraph	decided	19	1.936	2838	0	0	0	unsat	q:egraph	decided	19	1.876	2838	1	1	0
UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	9	0.448	2905	1	0	0	unknown	fd:bounded-completeness-unsat	budget	9	0.482	2905	1	1	0
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	unsat	q:mbqi-quick	decided	3	0.114	92	0	0	0	unsat	q:mbqi-quick	decided	1	0.047	70	1	1	0
UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	18	13.169	2128	0	0	0	unknown	fd:bounded-completeness-unsat	budget	20	12.720	2128	1	1	0
UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	unsat	q:mbqi-quick	decided	2	0.081	501	0	0	0	unsat	q:mbqi-quick	decided	1	0.046	499	1	1	0
UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	unknown	q:egraph	incomplete	6	5.631	7895	1	0	0	unknown	q:egraph	incomplete	6	5.743	7895	1	1	0
UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	3	11.552	508	1	0	0	unknown	fd:bounded-completeness-unsat	budget	3	11.929	508	1	1	0
UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	unsat	q:bool-skeleton	decided	0	0.000	0	-	-	-	unsat	q:bool-skeleton	decided	0	0.000	0	-	-	-
