file	status	order	c_verdict	c_rc	c_ms	c_bound_by	c_last	c_bound_ms	c_total_ms	c_attempts	c_open_ms	c_open_after	r1_verdict	r1_ms	r1_n	r1_unsat	r2_verdict	r2_ms	r2_n	r2_unsat	c_exits	c_rung	c_giveup	r1_lines	r2_lines
UFNIA/2019-Preiner/combined/f2_rw343.smt2	unknown	c-r1-r2	unknown	0	24635	q:egraph	fd:bounded-completeness-unsat	22976	24555	17	na	na	unknown	24835	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=2 ground=130;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=2373	QPROBE skolemized-egraph(residual) budget=Some(1.499621133s) elapsed=1.57665608s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=2 ground=130;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=2373	SKIPPED
UFNIA/2019-Preiner/full/f2_rw120.smt2	unknown	r1-r2-c	unknown	0	15223	q:mbqi	fd:bounded-completeness-unsat	8847	15183	19	na	na	unknown	15224	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=2 ground=9;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=37 ground=14;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=7 ground=19	QPROBE skolemized-egraph(residual) budget=Some(1.499872917s) elapsed=1.504047875s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline);QPROBE skolemized-egraph(residual) budget=Some(8.832310275s) elapsed=8.84733649s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=2 ground=9;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=37 ground=14;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=7 ground=19	SKIPPED
UFNIA/2019-Preiner/full/t3_rw493.smt2	unknown	r2-c-r1	unknown	0	23132	q:egraph	fd:bounded-completeness-unsat	20614	23066	19	na	na	unknown	23136	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=1 ground=7;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=37 ground=14;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=1 ground=7	QPROBE skolemized-egraph(residual) budget=Some(1.499869289s) elapsed=1.502026063s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline);QPROBE skolemized-egraph(residual) budget=Some(941.529809ms) elapsed=947.950141ms result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=1 ground=7;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=37 ground=14;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=1 ground=7	SKIPPED
UFNIA/2019-Preiner/partial/t3_rw514.smt2	unknown	c-r1-r2	unknown	0	24236	q:egraph	fd:bounded-completeness-unsat	22606	24110	17	na	na	unknown	24235	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=3 ground=84;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=1817	QPROBE skolemized-egraph(residual) budget=Some(1.499726094s) elapsed=1.50250491s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=3 ground=84;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=1817	SKIPPED
UFNIA/2019-Preiner/qf/f2_rw163.smt2	unknown	r1-r2-c	unknown	0	8418	uf-arithmetic	fd:bounded-completeness-unsat	620	5099	108	na	na	unknown	8618	0	0	SKIPPED	0	0	0	none	none	give-up kind=Incomplete detail=no model within the bounded integer width 32; widen the bound	none	SKIPPED
UFNIA/2019-Zohar-ic/combined/int_check_bvule_bvor_ltr_no_inv.smt2	unsat	r2-c-r1	unknown	0	24128	q:egraph	fd:bounded-completeness-unsat	22523	24031	17	na	na	unknown	24132	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=506;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=30 ground=8192	QPROBE skolemized-egraph(residual) budget=Some(1.499753987s) elapsed=1.506186253s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=506;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=30 ground=8192	SKIPPED
UFNIA/2019-Zohar-ic/partial/int_check_bvsle_bvudiv1_ltr_no_inv.smt2	unsat	c-r1-r2	unknown	0	24124	q:egraph	fd:bounded-completeness-unsat	22392	24016	17	na	na	unknown	24132	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=3 ground=118;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=346	QPROBE skolemized-egraph(residual) budget=Some(1.492051215s) elapsed=1.497473828s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=3 ground=118;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=346	SKIPPED
UFNIA/2019-Zohar-ic/qf/int_check_eq_bvnot_ltr_no_inv.smt2	unsat	r1-r2-c	unknown	0	5415	q:mbqi	fd:bounded-completeness-unsat	2279	5389	19	na	na	unknown	5415	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=2 ground=18	none	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=2 ground=18	SKIPPED
UFNIA/lahiri-cav09-storm-queries/usbsamp_bug_example_2_3_8_1.smt2	unsat	r2-c-r1	unknown	0	108	fd:parse	fd:parse	10	10	1	na	na	unknown	109	0	0	SKIPPED	0	0	0	none	none	give-up kind=ResourceLimit detail=ingest resource limit: `distinct` with 1571 arguments requires 1233235 pairwise expansions; deterministic limit is 65536	none	SKIPPED
UFNIA/sledgehammer/Fundamental_Theorem_Algebra/z3.844134.smt2	unsat	c-r1-r2	unknown	0	14426	q:egraph	fd:bounded-completeness-unsat	7320	14317	20	na	na	unknown	14826	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=CLOCK exit=GrowthHeadroom rounds=3 ground=7790;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192	QPROBE skolemized-egraph(residual) budget=Some(1.444331842s) elapsed=1.432759242s result=e-matching instantiation stopped after 3 rounds: the remaining budget could not fit another round with growth headroom;QPROBE skolemized-egraph(residual) budget=Some(7.435788508s) elapsed=5.132116613s result=e-matching instantiation reached fixpoint without refuting after 4 rounds (no further instance to admit; more rounds cannot help)	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 4 rounds (no further instance to admit; more rounds cannot help)	QPROBE loop-exit kind=CLOCK exit=GrowthHeadroom rounds=3 ground=7790;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192	SKIPPED
