division	file	wall_ms	verdict	decided_by	bound_by	last	bound_ms	trace_total_ms	attempts	log_path
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/2018-Mann/arbiter_array_cex_w32d32q16n4b34.smt2	25128	unsolved	NA	NA	NA	NA	NA	NA	/home/mjbommar/route-attribution/logs/QF_ABV.1.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/20230321-UltimateAutomizerSvcomp2023/tree-1.i_8.smt2	109	unsolved	none	fd:parse	fd:parse	46	46	1	/home/mjbommar/route-attribution/logs/QF_ABV.2.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/bench_ab/b165test0007.smt2	108	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	23	24	4	/home/mjbommar/route-attribution/logs/QF_ABV.3.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/bmc-arrays/bubbleSort.smt2	25034	unsolved	NA	NA	NA	NA	NA	NA	/home/mjbommar/route-attribution/logs/QF_ABV.4.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/brummayerbiere/fifo32ia04k08.smt2	24829	unsolved	none	array-fast-path	fd:bounded-completeness-unsat	24768	24788	14	/home/mjbommar/route-attribution/logs/QF_ABV.5.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/brummayerbiere/swapmem002se.smt2	909	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	814	815	4	/home/mjbommar/route-attribution/logs/QF_ABV.6.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/brummayerbiere/wchains010se.smt2	409	sat	array-fast-path	array-fast-path	array-fast-path	298	315	5	/home/mjbommar/route-attribution/logs/QF_ABV.7.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/brummayerbiere/wchains140se.smt2	20163	unsolved	NA	NA	NA	NA	NA	NA	/home/mjbommar/route-attribution/logs/QF_ABV.8.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/calc2/calc2_sec2_shifter_bmc5.atlas.smt2	109	unsat	qf-bv	fd:parse	qf-bv	10	15	4	/home/mjbommar/route-attribution/logs/QF_ABV.9.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_df.get_quoting_style.il.dwp.smt2	310	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	231	232	4	/home/mjbommar/route-attribution/logs/QF_ABV.10.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_md5sum.set_char_quoting.il.dwp.smt2	25030	unsolved	NA	NA	NA	NA	NA	NA	/home/mjbommar/route-attribution/logs/QF_ABV.11.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_ptx.bkm_scale.il.dwp.smt2	25032	unsolved	NA	NA	NA	NA	NA	NA	/home/mjbommar/route-attribution/logs/QF_ABV.12.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_sum.set_char_quoting.il.dwp.smt2	25032	unsolved	NA	NA	NA	NA	NA	NA	/home/mjbommar/route-attribution/logs/QF_ABV.13.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_vdir.hash_string.il.dwp.smt2	109	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	10	15	4	/home/mjbommar/route-attribution/logs/QF_ABV.14.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_chgrp.hash_get_n_entries.il.dwp.smt2	109	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	3	4	4	/home/mjbommar/route-attribution/logs/QF_ABV.15.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_dd.set_char_quoting.il.dwp.smt2	3012	sat	array-fast-path	array-fast-path	array-fast-path	2884	2895	5	/home/mjbommar/route-attribution/logs/QF_ABV.16.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_head.set_quoting_style.il.dwp.smt2	1412	sat	array-fast-path	array-fast-path	array-fast-path	1368	1373	5	/home/mjbommar/route-attribution/logs/QF_ABV.17.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_mv.get_quoting_style.il.dwp.smt2	3913	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	3791	3793	4	/home/mjbommar/route-attribution/logs/QF_ABV.18.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	6115	sat	array-fast-path	array-fast-path	array-fast-path	6033	6044	5	/home/mjbommar/route-attribution/logs/QF_ABV.19.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_sha256sum.quoting_options_from_style.il.dwp.smt2	210	unsat	array-fast-path	array-fast-path	array-fast-path	115	133	5	/home/mjbommar/route-attribution/logs/QF_ABV.20.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_tac.calc_next.il.dwp.smt2	3012	sat	array-fast-path	array-fast-path	array-fast-path	2918	2936	5	/home/mjbommar/route-attribution/logs/QF_ABV.21.log
