file	variables	clauses	batsat_verdict	batsat_ms	native_verdict	native_ms	cadical_verdict	cadical_ms	kissat_verdict	kissat_ms
bv-term-small-rw_1009.cnf	0	1	unsat	0.043469	unsat	0.0044610000000000006	unsat	304.6068870462477	unsat	105.39602395147085
bv-term-small-rw_1036.cnf	0	1	unsat	0.014173	unsat	0.002474	unsat	103.99071406573057	unsat	105.31449504196644
bv-term-small-rw_1048.cnf	314	966	unsat	7.407557000000001	unsat	2.960937	unsat	104.16080802679062	unsat	105.54942395538092
bv-term-small-rw_1055.cnf	4285	17423	unknown	20000.768031	unknown	20238.927266000002	unknown	20138.50569189526	unknown	20117.679086048156
bv-term-small-rw_1065.cnf	0	1	unsat	0.179148	unsat	0.005656	unsat	108.03127591498196	unsat	103.07756904512644
bv-term-small-rw_1068.cnf	0	1	unsat	0.029431	unsat	0.005103	unsat	109.63820293545723	unsat	102.81780711375177
bv-term-small-rw_107.cnf	0	1	unsat	0.028815	unsat	0.006505	unsat	109.9746790714562	unsat	105.30305886641145
bv-term-small-rw_1070.cnf	5842	24269	unknown	20001.60405	unknown	20234.997068999997	unknown	20141.483749030158	unknown	20116.478155832738
bv-term-small-rw_1074.cnf	7668	31801	unknown	20001.345172	unknown	20050.393382	unsat	17322.086344938725	unsat	10513.767542084679
bv-term-small-rw_1077.cnf	0	1	unsat	0.214745	unsat	0.0062840000000000005	unsat	102.65421401709318	unsat	104.59930007345974
bv-term-small-rw_1087.cnf	6309	25883	unknown	20004.260602	unknown	20453.392872999997	unknown	20118.651991011575	unknown	20131.8618808873
bv-term-small-rw_1088.cnf	0	1	unsat	0.461943	unsat	0.012486	unsat	103.93690690398216	unsat	111.79003096185625
bv-term-small-rw_1097.cnf	0	1	unsat	0.0436	unsat	0.005919000000000001	unsat	107.30846808291972	unsat	110.04598392173648
bv-term-small-rw_1102.cnf	431	1489	unsat	1.687381	unsat	2.600276	unsat	102.87283500656486	unsat	111.27121583558619
bv-term-small-rw_1119.cnf	669	2492	unsat	2.8909640000000003	unsat	4.640804	unsat	102.75471396744251	unsat	112.20645997673273
bv-term-small-rw_1145.cnf	430	1452	unsat	4.856148999999999	unsat	3.3125080000000002	unsat	105.6461320258677	unsat	114.37354795634747
bv-term-small-rw_1152.cnf	574	2084	unsat	7.788416000000001	unsat	13.262362	unsat	108.14034380018711	unsat	110.70588300935924
bv-term-small-rw_1170.cnf	481	1599	unsat	16.132152	unsat	20.220034000000002	unsat	107.08757699467242	unsat	111.69543489813805
bv-term-small-rw_1172.cnf	366	1260	unsat	1.778417	unsat	5.715751	unsat	102.58941701613367	unsat	111.61931487731636
bv-term-small-rw_1178.cnf	366	1260	unsat	2.017516	unsat	5.9668969999999995	unsat	103.47527801059186	unsat	112.80815582722425
bv-term-small-rw_1191.cnf	366	1260	unsat	1.871112	unsat	5.901145	unsat	104.25812704488635	unsat	112.52335994504392
bv-term-small-rw_1192.cnf	366	1260	unsat	2.108707	unsat	7.523276	unsat	103.39390486478806	unsat	109.36517105437815
bv-term-small-rw_1225.cnf	0	1	unsat	0.16736299999999998	unsat	0.009641	unsat	106.57312301918864	unsat	106.43337294459343
bv-term-small-rw_1232.cnf	0	1	unsat	0.036478	unsat	0.004244	unsat	105.15087400563061	unsat	110.13453803025186
bv-term-small-rw_1295.cnf	4287	17427	unknown	20002.025706	unknown	20033.935937	unknown	20125.226564938203	unknown	20137.192076072097
bv-term-small-rw_1301.cnf	4449	18159	unknown	20002.322365	unknown	20450.84898	unknown	20131.81449007243	unknown	20121.9827728346
bv-term-small-rw_1319.cnf	4542	18477	unknown	20002.088839	unknown	20089.178405	unknown	20142.14733382687	unknown	20128.14266909845
bv-term-small-rw_1332.cnf	347	1128	unsat	4.508329	unsat	4.961595	unsat	110.1940181106329	unsat	103.30111510120332
bv-term-small-rw_1370.cnf	576	2062	unsat	6.368511000000001	unsat	3.8664609999999997	unsat	108.54048398323357	unsat	104.20990898273885
bv-term-small-rw_1373.cnf	0	1	unsat	0.06279399999999999	unsat	0.004949	unsat	107.64892492443323	unsat	103.1799700576812
bv-term-small-rw_1376.cnf	337	1054	unsat	0.888071	unsat	1.018876	unsat	109.8482059314847	unsat	102.95743611641228
bv-term-small-rw_1380.cnf	4386	17846	unknown	20000.569371	unknown	20160.308644	unknown	20143.067377852276	unknown	20118.931665085256
bv-term-small-rw_1389.cnf	752	2605	unsat	2.6640140000000003	unsat	5.090987	unsat	312.0914991013706	unsat	103.02041098475456
bv-term-small-rw_140.cnf	3251	13833	unknown	20001.145644	unknown	20238.44456	unknown	20167.41368197836	unknown	20119.222104083747
bv-term-small-rw_1411.cnf	625	2199	unsat	3.313062	unsat	4.294965	unsat	309.21913404017687	unsat	106.97539011016488
bv-term-small-rw_1419.cnf	462	1678	unsat	1.062873	unsat	0.731273	unsat	106.58170515671372	unsat	106.67091188952327
bv-term-small-rw_1421.cnf	850	3041	unsat	37.244244	unsat	39.415775000000004	unsat	109.24278595484793	unsat	106.9435270037502
bv-term-small-rw_1477.cnf	399	1393	unsat	1.494288	unsat	1.383014	unsat	108.34003798663616	unsat	107.19518712721765
bv-term-small-rw_1497.cnf	798	2742	unsat	15.893938	unsat	14.269400999999998	unsat	113.00277803093195	unsat	105.74867599643767
bv-term-small-rw_1498.cnf	798	2742	unsat	11.132850999999999	unsat	14.868238	unsat	108.42021508142352	unsat	105.46246496960521
bv-term-small-rw_1515.cnf	4450	18192	unknown	20002.266146	unknown	20239.741399	unknown	20140.929228859022	unknown	20128.942392999306
bv-term-small-rw_1537.cnf	825	2999	unsat	7.18271	unsat	7.761476	unsat	106.93123191595078	unsat	108.99408906698227
bv-term-small-rw_1548.cnf	526	1897	unsat	8.481492	unsat	8.660766	unsat	208.68854084983468	unsat	114.2092898953706
bv-term-small-rw_160.cnf	4355	17753	sat	4.311383999999999	sat	6.849944	sat	106.25891597010195	sat	108.26618992723525
bv-term-small-rw_163.cnf	285	853	unsat	0.7663989999999999	unsat	0.547415	unsat	104.85690482892096	unsat	109.87395606935024
bv-term-small-rw_175.cnf	366	1260	unsat	1.65901	unsat	5.276481	unsat	104.24756188876927	unsat	111.42464610747993
bv-term-small-rw_191.cnf	366	1260	unsat	1.654842	unsat	5.514183	unsat	103.82705880329013	unsat	108.46259910613298
bv-term-small-rw_282.cnf	0	1	unsat	0.11895099999999999	unsat	0.010392	unsat	104.73281284794211	unsat	112.3042160179466
bv-term-small-rw_284.cnf	0	1	unsat	0.02749	unsat	0.0018909999999999999	unsat	104.57862517796457	unsat	109.77769596502185
bv-term-small-rw_289.cnf	278	893	unsat	1.8740160000000001	unsat	0.813496	unsat	105.54168606176972	unsat	111.3646060694009
bv-term-small-rw_298.cnf	871	3147	unsat	2.6285649999999996	unsat	2.482144	unsat	105.23689491674304	unsat	109.69309997744858
bv-term-small-rw_309.cnf	816	2921	unsat	1.3451170000000001	unsat	1.783739	unsat	106.1996219214052	unsat	110.58114911429584
bv-term-small-rw_31.cnf	0	1	unsat	0.15237599999999998	unsat	0.01171	unsat	104.558170074597	unsat	109.16545102372766
bv-term-small-rw_312.cnf	509	1687	sat	0.41570399999999996	sat	0.460959	sat	104.23988499678671	sat	109.33644301258028
bv-term-small-rw_329.cnf	491	1646	unsat	1.256341	unsat	1.26621	unsat	104.56944792531431	unsat	105.2150100003928
bv-term-small-rw_359.cnf	682	2271	unsat	3.793249	unsat	2.634291	unsat	105.97182088531554	unsat	107.22437012009323
bv-term-small-rw_365.cnf	0	1	unsat	0.231627	unsat	0.019072	unsat	108.85182186029851	unsat	108.56711794622242
bv-term-small-rw_388.cnf	3533	14999	unknown	20000.754872	unknown	20185.191105	unknown	20133.70975595899	unknown	20122.106314171106
bv-term-small-rw_458.cnf	695	2407	unsat	2.92878	unsat	3.8125210000000003	unsat	103.70580106973648	unsat	102.86388895474374
bv-term-small-rw_464.cnf	2224	8951	unsat	1.877077	unsat	1.7824200000000001	unsat	204.2546549346298	unsat	102.45810612104833
bv-term-small-rw_48.cnf	0	1	unsat	0.179844	unsat	0.00617	unsat	102.73164883255959	unsat	103.11285010538995
bv-term-small-rw_496.cnf	651	2425	unsat	7.945842	unsat	9.879099	unsat	102.99102100543678	unsat	102.72904392331839
bv-term-small-rw_505.cnf	641	2263	unsat	16.84522	unsat	19.901442	unsat	102.73684491403401	unsat	102.89876093156636
