file	variables	clauses	native_verdict	native_ms	native_timed_out	native_model_valid
bv-term-small-rw_1009.cnf	0	1	unsat	0.002587	false	
bv-term-small-rw_1036.cnf	0	1	unsat	0.000365	false	
bv-term-small-rw_1048.cnf	314	966	unsat	2.164287	false	
bv-term-small-rw_1055.cnf	4285	17423	unknown	20066.738871999998	true	
bv-term-small-rw_1065.cnf	0	1	unsat	0.002889	false	
bv-term-small-rw_1068.cnf	0	1	unsat	0.000252	false	
bv-term-small-rw_107.cnf	0	1	unsat	0.00047	false	
bv-term-small-rw_1070.cnf	5842	24269	unknown	20044.556929	true	
bv-term-small-rw_1074.cnf	7668	31801	unknown	20057.436758	true	
bv-term-small-rw_1077.cnf	0	1	unsat	0.004024	false	
bv-term-small-rw_1087.cnf	6309	25883	unknown	20054.796688	true	
bv-term-small-rw_1088.cnf	0	1	unsat	0.002446	false	
bv-term-small-rw_1097.cnf	0	1	unsat	0.000478	false	
bv-term-small-rw_1102.cnf	431	1489	unsat	1.407252	false	
bv-term-small-rw_1119.cnf	669	2492	unsat	2.573626	false	
bv-term-small-rw_1145.cnf	430	1452	unsat	2.232903	false	
bv-term-small-rw_1152.cnf	574	2084	unsat	6.48673	false	
bv-term-small-rw_1170.cnf	481	1599	unsat	12.790309	false	
bv-term-small-rw_1172.cnf	366	1260	unsat	3.7027769999999998	false	
bv-term-small-rw_1178.cnf	366	1260	unsat	3.681604	false	
bv-term-small-rw_1191.cnf	366	1260	unsat	3.704183	false	
bv-term-small-rw_1192.cnf	366	1260	unsat	3.694771	false	
bv-term-small-rw_1225.cnf	0	1	unsat	0.000986	false	
bv-term-small-rw_1232.cnf	0	1	unsat	0.00043599999999999997	false	
bv-term-small-rw_1295.cnf	4287	17427	unknown	20053.71858	true	
bv-term-small-rw_1301.cnf	4449	18159	unknown	20028.54753	true	
bv-term-small-rw_1319.cnf	4542	18477	unknown	20072.486991	true	
bv-term-small-rw_1332.cnf	347	1128	unsat	3.0955909999999998	false	
bv-term-small-rw_1370.cnf	576	2062	unsat	2.4742290000000002	false	
