file	axeyum	ax_s	z3	z3_s	cvc5	cvc5_s
arbiter_array_cex_w32d32q16n4b34.smt2	unknown	24.33	unknown	24.33	unknown	26.21
tree-1.i_8.smt2	unknown	0.11	sat	22.93	sat	4.52
b165test0007.smt2	sat	0.11	sat	0.11	sat	0.11
bubbleSort.smt2	unknown	25.04	unknown	24.03	unknown	26.21
fifo32ia04k08.smt2	unknown	24.14	unknown	24.03	unknown	26.31
swapmem002se.smt2	sat	0.21	sat	0.11	sat	0.11
wchains010se.smt2	sat	0.21	sat	0.11	sat	0.21
wchains140se.smt2	unknown	13.20	sat	0.41	unknown	26.31
calc2_sec2_shifter_bmc5.atlas.smt2	unsat	0.11	unsat	0.11	unsat	0.11
try3_noof_functions_dwp_df.get_quoting_style.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.11
try3_noof_functions_dwp_md5sum.set_char_quoting.il.dwp.smt2	sat	14.92	sat	0.11	sat	0.51
try3_noof_functions_dwp_ptx.bkm_scale.il.dwp.smt2	sat	18.13	sat	0.11	sat	0.11
try3_noof_functions_dwp_sum.set_char_quoting.il.dwp.smt2	sat	14.92	sat	0.11	sat	0.51
try3_noof_functions_dwp_vdir.hash_string.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.11
try3_sameret_functions_dwp_chgrp.hash_get_n_entries.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.11
try3_sameret_functions_dwp_dd.set_char_quoting.il.dwp.smt2	sat	0.41	sat	0.11	sat	1.51
try3_sameret_functions_dwp_head.set_quoting_style.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.91
try3_sameret_functions_dwp_mv.get_quoting_style.il.dwp.smt2	sat	0.61	sat	0.11	sat	0.21
try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	sat	4.21	sat	1.11	unknown	26.22
try3_sameret_functions_dwp_sha256sum.quoting_options_from_style.il.dwp.smt2	unsat	0.11	unsat	0.11	unsat	0.11
try3_sameret_functions_dwp_tac.calc_next.il.dwp.smt2	sat	2.01	sat	0.51	unknown	26.21
try3_sameret_functions_dwp_unexpand.get_quoting_style.il.dwp.smt2	sat	0.61	sat	0.11	sat	0.21
try3_sameret_functions_dwp_who.set_quoting_style.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.91
try3_sameret_functions_fse-bfs_kill.close_stdout_set_file_name.il.fse-bfs.smt2	sat	0.11	sat	0.11	sat	0.11
try3_sameret_functions_fse-bfs_shuf.close_stdout_set_file_name.il.fse-bfs.smt2	sat	0.11	sat	0.11	sat	0.11
try3_sameret_functions_fse-bfs_vdir.hash_get_n_entries.il.fse-bfs.smt2	sat	0.11	sat	0.11	sat	0.11
try3_true_functions_dwp_csplit.set_char_quoting.il.dwp.smt2	sat	2.21	sat	0.11	sat	0.11
try3_true_functions_dwp_join.bkm_scale.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.11
try3_true_functions_dwp_pathchk.set_char_quoting.il.dwp.smt2	sat	2.21	sat	0.11	sat	0.11
try3_true_functions_dwp_split.set_quoting_style.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.11
try3_true_functions_dwp_uptime.get_quoting_style.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.11
try4_difret_functions_disjunctions_cut.close_stdout_set_file_name.il.disjunctions_0.smt2	sat	2.31	sat	0.11	sat	0.11
try4_difret_functions_disjunctions_mknod.close_stdout_set_file_name.il.disjunctions_0.smt2	sat	2.41	sat	0.11	sat	0.11
try4_difret_functions_disjunctions_sha1sum.close_stdout_set_file_name.il.disjunctions_0.smt2	sat	2.51	sat	0.11	sat	0.11
try4_difret_functions_disjunctions_touch.set_quoting_style.il.disjunctions_1.smt2	sat	1.81	sat	0.11	sat	0.11
try4_difret_functions_disjunctions_vdir.get_type_indicator.il.disjunctions_41.smt2	unsat	0.11	unsat	0.11	unsat	0.11
try4_difret_functions_disjunctions_vdir.is_directory.il.disjunctions_0.smt2	unsat	0.21	unsat	0.11	unsat	0.11
try4_difret_functions_disjunctions_vdir.strmode.il.disjunctions_6.smt2	sat	18.13	sat	0.11	sat	0.41
try4_true_functions_dwp_cut.get_quoting_style.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.11
try4_true_functions_dwp_link.set_quoting_style.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.11
try4_true_functions_dwp_ptx.find_subexp_node.il.dwp.smt2	sat	3.81	sat	0.21	unknown	26.22
try4_true_functions_dwp_tail.set_quoting_style.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.11
try5_small_difret_functions_dwp_cat.next_line_num.il.dwp.smt2	unknown	3.01	sat	0.21	sat	7.12
try5_small_difret_functions_dwp_cut.quoting_options_from_style.il.dwp.smt2	unsat	0.11	unsat	0.11	unsat	0.11
try5_small_difret_functions_dwp_fmt.quoting_options_from_style.il.dwp.smt2	unsat	0.11	unsat	0.11	unsat	0.11
try5_small_difret_functions_dwp_mkfifo.get_quoting_style.il.dwp.smt2	unknown	24.03	unsat	0.11	unsat	0.41
try5_small_difret_functions_dwp_paste.set_quoting_style.il.dwp.smt2	sat	0.31	sat	0.11	sat	0.31
try5_small_difret_functions_dwp_setuidgid.quoting_options_from_style.il.dwp.smt2	unsat	0.11	unsat	0.11	unsat	0.11
try5_small_difret_functions_dwp_stty.visible.il.dwp.smt2	sat	19.73	sat	0.11	sat	0.71
try5_small_difret_functions_dwp_tsort.quoting_options_from_style.il.dwp.smt2	unsat	0.11	unsat	0.11	unsat	0.11
try5_small_difret_functions_dwp_vdir.strcmp_size.il.dwp.smt2	unknown	11.02	unsat	2.11	unknown	26.21
try5_small_difret_functions_flanagansaxe_chroot.get_quoting_style.il.flanagansaxe.smt2	sat	8.32	sat	0.11	sat	0.11
try5_small_difret_functions_flanagansaxe_dirname.quoting_options_from_style.il.flanagansaxe.smt2	sat	0.21	sat	0.11	unknown	26.21
try5_small_difret_functions_flanagansaxe_id.close_stdout_set_file_name.il.flanagansaxe.smt2	sat	1.21	sat	0.11	sat	0.11
try5_small_difret_functions_flanagansaxe_mv.set_author.il.flanagansaxe.smt2	sat	0.11	sat	0.11	sat	0.11
try5_small_difret_functions_flanagansaxe_printf.get_quoting_style.il.flanagansaxe.smt2	sat	8.42	sat	0.11	sat	0.11
try5_small_difret_functions_flanagansaxe_sha512sum.set_quoting_style.il.flanagansaxe.smt2	sat	0.11	sat	0.11	sat	0.41
try5_small_difret_functions_flanagansaxe_tac.quoting_options_from_style.il.flanagansaxe.smt2	sat	0.21	sat	0.11	unknown	26.21
try5_small_difret_functions_flanagansaxe_uniq.initbuffer.il.flanagansaxe.smt2	sat	0.11	sat	0.11	sat	0.11
try5_small_difret_functions_flanagansaxe_yes.get_quoting_style.il.flanagansaxe.smt2	sat	8.42	sat	0.11	sat	0.11
try5_small_difret_functions_fse-bfs_mkdir.close_stdout_set_file_name.il.fse-bfs.smt2	sat	2.41	sat	0.11	sat	0.11
try5_small_difret_functions_fse-bfs_stat.close_stdout_set_file_name.il.fse-bfs.smt2	sat	2.41	sat	0.11	sat	0.11
try5_small_difret_functions_fse-bfs_vdir.rev_xstrcoll_mtime.il.fse-bfs.smt2	unsat	0.21	unsat	0.11	unsat	17.23
try5_small_difret_functions_wp_dd.advance_input_offset.il.wp.smt2	sat	18.13	sat	0.11	sat	1.11
try5_small_difret_functions_wp_mkdir.set_char_quoting.il.wp.smt2	sat	18.23	sat	0.21	unknown	26.22
try5_small_difret_functions_wp_seq.set_char_quoting.il.wp.smt2	sat	18.13	sat	0.21	unknown	26.21
try5_small_difret_functions_wp_test.close_stdout_set_file_name.il.wp.smt2	sat	2.41	sat	0.11	sat	0.11
try5_small_noof_functions_dwp_.set_quoting_style.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.11
try5_small_noof_functions_dwp_env.set_char_quoting.il.dwp.smt2	sat	18.23	sat	0.11	sat	0.91
try5_small_noof_functions_dwp_mknod.get_quoting_style.il.dwp.smt2	sat	0.11	sat	0.11	sat	0.11
try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	sat	4.92	sat	0.11	sat	4.52
try5_small_noof_functions_dwp_tac.peek_token_bracket.il.dwp.smt2	sat	1.31	sat	0.21	sat	4.42
try5_small_noof_functions_dwp_vdir.rev_xstrcoll_mtime.il.dwp.smt2	sat	0.51	sat	0.11	unknown	26.22
try5_small_noof_functions_flanagansaxe_csplit.search_cur_bkref_entry.il.flanagansaxe.smt2	sat	0.11	sat	0.11	sat	5.92
try5_small_noof_functions_flanagansaxe_id.get_quoting_style.il.flanagansaxe.smt2	sat	0.11	sat	0.11	sat	0.11
try5_small_noof_functions_flanagansaxe_paste.set_quoting_style.il.flanagansaxe.smt2	sat	0.11	sat	0.11	sat	0.11
try5_small_noof_functions_flanagansaxe_shuf.isaac_mix.il.flanagansaxe.smt2	sat	1.71	sat	0.21	unknown	26.21
try5_small_noof_functions_flanagansaxe_uname.get_quoting_style.il.flanagansaxe.smt2	sat	0.11	sat	0.11	sat	0.11
try5_small_noof_functions_fse-bfs_expr.optimize_subexps.il.fse-bfs.smt2	sat	0.11	sat	0.11	unknown	26.22
try5_small_noof_functions_wp_date.yydestruct.il.wp.smt2	sat	0.11	sat	0.11	sat	0.11
try5_small_noof_functions_wp_ptx.search_cur_bkref_entry.il.wp.smt2	sat	0.11	sat	0.11	sat	0.11
try5_small_noof_functions_wp_yes.set_char_quoting.il.wp.smt2	sat	0.31	sat	0.11	sat	5.52
try5_small_true_functions_flanagansaxe_cat.next_line_num.il.flanagansaxe.smt2	sat	18.13	sat	0.11	sat	0.71
try5_small_true_functions_fse-bfs_chgrp.i_ring_push.il.fse-bfs.smt2	sat	0.11	sat	0.11	sat	0.11
try5_small_true_functions_wp_md5sum.md5_process_block.il.wp.smt2	sat	2.81	sat	0.41	unknown	26.32
com.galois.ecc.P384ECC64.ec_mul_aux1.short.smt2	unsat	0.21	unsat	0.11	unsat	0.11
egt-0026.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-0104.smt2	sat	0.11	sat	0.11	sat	0.11
egt-0182.smt2	sat	0.11	sat	0.11	sat	0.11
egt-0259.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-0334.smt2	sat	0.11	sat	0.11	sat	0.11
egt-0411.smt2	sat	0.11	sat	0.11	sat	0.11
egt-0487.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-0564.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-0641.smt2	sat	0.11	sat	0.11	sat	0.11
egt-0718.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-0796.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-0871.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-0948.smt2	sat	0.11	sat	0.11	sat	0.11
egt-1023.smt2	sat	0.11	sat	0.11	sat	0.11
egt-1098.smt2	sat	0.11	sat	0.11	sat	0.11
egt-1174.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-1251.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-1329.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-1404.smt2	sat	0.11	sat	0.11	sat	0.11
egt-1482.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-1558.smt2	sat	0.11	sat	0.11	sat	0.11
egt-1639.smt2	sat	0.11	sat	0.11	sat	0.11
egt-1723.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-1798.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-1875.smt2	sat	0.11	sat	0.11	sat	0.11
egt-1951.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-2026.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-2102.smt2	unsat	0.11	unsat	0.11	unsat	0.11
egt-2179.smt2	sat	0.11	sat	0.11	sat	0.11
egt-2256.smt2	sat	0.11	sat	0.11	sat	0.11
egt-2337.smt2	sat	0.11	sat	0.11	sat	0.11
