file	axeyum	ax_s	z3	z3_s	cvc5	cvc5_s
Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0.smt2	sat	2.41	sat	0.21	unknown	26.22
Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c__p21008_terminationG_0.smt2	unknown	24.23	sat	5.71	unknown	26.22
Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c__p21457_edge_closing_0.smt2	sat	5.92	sat	2.41	unknown	26.21
Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	24.74	unsat	1.41	unknown	26.21
Stroeder_15__DivWithoutMinus.c__p22517_edge_closing_0.smt2	unknown	24.43	sat	1.51	unknown	26.22
Stroeder_15__GCD.c__p23185_terminationG_0.smt2	unknown	24.44	unknown	24.03	unknown	26.22
Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23483_edge_closing_0.smt2	unknown	24.44	unsat	17.13	unknown	26.21
Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24052_edge_closing_0.smt2	unknown	20.23	sat	0.61	unknown	26.21
Stroeder_15__MirrorIntervSim.c__p24484_terminationG_0.smt2	unknown	20.23	unknown	24.03	unknown	26.22
Stroeder_15__NonTermination2_false-termination.c__p24932_edge_closing_0.smt2	unknown	19.33	sat	5.91	unknown	26.21
Stroeder_15__Sunset.c__terminationQ_0_0.smt2	unknown	16.63	unsat	0.31	unknown	26.21
Stroeder_15__svcomp_ex2.c__p25866_terminationG_0.smt2	unknown	24.24	unsat	1.21	unsat	3.81
Ton_Chanh_15__Benghazi_nondet_true-termination.c__p26690_terminationG_0.smt2	unknown	16.12	sat	7.82	unknown	26.21
Ton_Chanh_15__Hanoi_3vars_false-termination.c__terminationQ_13_0.smt2	unsat	3.11	unsat	0.41	unsat	0.11
Ton_Chanh_15__Singapore_true-termination.c__p27347_terminationG_0.smt2	unknown	23.13	sat	0.11	sat	0.11
From_AProVE_2014__ConvertRec.jar-obl-9__p28030_safety_0.smt2	unknown	24.14	unknown	24.03	unknown	26.21
From_AProVE_2014__DivMinus.jar-obl-11__p28570_edge_closing_0.smt2	unknown	24.24	unknown	24.03	unknown	26.21
From_AProVE_2014__Et3.jar-obl-9__p28829_terminationG_0.smt2	unknown	22.13	unknown	24.03	unknown	26.21
From_AProVE_2014__FlattenTreeListRec.jar-obl-10__p29567_safety_0.smt2	unknown	24.43	sat	1.11	sat	3.42
From_AProVE_2014__LessLeaves.jar-obl-10__p10018_edge_closing_0.smt2	unknown	24.23	unknown	24.03	unknown	26.22
From_AProVE_2014__MainDelete.jar-obl-10__p10430_safety_0.smt2	unknown	20.93	unsat	7.62	unknown	26.21
From_AProVE_2014__Matrix.jar-obl-16__p10854_edge_closing_0.smt2	unknown	24.24	unknown	24.03	unknown	26.22
From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	unknown	20.23	unknown	24.03	unknown	26.22
From_AProVE_2014__RandomHard.jar-obl-10__p11834_safety_0.smt2	unknown	24.34	unknown	24.03	unknown	26.22
From_AProVE_2014__SortCount.jar-obl-10__terminationS_2_0.smt2	unknown	10.92	unsat	7.42	unsat	1.51
From_AProVE_2014__Test13Loops.jar-obl-10__p12737_edge_closing_0.smt2	unknown	24.94	sat	2.61	unknown	26.22
From_AProVE_2014__Test6.jar-obl-13__terminationS_36_0.smt2	unknown	24.34	unsat	13.02	unsat	20.33
From_AProVE_2014__Velroyen08-complInterv3.jar-obl-8__p13362_terminationG_0.smt2	unknown	23.13	unsat	0.91	unknown	26.21
From_AProVE_2014__Velroyen08-factorial.jar-obl-8__p13829_terminationG_0.smt2	unknown	24.14	unsat	0.81	unsat	1.51
From_AProVE_2014__Velroyen08-middle.jar-obl-8__p14206_terminationG_0.smt2	unknown	19.03	unknown	24.03	unknown	26.22
From_AProVE_2014__Velroyen08-upAndDownIneq.jar-obl-8__terminationS_1_0.smt2	unknown	16.32	unsat	2.31	unknown	26.21
From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2	unknown	24.44	unsat	1.91	unsat	15.33
