file	axeyum	ax_s	z3	z3_s	cvc5	cvc5_s
cooking01.smt2	sat	0.11	sat	0.11	sat	0.11
cooking02.smt2	sat	0.11	sat	0.11	sat	0.11
cooking03.smt2	sat	0.11	sat	0.11	sat	0.11
cooking04.smt2	sat	0.11	sat	0.11	sat	0.11
cooking05.smt2	sat	0.21	sat	0.11	sat	0.11
cooking06.smt2	sat	0.21	sat	0.11	sat	0.11
cooking07.smt2	sat	0.21	sat	0.11	sat	0.11
cooking08.smt2	sat	0.31	sat	0.11	sat	0.11
cooking09.smt2	sat	0.31	sat	0.11	sat	0.11
cooking10.smt2	sat	0.41	sat	0.11	sat	0.11
cooking11.smt2	sat	0.51	sat	0.11	sat	0.11
cooking12.smt2	sat	0.61	sat	0.11	sat	0.21
cooking13.smt2	sat	0.71	sat	0.11	sat	0.21
cooking14.smt2	sat	0.81	sat	0.11	sat	0.21
cooking15.smt2	sat	0.91	sat	0.11	sat	0.21
cooking16.smt2	sat	1.01	sat	0.11	sat	0.21
cooking17.smt2	sat	1.11	sat	0.11	sat	0.21
cooking18.smt2	sat	1.31	sat	0.11	sat	0.21
cooking19.smt2	sat	1.41	sat	0.11	sat	0.21
cooking20.smt2	sat	1.61	sat	0.11	sat	0.21
cooking21.smt2	sat	1.71	sat	0.11	sat	0.21
cooking22.smt2	sat	1.91	sat	0.11	sat	0.21
tempo-depth-2.smt2	sat	0.11	sat	0.11	sat	0.11
tempo-depth-3.smt2	sat	0.61	sat	0.11	sat	0.21
tempo-depth-4.smt2	sat	3.51	sat	0.71	sat	0.41
tempo-depth-5.smt2	unknown	25.14	sat	8.82	sat	1.01
tempo-depth-6.smt2	unknown	25.13	unknown	24.03	sat	2.21
tempo-depth-7.smt2	unknown	25.14	unknown	24.03	sat	4.62
tempo-matrix1x1.pddl.smt2	sat	0.11	sat	0.11	sat	0.11
tempo-matrix2x2.pddl.smt2	unknown	25.14	unknown	24.03	sat	6.12
tempo-width-1.smt2	sat	0.11	sat	0.11	sat	0.11
tempo-width-2.smt2	sat	0.11	sat	0.11	sat	0.11
tempo-width-3.smt2	sat	0.71	sat	0.31	sat	0.21
tempo-width-4.smt2	sat	5.82	sat	10.62	sat	0.71
tempo-width-5.smt2	unknown	25.14	unknown	24.03	sat	2.51
tempo-width-6.smt2	unknown	25.03	unknown	24.03	sat	8.82
tms-2-3-light-03.smt2	sat	0.11	sat	0.11	sat	0.11
tms-2-3-light-04.smt2	sat	0.11	sat	0.11	sat	0.11
tms-2-3-light-05.smt2	sat	0.11	sat	0.11	sat	0.11
tms-2-3-light-06.smt2	sat	0.21	sat	0.11	sat	0.11
tms-2-3-light-07.smt2	sat	0.21	sat	0.11	sat	0.11
tms-2-3-light-08.smt2	sat	0.31	sat	0.11	sat	0.11
tms-2-3-light-09.smt2	sat	0.31	sat	0.11	sat	0.21
tms-2-3-light-10.smt2	sat	0.41	sat	0.11	sat	0.21
tms-2-3-light-20.smt2	sat	1.21	sat	0.11	sat	0.41
tms-2-3-light-30.smt2	sat	2.81	sat	0.21	sat	1.21
tms-2-3-light-40.smt2	sat	0.61	sat	0.41	sat	0.81
tms-2-3-light-60.smt2	sat	1.11	sat	1.21	sat	2.01
tms-2-3-light-70.smt2	sat	1.51	sat	2.41	sat	2.31
tms-2-3-light-80.smt2	sat	1.91	sat	1.81	sat	2.91
tms-2-3-light-90.smt2	sat	2.41	sat	4.32	sat	5.11
bignum_rdl1.smt2	unknown	0.11	sat	0.11	sat	0.11
bignum_rdl2.smt2	unsat	0.11	unsat	0.11	unsat	0.11
fischer3-mutex-1.smt2	unsat	0.11	unsat	0.11	unsat	0.11
