sec	rss_kb	vmhwm_kb	worker_utime_ticks	worker_state
0	59352	59352	9	R
1	141848	287356	101	R
2	330212	332916	194	R
3	465936	574904	283	R
4	360692	574904	383	R
5	533420	574904	473	R
6	457592	788864	566	R
7	540604	788864	665	R
8	706524	789372	761	R
9	706556	789372	861	R
10	507968	789372	954	R
11	644092	789372	1052	R
12	644092	789372	1153	R
13	644092	789372	1254	R
14	644092	789372	1355	R
15	644092	789372	1456	R
16	644092	789372	1557	R
17	644092	789372	1658	R
18	644092	789372	1759	R
19	644092	789372	1859	R
20	644092	789372	1960	R
21	644092	789372	2061	R
22	644092	789372	2162	R
23	644092	789372	2263	R
24	644092	789372	2364	R
25	644092	789372	2465	R
26	644092	789372	2566	R
27	644092	789372	2667	R
28	644092	789372	2768	R
29	644092	789372	2868	R
30	644092	789372	2969	R
31	644092	789372	3070	R
32	644092	789372	3171	R
33	644092	789372	3272	R
34	644092	789372	3373	R
35	644092	789372	3474	R
36	644092	789372	3575	R
37	644092	789372	3676	R
38	644092	789372	3777	R
39	644092	789372	3878	R
40	644092	789372	3979	R
41	644092	789372	4080	R
42	644092	789372	4181	R
43	644092	789372	4282	R
44	644092	789372	4383	R
45	644092	789372	4484	R
46	644092	789372	4585	R
47	644092	789372	4686	R
48	644092	789372	4787	R
49	644092	789372	4888	R
50	644092	789372	4989	R
51	644092	789372	5090	R
52	644092	789372	5191	R
53	644092	789372	5292	R
54	644092	789372	5393	R
55	644092	789372	5494	R
56	644092	789372	5595	R
57	644092	789372	5696	R
58	644092	789372	5797	R
59	644092	789372	5898	R
60	644092	789372	5999	R
